编号,性别,外观代码,外观参考图
21,女,"<BodyProperties version=""4"" age=""24.23"" weight=""0.475"" build=""0.65""  key=""0000FC002A883018F97FD56A81170774B7A0BE007DA3B8028C571AF480F2304A01BA76130B4892860000000000000000000000000000000000000000636C4000"" />",
22,女,"<BodyProperties version=""4"" age=""22.06"" weight=""0.1682"" build=""0.777""  key=""00008400858830026B73546496585B8777C8866295A09FB6846908688AC40807008C3603080150030000000000000000000000000000000000000000791C30C4""  />",
23,女,"<BodyProperties version=""4"" age=""22.03"" weight=""0.026"" build=""0.5001""  key=""0000D400121430042E899651B375565694F786A558AC7815928B9B758795877300B806030B45544200000000000000000000000000000000000000007D6C1003""  />",
24,女,"<BodyProperties version=""4"" age=""30.93"" weight=""0.1651"" build=""0.0068"" key=""0005EC0A1314300D2E8994586364669494F589463B995F1B79ABD6E4879A877701B026140B4752200000000000000000000000000000000000000000797C2000"" />",
25,女,"<BodyProperties version=""4"" age=""28.19"" weight=""0.046"" build=""0.8""  key=""00001C04131410068873324163A357B4966D873971979A02AB644611773A5B2401BC16130B0905200000000000000000000000000000000000000000797C1080"" />",
26,女,"<BodyProperties version=""4"" age=""27.38"" weight=""0.0934"" build=""0.317""  key=""0002DC0E52143001607000611067670094F6871B27A93E139FE4A616764702650175161307112000000000000000000000000000000000000000000050F43043""  />",
27,女,"<BodyProperties version=""4"" age=""22"" weight=""0.1034"" build=""0.263""  key=""0005DC0A531400002E8E9B44627B2AC292F889483C93AF1B79ABD6E4874758470094260309475210000000000000000000000000000000000000000071342000"" />",
28,女,"<BodyProperties version=""4"" age=""23.44"" weight=""0.4454"" build=""0.8422"" key=""0010DC0D9214300A56BA936368821444756698D897ED90382677DB808727437200BD7F030B04042500000000000000000000000000000000000000006B6C3000"" />",
29,女,"<BodyProperties version=""4"" age=""22.29"" weight=""0.4454"" build=""0.8422""  key=""0010DC0D9214300156BA936368821444756698D897ED90382677DB808727437200BD7F030B04042500000000000000000000000000000000000000006B6C3000""  />",
30,女,"<BodyProperties version=""4"" age=""23.12"" weight=""0.0371"" build=""0.0664"" key=""0005CC0D9214200F0688A660C257876454FC7C6C7A8D66964B56C92374A31403008116030864326900000000000000000000000000000000000000005F1410C0"" />",
31,女,"<BodyProperties version=""4"" age=""22.68"" weight=""0.0224"" build=""0.0363"" key=""00005C0001A030061C62889967461DA4859A389D56593866A057937A7CD7766700F106030F64674500000000000000000000000000000000000000006BF41000"" />",
32,女,"<BodyProperties version=""4"" age=""27.02"" weight=""0.088"" build=""0.0972"" key=""00054804C4FC000E94899478A9568794549A69985C9CC416B07BF3AA8857877601C116130C2C5656000000000000000000000000000000000000000079941000"" />",
33,女,"<BodyProperties version=""4"" age=""21.33"" weight=""0.2191"" build=""0.2901"" key=""002B340B110000012E8994586366689794F788D59B6CA80C778BC5B4879A8777007436020775524000000000000000000000000000000000000000007CFC1000"" />",
34,女,"<BodyProperties version=""4"" age=""23.53"" weight=""0.2268"" build=""0.2215"" key=""0000B80544FC30043E89946864662B9694F788D69B9CAB557A8B69B3879A4777009336030976424000000000000000000000000000000000000000007D344000"" />",
35,女,"<BodyProperties version=""4"" age=""26.01"" weight=""0.1597"" build=""0.1736"" key=""0005C8079E00201063966C45B443EAC843DAF50706A8D853AAB6F3C18304753601B326130B87A54200000000000000000000000000000000000000007D742000"" />",
36,女,"<BodyProperties version=""4"" age=""26.01"" weight=""0.1597"" build=""0.1736"" key=""0005F8079E002010697666C7B244AAC870D788472C58D856AA56F4518C08633B01B326130B65A21100000000000000000000000000000000000000007D742000"" />",
37,女,"<BodyProperties version=""4"" age=""22.73"" weight=""0.3449"" build=""0.3588"" key=""00105C0612B4200D1C62889967461DA4859A389D56593866A057937A7CD776670085560308646745000000000000000000000000000000000000000037141000"" />",
38,女,"<BodyProperties version=""4"" age=""27.67"" weight=""0.2593"" build=""0.2708"" key=""001E2400A114400D07789A97B9A795579439C476047BF400D10AE5AA8588778901C446130C35C64200000000000000000000000000000000000000003D9C4040"" />",
39,女,"<BodyProperties version=""4"" age=""22.28"" weight=""0.3264"" build=""0.3542"" key=""0023D008D6FC200AC48B8A1B8954D662854E84561ACFB500773B028B82A8688700B556030B06B74200000000000000000000000000000000000000000B743040"" />",
40,女,"<BodyProperties version=""4"" age=""25.84"" weight=""0.5"" build=""0.5"" key=""0005E40FCBE4301000766A7585958893A8D988F8979FF7098D95AE7475FA060701F776130F7530840000A00000F150000000000000000000000000004FF41000"" />",
41,女,"<BodyProperties version=""4"" age=""46.32"" weight=""0"" build=""0.3139"" key=""0000D8009214300A779813881800898477A088777880171FEF874977899887660495064509620120000000000000000000000000000000000000000079341000"" />",
42,女,"<BodyProperties version=""4"" age=""22"" weight=""0.45"" build=""0.5879"" key=""000B000E801426524700587737B85077987E858556978201A1D4CF168EC1203523023613FA777D3000000000000000000000000000001A97000000007B544000"" />",
43,女,"<BodyProperties version=""4"" age=""20"" weight=""0.3"" build=""0.1874"" key=""00056C00131430071E899541B074635694C7868458AD6842CABB4BB38795877850062603FB45525300000000000000000000000000000B34000000007D7C1000"" />",
44,女,"<BodyProperties version=""4"" age=""22"" weight=""0.3"" build=""0.0268"" key=""0011EC000014300CCE8994586367699494D589462B9DB8017CCBBDB4879A877701B02603FB27522000000000000000000000000000000B0400000000797C1000"" />",
45,女,"<BodyProperties version=""4"" age=""25.84"" weight=""0.5"" build=""0.5"" key=""00220C0012B4300C498A516261216057828D8CE0B67DE2149FE4AB307A4C323501A77613FA9133100000000000000FFE00000000000000000000000079602000"" />",
46,女,"<BodyProperties version=""4"" age=""22"" weight=""0.5"" build=""0"" key=""00000804D11430054A88545297234387D5BD8B6C6769433539E2BD2677751A2887255603F557722122220003952222230000000000000507000000006AAC2000"" />",
47,女,"<BodyProperties version=""4"" age=""22"" weight=""0.5"" build=""0.5"" key=""000B0409921430065073477628391665A6777E0F0397717675457A63855435947A465D1308766474000002222222232300000000000018770000000001082000"" />",
48,女,"<BodyProperties version=""4"" age=""22"" weight=""0.3"" build=""0"" key=""00006C039214300B6C87698B52332451C5B78B78A67737045794252D7557902675262645F6882544111210016424411100000000000046040000000048D44080"" />",
49,女,"<BodyProperties version=""4"" age=""22"" weight=""0.5"" build=""0.5"" key=""0011F40FD00030076A83366858A7377459CA8C7AB77A94069744DA777896364934134713098872670000000083343100000000000000197700000000013010C0"" />",
50,女,"<BodyProperties version=""4"" age=""20.84"" weight=""0.5"" build=""0.5"" key=""00000C0012B4300AF98A506461206A10B0948CE7B6CDE214D164FF008F4C320F7FA00613089100600000000000000F6500000000000018770000000067102000"" />",
51,女,"<BodyProperties version=""4"" age=""22.29"" weight=""0.5"" build=""0.5""  key=""0019000FC60026554700587737B85077987E858556978201A1D4CF168EC1203500A776030A777D3000000000000000000000000000001A77000000007D4C4001""  />",
52,女,"<BodyProperties version=""4"" age=""20.84"" weight=""0.5"" build=""0.5"" key=""001C8C0AD10000012E8994586366689794F788D59B6CA80C778BC5B4879A8777336156130A75524000000000000000000000000000001A77000000007D541000"" />",
53,女,"<BodyProperties version=""4"" age=""20.84"" weight=""0"" build=""0"" key=""00001C0FD1003001538FA4768176270351F9646614BEB6032AB5ED007F190F0C017006130740701200000000000000000000000000000000000000005CEC1000"" />",
54,女,"<BodyProperties version=""4"" age=""20.09"" weight=""0.1651"" build=""0.0301"" key=""001C8C0AD114000C2E8994586366689794F788D59B6CA80C778BCCB4879A8777000016030B75524000000000F00000000000000000000B02000000007D7C1000"" />",
55,女,"<BodyProperties version=""4"" age=""20"" weight=""0.0096"" build=""0.017"" key=""000BF80FD400101087977BB21477B740867BB5D788BC567878966E68835754B40180061308677456000000000000000000000000000000000000000035141000"" />",
56,女,"<BodyProperties version=""4"" age=""20.84"" weight=""0.5"" build=""0.5"" key=""0000000D400010042885239706B5288086E485655697880779928A468AA212580106761305221012000000000000000000000000000015770000000060BC4000"" />",
57,女,"<BodyProperties version=""4"" age=""20.73"" weight=""0.3"" build=""0"" key=""0000000140003006B28391A03456236261F6863E55A2544291B6B900861905A502004624F035114400000000000000000000000000000000000000007C043040"" />",
58,女,"<BodyProperties version=""4"" age=""21.21"" weight=""0.0309"" build=""0.034"" key=""0000080013B410014585644453334795D6D8899D45493C3749DAC89685B72926F00006020988358500000000F7E000000000000000000910000000003B3C1000"" />",
59,女,"<BodyProperties version=""4"" age=""21.9"" weight=""0.2346"" build=""0.3765"" key=""0000C40FC0A0300F9B879A97242A368475D77A426FB8E619D5969BA88A9736190086400308864049000000000000000000000000000000000000000055002080"" />",
60,女,"<BodyProperties version=""4"" age=""22"" weight=""0.1481"" build=""0.8549"" key=""00001C00128830021B7213026664249395A677465579832A8B47F7157C974E2800BD26030B6747501600006825641267000000000000000A00000000618410C0"" />",
61,女,"<BodyProperties version=""4"" age=""33.91"" weight=""0"" build=""0"" key=""0000280FC058400A49A679DB4792A639C778BB927685E76582534B9375AB592700A9042407484542000000000000000000000000000000270000000064E81000"" />",
62,女,"<BodyProperties version=""4"" age=""20"" weight=""0"" build=""0.1019"" key=""0000E00FC014300520866C960006F78489F779A677BC070079953804887A0307339606C20BF538312000050000F70F9000000000000000C9000000007F3C1000"" />",
63,女,"<BodyProperties version=""4"" age=""21.21"" weight=""0"" build=""0"" key=""0005F80804004010697666C7B247AAC870D788472C5878568156F8558C08633B008006020C65A2110000090000FF0000000000000000000C000000007F942000"" />",
64,女,"<BodyProperties version=""4"" age=""22.8"" weight=""0"" build=""0.6824"" key=""0000580000CC300B717700E00000C2C1F1A367E8968FF6029DB0BF00861E5070009A06030920000000000000000000000000000000000000000000003B241000"" />",
65,女,"<BodyProperties version=""4"" age=""22.25"" weight=""0.1431"" build=""0.7889"" key=""0000580F00CC300A717711E11111C2C1F1A356E8968FE6029DB0BF01861E5070008C26030820111100000000000000000000000000000000000000003B0C1000"" />",
66,女,"<BodyProperties version=""4"" age=""21.03"" weight=""0.017"" build=""1"" key=""001CF40E94FC30076C83396B58A46C715ACA89AADD78B458B79BDF777836067600F00702FB885508F000000000FF0F00000000000000000B000000007F701000"" />",
67,女,"<BodyProperties version=""4"" age=""25.84"" weight=""0.5"" build=""0.5"" key=""0000F002D2002010777086408456522293F9883A357038035698CF737B490117019776130991710100000000000000000000000000000000000000003F3C1000"" />",
68,女,"<BodyProperties version=""4"" age=""31.12"" weight=""0.9"" build=""0.0412"" key=""00280C0FD1140003DA7564A6A5781781F586836F679ABB44BFFAC1478DA922330131D614F341A45000000000000000000000000000000000000000004E6C2000"" />",
69,女,"<BodyProperties version=""4"" age=""22.95"" weight=""0.0208"" build=""0"" key=""0005380013B430159487844707B772C150FA8659180EC0747F54D704855F8425006006030601800000000000000000000000000000000000000000007EC41000"" />",
70,女,"<BodyProperties version=""4"" age=""22.96"" weight=""0"" build=""0"" key=""000AF00080B430057887811808B782D071F9765609379443EF149504855F8425007006030715720000000000000000000000000000000000000000007EF40000"" />",
71,女,"<BodyProperties version=""4"" age=""22.96"" weight=""0"" build=""0"" key=""0005E802000030063787E517776C00A080EC87570B19D186A879FA68854D1088000006030051800000000000000000000000000000000000000000007E042000"" />",
72,女,"<BodyProperties version=""4"" age=""22.97"" weight=""0.125"" build=""0.1968"" key=""0008D80B80B430015F88710487A8776070FB745A441961067384F713855F2289007326030713922100000000000000000000000000000000000000006CFC2000"" />",
73,女,"<BodyProperties version=""4"" age=""22.96"" weight=""0"" build=""0"" key=""00023004C0B430043F8B8706C4AA8881C0A385562C0A9090EF6B64088C09201E007006030753E31000000000000000000000000000000000000000003EF41000"" />",
74,女,"<BodyProperties version=""4"" age=""22.96"" weight=""0.0417"" build=""0"" key=""00053804C0B430062487830467B9728490BB885A0807F0C68F88F610897C2426000016030001800000000000000000000000000000000000000000007E042000"" />",
75,女,"<BodyProperties version=""4"" age=""22.96"" weight=""0"" build=""0"" key=""0010D80FC0B4300E0D8B8306C4AA5981E1D386551D6F8066FF7A56058C06200E005006030573E31000000000000000000000000000000000000000003E9C2000"" />",
76,女,"<BodyProperties version=""4"" age=""22.96"" weight=""0"" build=""0"" key=""0008880D00B430158C887106878A4753B0DB8656062FD0535D0BBA0F88ED103A007006030773A221000000000000000000000000000000000000000000E41000"" />",
