ID,TK5Name,CNName,TK5Type,Kind,SourceCount,Remark
tk5_trade_kami,紙,,,trade_good,22,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shikon,紫根,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kokiito_shitasankoui,縹糸下散紅威,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_mino_gami,美濃紙,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hisui_no_kazari,翡翠首飾,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_seikishi_no_yoroi,聖騎士之鎧,,,item,12,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_feizao,肥皂,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_koshou,胡椒,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_wakizashi,脇差,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shikishi,色紙,,,trade_good,5,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hanashita_yuraku_zu,花下遊樂圖,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_akane,茜,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_egoma,荏胡麻,,,trade_good,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_moye,莫邪,,,item,16,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kikuchi_yari,菊池槍,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kikuzake,菊酒,,,item,7,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_hagi_yaki,萩燒,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_manreki_akae,萬曆赤絵,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_budo,葡萄,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_putao_jiu,葡萄酒,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_soba,蕎麦,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_ai,藍,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ashiya_gama,蘆屋釜,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ranshatai,蘭奢待,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shiyu_no_yoroi,蚩尤之鎧,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_dangao,蛋糕,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_mikan,蜜柑,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_akaraku_chawan,赤樂茶碗,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ashigaru_gusoku,足輕具足,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_wajima_nuri,輪島塗,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_oomi_kuro,近江黑,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shoyu,醬油,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kinkai,金塊,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_konpeito,金平糖,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kondami_gusoku,金陀美具足,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kusari_gusoku,鎖具足,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_zuanshi,鑽石,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_raikiri,雷切,,,item,7,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_seiji_hanaire,青磁花入,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_bakouhaken,馬蝗絆,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_onimaru,鬼丸,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_sushi,鮨,,,trade_good,9,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_tai,鯛魚,,,trade_good,15,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_torinoko_kami,鳥子紙,,,trade_good,5,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_bakushu,麦酒,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kizeto_hanaire,黄瀬戶花入,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kizeto_chawan,黄瀬戶茶碗,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ougon_bundo,黄金分銅,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kuro_raku_chawan,黑樂茶碗,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kuroashi_odoshi_doumaru,黑葦威胴丸,,,item,10,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kurogumo,黑雲,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_longxia,龍蝦,,,trade_good,10,2026-08-30 语料扫描（07 数据包补 ID/类型）
