ID,ScriptName,ChineseName,Area,Culture,Settlement,IsMerge,Alias,Owner_1554,Soldiers_1554,Owner_1560,Soldiers_1560,Owner_1568,Soldiers_1568,Owner_1575,Soldiers_1575,Owner_1582,Soldiers_1582,Owner_1598,Soldiers_1598
145,天雾城,天雾城,赞歧,四国,天雾,0,,,,,,,,,,,,,
146,汤筑城,汤筑城,伊予,四国,汤筑,0,,,,,,,,,,,,,
147,川之江城,川之江城,伊予,四国,川之江,0,,,,,,,,,,,,,
148,宇和岛城,宇和岛城,伊予,四国,宇和岛,1,,,,,,,,,,,,,
149,抚养城,抚养城,阿波淡路,四国,德岛,1,,,,,,,,,,,,,
150,胜瑞城,胜瑞城,阿波淡路,四国,德岛,1,,,,,,,,,,,,,
151,洲本城,洲本城,阿波淡路,四国,洲本,0,,,,,,,,,,,,,
152,白地城,白地城,阿波淡路,四国,德岛,1,,,,,,,,,,,,,
153,冈丰城,冈丰城,土佐,四国,冈丰,0,,,,,,,,,,,,,
154,安芸城,安芸城,土佐,四国,浦户,1,,,,,,,,,,,,,
155,中村城,中村城,土佐,四国,中村御所,1,,,,,,,,,,,,,
156,金石城,金石城,筑前对马,九州,立花山城,1,,,,,,,,,,,,,
157,立花山城,立花山城,筑前对马,九州,立花山,0,,,,,,,,,,,,,
158,岩屋城,岩屋城,筑前对马,九州,立花山城,1,,,,,,,,,,,,,
159,柳川城,柳川城,筑后,九州,柳川,0,,,,,,,,,,,,,
160,久留米城,久留米城,筑后,九州,久留米,1,,,,,,,,,,,,,
161,佐嘉城,佐嘉城,肥前,九州,佐嘉,0,,,,,,,,,,,,,
162,大村城,大村城,肥前,九州,佐嘉城,1,,,,,,,,,,,,,
163,平户城,平户城,肥前,九州,口之津,1,,,,,,,,,,,,,
164,日野江城,日野江城,肥前,九州,日野江,0,,,,,,,,,,,,,
165,岩尾城,岩尾城,肥后,九州,岩尾,0,,,,,,,,,,,,,
166,隈本城,隈本城,肥后,九州,隈本,0,,,,,,,,,,,,,
167,人吉城,人吉城,肥后,九州,人吉,0,,,,,,,,,,,,,
168,八代城,八代城,肥后,九州,八代,1,,,,,,,,,,,,,
169,城井谷城,城井谷城,丰前,九州,井谷,0,,,,,,,,,,,,,
170,小仓城,小仓城,丰前,九州,门司,1,,,,,,,,,,,,,
171,府内城,府内城,丰後,九州,府中城,1,,,,,,,,,,,,,
172,冈城,冈城,丰後,九州,冈,0,,,,,,,,,,,,,
173,佐伯城,佐伯城,丰後,九州,佐伯,1,,,,,,,,,,,,,
174,都於郡城,都於郡城,日向,九州,都之城,1,,,,,,,,,,,,,
175,饫肥城,饫肥城,日向,九州,油津,1,,,,,,,,,,,,,
176,县城,县城,日向,九州,宫崎,1,,,,,,,,,,,,,
177,大隅高山城,大隅高山城,大隅,九州,高山城,1,,,,,,,,,,,,,
178,加治木城,加治木城,大隅,九州,加治木,0,,,,,,,,,,,,,
179,内城,内城,萨摩,九州,内,0,,,,,,,,,,,,,
180,出水城,出水城,萨摩,九州,出水,0,,,,,,,,,,,,,
