StringId,NameRaw,ChineseName,Culture,Faction
lord_1_maeba_6,Maeba Kyo,阿京,Culture.hokuriku,Faction.clan_maeba_1
lord_1_anekouji,Anekouji Yoshiyori,姊小路 良赖,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_1,Anekouji Hagi,阿萩,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_2,Anekouji Yoritsuna,姊小路 赖纲,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_3,Anekouji Mei,阿明,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_4,Anekouji Nobutsuna,姊小路 信纲,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_5,Anekouji Hidetsuna,姊小路 秀纲,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_6,Anekouji Suetsuna,姊小路 季纲,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_7,Anekouji Hisa,阿久,Culture.tosan,Faction.clan_anekouji_1
lord_1_anekouji_8,Anekouji Tei,小丁,Culture.tosan,Faction.clan_anekouji_1
lord_1_miki,Miki Kunitsuna,三木 国纲,Culture.tosan,Faction.clan_miki_1
lord_1_miki_1,Miki Kise,喜势,Culture.tosan,Faction.clan_miki_1
lord_1_miki_2,Miki Akitsuna,三木 显纲,Culture.tosan,Faction.clan_miki_1
lord_1_miki_3,Miki Yuki,阿幸,Culture.tosan,Faction.clan_miki_1
lord_1_uchigashima,Uchigashima Ujimasa,内岛 氏理,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_1,Uchigashima Tsune,阿常,Culture.tosan,Faction.clan_uchigashima_1
dead_lord_1_uchigashima_2,Uchigashima Ujitoshi,内岛 氏利,Culture.tosan,Faction.clan_uchigashima_1
dead_lord_1_uchigashima_3,Uchigashima Shinko-in,心光院,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_4,Uchigashima Ujiyuki,内岛 氏行,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_5,Uchigashima Chise,千世,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_6,Uchigashima Ujinori,内岛 氏规,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_7,Uchigashima Ujifusa,内岛 氏房,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_8,Uchigashima Ujichika,内岛 氏亲,Culture.tosan,Faction.clan_uchigashima_1
lord_1_uchigashima_9,Uchigashima Sue,阿末,Culture.tosan,Faction.clan_uchigashima_1
lord_1_shimotsuma,Shimotsuma Rairen,下间 赖廉,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_1,Shimotsuma Tensho-in,天璋院,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_2,Shimotsuma Rairyo,下间 赖亮,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_3,Shimotsuma  Munekiyo,下间 宗清,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_4,Shimotsuma Rengoyoku-ni,莲护尼,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_5,Shimotsuma Saiko-ni,西光尼,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_6,Shimotsuma Raisho,下间 赖照,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_7,Shimotsuma Keian-in,庆安院,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_8,Shimotsuma Nakataka,下间 仲孝,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_9,Shimotsuma Raitan,下间 赖旦,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_10,Shimotsuma Koutoku-in,高德院,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shimotsuma_11,Shimotsuma Rairyu,下间 赖龙,Culture.hokuriku,Faction.clan_shimotsuma_1
lord_1_shichiri,Shichiri Yorichika,七里 赖周,Culture.hokuriku,Faction.clan_shichiri_1
lord_1_shichiri_1,Shichiri Renmyo-in,莲妙院,Culture.hokuriku,Faction.clan_shichiri_1
lord_1_shichiri_2,Shichiri Shoko-ni,诸光尼,Culture.hokuriku,Faction.clan_shichiri_1
lord_1_shichiri_3,Shichiri Tenshin-ni,天心尼,Culture.hokuriku,Faction.clan_shichiri_1
lord_1_notohatakeyama,Noto-Hatakeyama Yoshinori,畠山 义则,Culture.hokuriku,Faction.clan_notohatakeyama_1
lord_1_notohatakeyama_1,Noto-Hatakeyama Keiko,惠子,Culture.hokuriku,Faction.clan_notohatakeyama_1
dead_lord_1_notohatakeyama_2,Noto-Hatakeyama Yoshitsuna,畠山 义纲,Culture.hokuriku,Faction.clan_notohatakeyama_1
dead_lord_1_notohatakeyama_3,Noto-Hatakeyama Keisei-in,惠圣院,Culture.hokuriku,Faction.clan_notohatakeyama_1
lord_1_notohatakeyama_4,Noto-Hatakeyama Yoshitaka,畠山 义隆,Culture.hokuriku,Faction.clan_notohatakeyama_1
lord_1_cho,Cho Tsugutsura,长 续连,Culture.hokuriku,Faction.clan_cho_1
lord_1_cho_1,Cho Kine,阿甲,Culture.hokuriku,Faction.clan_cho_1
lord_1_cho_2,Cho Tsunatsura,长 纲连,Culture.hokuriku,Faction.clan_cho_1
lord_1_cho_3,Cho Chiho,千本,Culture.hokuriku,Faction.clan_cho_1
lord_1_cho_4,Cho Turatatsu,长 连龙,Culture.hokuriku,Faction.clan_cho_1
lord_1_yusa,Yusa Tsugumitsu,游佐 续光,Culture.hokuriku,Faction.clan_yusa_1
lord_1_yusa_1,Yusa Sue,阿末,Culture.hokuriku,Faction.clan_yusa_1
lord_1_yusa_2,Yusa Morimitsu,游佐 盛光,Culture.hokuriku,Faction.clan_yusa_1
lord_1_nukui,Nukui Kagetaka,温井 景隆,Culture.hokuriku,Faction.clan_nukui_1
lord_1_nukui_1,Nukui Kane,阿金,Culture.hokuriku,Faction.clan_nukui_1
dead_lord_1_nukui_2,Nukui Tsugumune,温井 续宗,Culture.hokuriku,Faction.clan_nukui_1
dead_lord_1_nukui_3,Nukui En,阿圆,Culture.hokuriku,Faction.clan_nukui_1
lord_1_nukui_4,Nukui Nagamori,温井 长盛,Culture.hokuriku,Faction.clan_nukui_1
lord_1_nukui_5,Nukui Mitsu,阿光,Culture.hokuriku,Faction.clan_nukui_1
lord_1_maeda,Maeda Toshiie,前田 利家,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_1,Maeda Matsu,阿松,Culture.tosan,Faction.clan_maeda_1
dead_lord_1_maeda_2,Maeda Toshiharu,前田 利春,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_3,Maeda Chorei-in,长龄院,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_4,Maeda Toshinaga,前田 利长,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_5,Maeda Kou,阿江,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_6,Maeda Shizu,阿静,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_7,Maeda Toshihisa,前田 利久,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_8,Maeda Tomi,阿富,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_9,Maeda Toshimasu,前田 利益,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_10,Maeda Yasukatsu,前田 安胜,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_11,Maeda Aki,阿秋,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_12,Maeda Toshiyoshi,前田 利好,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_13,Maeda Hidetsugu,前田 秀继,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_14,Maeda Kai,甲斐,Culture.tosan,Faction.clan_maeda_1
lord_1_maeda_15,Maeda Toshihide,前田 利秀,Culture.tosan,Faction.clan_maeda_1
lord_1_akechi,Akechi Mitsuhide,明智 光秀,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_1,Akechi Hiroko,弘子,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_2,Akechi Mitsuyoshi,明智 光庆,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_3,Akechi Ei,阿英,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_4,Akechi Mitsutada,明智 光忠,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_5,Akechi Toku,阿德,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_6,Akechi Hidemitsu,明智 秀满,Culture.tosan,Faction.clan_akechi_1
lord_1_akechi_7,Akechi Tama,明智 玉,Culture.tosan,Faction.clan_akechi_1
lord_1_niwa,Niwa Nagahide,丹羽 长秀,Culture.tosan,Faction.clan_niwa_1
lord_1_niwa_1,Niwa Fuse,阿伏,Culture.tosan,Faction.clan_niwa_1
lord_1_niwa_2,Niwa Masa,真砂,Culture.tosan,Faction.clan_niwa_1
lord_1_niwa_3,Niwa Take,阿竹,Culture.tosan,Faction.clan_niwa_1
lord_1_ikeda,Ikeda Tsuneoki,池田 恒兴,Culture.tosan,Faction.clan_ikeda_1
lord_1_ikeda_1,Ikeda Zen'o-in,善应院,Culture.tosan,Faction.clan_ikeda_1
dead_lord_1_ikeda_2,Ikeda Tsunetoshi,池田 恒利,Culture.tosan,Faction.clan_ikeda_1
lord_1_ikeda_3,Ikeda Youtoku-in,养德院,Culture.tosan,Faction.clan_ikeda_1
lord_1_ikeda_4,Ikeda Motosuke,池田 元助,Culture.tosan,Faction.clan_ikeda_1
lord_1_ikeda_5,Ikeda Terumasa,池田 辉政,Culture.tosan,Faction.clan_ikeda_1
lord_1_ikeda_6,Ikeda Sen,千,Culture.tosan,Faction.clan_ikeda_1
lord_1_tokugawa,Tokugawa Ieyasu,德川 家康,Culture.tokai,Faction.clan_tokugawa_1
lord_1_tokugawa_1,Tokugawa Tsukiyama,筑山殿,Culture.tokai,Faction.clan_tokugawa_1
lord_1_tokugawa_2,Tokugawa Nobuyasu,德川 信康,Culture.tokai,Faction.clan_tokugawa_1
lord_1_tokugawa_3,Tokugawa Kame,龟姬,Culture.tokai,Faction.clan_tokugawa_1
lord_1_tokugawa_4,Tokugawa Toku,督姬,Culture.tokai,Faction.clan_tokugawa_1
lord_1_honda,Honda Tadakatsu,本多 忠胜,Culture.tokai,Faction.clan_honda_1
lord_1_honda_1,Honda Hisa,阿久,Culture.tokai,Faction.clan_honda_1
lord_1_honda_2,Honda Shigetsugu,本多 重次,Culture.tokai,Faction.clan_honda_1
lord_1_honda_3,Honda Sane,阿实,Culture.tokai,Faction.clan_honda_1
lord_1_honda_4,Honda Toshimasa,本多 俊正,Culture.tokai,Faction.clan_honda_1
lord_1_honda_5,Honda Chie,千枝,Culture.tokai,Faction.clan_honda_1
lord_1_honda_6,Honda Masanobu,本多 正信,Culture.tokai,Faction.clan_honda_1
lord_1_honda_7,Honda Shii,阿椎,Culture.tokai,Faction.clan_honda_1
lord_1_honda_8,Honda Masazumi,本多 正纯,Culture.tokai,Faction.clan_honda_1
lord_1_honda_9,Honda Masashige,本多 正重,Culture.tokai,Faction.clan_honda_1
lord_1_honda_10,Honda Tsune,阿常,Culture.tokai,Faction.clan_honda_1
lord_1_sakakibara,Sakakibara Yasumasa,榊原 康政,Culture.tokai,Faction.clan_sakakibara_1
dead_lord_1_sakakibara_1,Sakakibara Nagamasa,榊原 长政,Culture.tokai,Faction.clan_sakakibara_1
dead_lord_1_sakakibara_2,Sakakibara Yuzu,柚子,Culture.tokai,Faction.clan_sakakibara_1
lord_1_sakakibara_3,Sakakibara Kiyomasa,榊原 清政,Culture.tokai,Faction.clan_sakakibara_1
lord_1_sakai,Sakai Tadatsugu,酒井 忠次,Culture.tokai,Faction.clan_sakai_1
lord_1_sakai_1,Sakai Usui,碓井姫,Culture.tokai,Faction.clan_sakai_1
lord_1_sakai_2,Sakai Ietsugu,酒井 家次,Culture.tokai,Faction.clan_sakai_1
lord_1_sakai_3,Sakai Fuu,阿枫,Culture.tokai,Faction.clan_sakai_1
lord_1_ii,Ii Naotora,井伊 直虎,Culture.tokai,Faction.clan_ii_1
dead_lord_1_ii_1,Ii Naochika,井伊 直亲,Culture.tokai,Faction.clan_ii_1
lord_1_ii_2,Ii Hiyo,日余,Culture.tokai,Faction.clan_ii_1
lord_1_ii_3,Ii Naomasa,井伊 直政,Culture.tokai,Faction.clan_ii_1
lord_1_ii_4,Ii Takase,高濑姬,Culture.tokai,Faction.clan_ii_1
lord_1_okubo,Okubo Tadakazu,大久保 忠员,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_1,Okubo Kaede,阿枫,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_2,Okubo Tadayo,大久保 忠世,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_3,Okubo Koto,阿琴,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_4,Okubo Tadachika,大久保 忠邻,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_5,Okubo Tadanari,大久保 忠成,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_6,Okubo Tadasuke,大久保 忠佐,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_7,Okubo Amane,阿周,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_8,Okubo Tadatame,大久保 忠为,Culture.tokai,Faction.clan_okubo_1
lord_1_okubo_9,Okubo Tadataka,大久保 忠教,Culture.tokai,Faction.clan_okubo_1
lord_1_hattori,Hattori Masanari,服部 正成,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_1,Hattori Naga,阿永,Culture.tokai,Faction.clan_hattori_1
dead_lord_1_hattori_2,Hattori Yasunaga,服部 保长,Culture.tokai,Faction.clan_hattori_1
dead_lord_1_hattori_3,Hattori Kiku,阿菊,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_4,Hattori Masanari,服部 正成,Culture.tokai,Faction.clan_hattori_1
dead_lord_1_hattori_5,Hattori Yasutoshi,服部 保俊,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_6,Hattori Tsuru,阿鹤,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_7,Hattori Yasuhide,服部 保英,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_8,Hattori Yasumasa,服部 保正,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_9,Hattori Haru,阿春,Culture.tokai,Faction.clan_hattori_1
lord_1_hattori_10,Hattori Yasunari,服部 康成,Culture.tokai,Faction.clan_hattori_1
lord_1_uesugi,Uesugi Kenshin,上杉 谦信,Culture.hokuriku,Faction.clan_uesugi_1
dead_lord_1_uesugi_1,Uesugi Tamekage,长尾 为景,Culture.hokuriku,Faction.clan_uesugi_1
lord_1_uesugi_2,Uesugi Seigan-in,青岩院,Culture.hokuriku,Faction.clan_uesugi_1
lord_1_uesugi_3,Uesugi Aya,绫御前,Culture.hokuriku,Faction.clan_uesugi_1
dead_lord_1_uesugi_4,Uesugi Masakage,长尾 政景,Culture.hokuriku,Faction.clan_uesugi_1
lord_1_uesugi_5,Uesugi Kagekatsu,上杉 景胜,Culture.hokuriku,Faction.clan_uesugi_1
lord_1_uesugi_6,Uesugi Madoka,阿圆,Culture.hokuriku,Faction.clan_uesugi_1
lord_1_irobe,Irobe Katsunaga,色部 胜长,Culture.hokuriku,Faction.clan_irobe_1
lord_1_irobe_1,Irobe Azuki,小豆,Culture.hokuriku,Faction.clan_irobe_1
lord_1_irobe_2,Irobe Akinaga,色部 显长,Culture.hokuriku,Faction.clan_irobe_1
lord_1_irobe_3,Irobe Nagazane,色部 长实,Culture.hokuriku,Faction.clan_irobe_1
lord_1_kakizaki,Kakizaki Kageie,柿崎 景家,Culture.hokuriku,Faction.clan_kakizaki_1
lord_1_kakizaki_1,Kakizaki Kiku,安房,Culture.hokuriku,Faction.clan_kakizaki_1
lord_1_kakizaki_2,Kakizaki Haruie,柿崎 晴家,Culture.hokuriku,Faction.clan_kakizaki_1
lord_1_kakizaki_3,Kakizaki Matsu,小舞,Culture.hokuriku,Faction.clan_kakizaki_1
lord_1_naoe,Naoe Kagetsuna,直江 景纲,Culture.hokuriku,Faction.clan_naoe_1
lord_1_naoe_1,Naoe Ran,阿兰,Culture.hokuriku,Faction.clan_naoe_1
lord_1_naoe_2,Naoe Sen,阿千,Culture.hokuriku,Faction.clan_naoe_1
lord_2_shibata,Shibata Nagaatsu,新发田 长敦,Culture.hokuriku,Faction.clan_shibata_2
lord_2_shibata_1,Shibata Saki,阿咲,Culture.hokuriku,Faction.clan_shibata_2
dead_lord_2_shibata_2,Shibata Tsunasada,新发田 纲贞,Culture.hokuriku,Faction.clan_shibata_2
dead_lord_2_shibata_3,Shibata Tensho-in,天璋院,Culture.hokuriku,Faction.clan_shibata_2
lord_2_shibata_4,Shibata Shigeie,新发田 重家,Culture.hokuriku,Faction.clan_shibata_2
lord_2_shibata_5,Shibata Kotake,小竹,Culture.hokuriku,Faction.clan_shibata_2
lord_1_jinbo,Jinbo Nagamoto,神保 长职,Culture.hokuriku,Faction.clan_jinbo_1
lord_1_jinbo_1,Jinbo Asahi,阿旭,Culture.hokuriku,Faction.clan_jinbo_1
lord_1_jinbo_2,Jinbo Nagazumi,神保 长住,Culture.hokuriku,Faction.clan_jinbo_1
lord_1_jinbo_3,Jinbo Naka,阿仲,Culture.hokuriku,Faction.clan_jinbo_1
lord_1_jinbo_4,Jinbo Nagakuni,神保 长城,Culture.hokuriku,Faction.clan_jinbo_1
lord_1_jinbo_5,Jinbo Sayo,小夜,Culture.hokuriku,Faction.clan_jinbo_1
lord_2_murakami,Murakami Yoshikiyo,村上 义清,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_1,Murakami Fune,阿船,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_2,Murakami Yoshikatsu,村上 义胜,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_3,Murakami Sada,佐多,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_4,Murakami Yoshiteru,村上 义照,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_5,Murakami Kyo,阿京,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_6,Murakami Yoshikuni,村上 义邦,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_7,Murakami Tai,碓井,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_8,Murakami Kunikiyo,村上 国清,Culture.hokuriku,Faction.clan_murakami_2
lord_2_murakami_9,Murakami Kazu,阿一,Culture.hokuriku,Faction.clan_murakami_2
lord_1_honma,Honma Sadakane,本间 贞兼,Culture.hokuriku,Faction.clan_honma_1
lord_1_honma_1,Honma Tsuta,阿茑,Culture.hokuriku,Faction.clan_honma_1
lord_1_honma_2,Honma Takatsuna,本间 高统,Culture.hokuriku,Faction.clan_honma_1
lord_1_honma_3,Honma Tomo,阿友,Culture.hokuriku,Faction.clan_honma_1
lord_1_honma_4,Honma Muneyuki,本间 宗幸,Culture.hokuriku,Faction.clan_honma_1
lord_1_honma_5,Honma Takaou,本间 高应,Culture.hokuriku,Faction.clan_honma_1
lord_1_honjo,Honjo Sigenaga,本庄 繁长,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_1,Honjo Momiji,红叶,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_2,Honjo Akinaga,本庄 显长,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_3,Honjo Saneyori,本庄 实乃,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_4,Honjo Sagami,相模,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_5,Honjo Hidetsuna,本庄 秀纲,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_6,Honjo Ise,伊势,Culture.hokuriku,Faction.clan_honjo_1
lord_1_honjo_7,Honjo Kageyori,本庄 景赖,Culture.hokuriku,Faction.clan_honjo_1
lord_1_takeda,Takeda Shingen,武田 信玄,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_1,Takeda Sanjo-no-kata,三条 之方,Culture.tosan,Faction.clan_takeda_1
dead_lord_1_takeda_2,Takeda Nobutora,武田 信虎,Culture.tosan,Faction.clan_takeda_1
dead_lord_1_takeda_3,Takeda Oi,小井,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_4,Takeda Katsuyori,武田 胜赖,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_5,Takeda Nobukiyo,武田 信清,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_6,Takeda Mari,麻里,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_7,Takeda Kiku,菊姬,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_8,Takeda Matsu,松姬,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_9,Takeda Nobukado,武田 信廉,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_10,Takeda Oboro,阿胧,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_11,Takeda Nobuzumi,武田 信澄,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_12,Takeda Nobuaki,武田 信显,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_13,Takeda Tsuyu,阿露,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_14,Takeda Nobutomo,武田 信友,Culture.tosan,Faction.clan_takeda_1
lord_1_takeda_15,Takeda Koharu,小春,Culture.tosan,Faction.clan_takeda_1
lord_1_baba,Baba Nobuharu,马场 信春,Culture.tosan,Faction.clan_baba_1
lord_1_baba_1,Baba Shinko-in,心光院,Culture.tosan,Faction.clan_baba_1
lord_1_baba_2,Baba Masafusa,马场 昌房,Culture.tosan,Faction.clan_baba_1
lord_1_baba_3,Baba Tatsu,阿龙,Culture.tosan,Faction.clan_baba_1
lord_1_baba_4,Baba Nobuyoshi,马场 信义,Culture.tosan,Faction.clan_baba_1
lord_1_baba_5,Baba Fumi,阿文,Culture.tosan,Faction.clan_baba_1
lord_1_baba_6,Baba Fusakatsu,马场 房胜,Culture.tosan,Faction.clan_baba_1
lord_1_baba_7,Baba Mai,麻衣,Culture.tosan,Faction.clan_baba_1
lord_1_kiso,Kiso Yoshiyasu,木曾 义康,Culture.tosan,Faction.clan_kiso_1
lord_1_kiso_1,Kiso Maki,万喜,Culture.tosan,Faction.clan_kiso_1
lord_1_kiso_2,Kiso Yoshimasa,木曾 义昌,Culture.tosan,Faction.clan_kiso_1
lord_1_kiso_3,Kiso Mari,麻里,Culture.tosan,Faction.clan_kiso_1
lord_1_kiso_4,Kiso Yoshitoyo,木曾 义丰,Culture.tosan,Faction.clan_kiso_1
lord_1_kiso_5,Kiso Iwa,伊波,Culture.tosan,Faction.clan_kiso_1
lord_1_sanada,Sanada Nobutsuna,真田 信纲,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_1,Sanada Kita,喜多,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_2,Sanada Yukitsuna,真田 幸纲,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_3,Sanada Kyou'un-in,恭云院,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_4,Sanada Masateru,真田 昌辉,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_5,Sanada Azuma,阿万,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_6,Sanada Masayuki,真田 昌幸,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_7,Sanada Yamanote,山手殿,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_8,Sanada Nobuyuki,真田 信幸,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_9,Sanada Nobushige,真田 信繁,Culture.tosan,Faction.clan_sanada_1
lord_1_sanada_10,Sanada Nobutada,真田 信尹,Culture.tosan,Faction.clan_sanada_1
lord_1_nishina,Nishina Morinobu,仁科 盛信,Culture.tosan,Faction.clan_nishina_1
dead_lord_1_nishina_1,Nishina Morimasa,仁科 盛政,Culture.tosan,Faction.clan_nishina_1
lord_1_nishina_2,Nishina Sekisho-in,赤松院,Culture.tosan,Faction.clan_nishina_1
lord_1_nishina_3,Nishina Moritaka,仁科 盛孝,Culture.tosan,Faction.clan_nishina_1
lord_1_nishina_4,Nishina Morikiyo,仁科 盛清,Culture.tosan,Faction.clan_nishina_1
lord_1_oyamada,Oyamada Nobushige,小山田 信茂,Culture.tosan,Faction.clan_oyamada_1
lord_1_oyamada_1,Oyamada Momo,桃子,Culture.tosan,Faction.clan_oyamada_1
lord_1_oyamada_2,Oyamada Nobutsuna,小山田 信纲,Culture.tosan,Faction.clan_oyamada_1
lord_1_oyamada_3,Oyamada Harusuke,春助,Culture.tosan,Faction.clan_oyamada_1
lord_1_anayama,Anayama Nobutada,穴山 信君,Culture.tosan,Faction.clan_anayama_1
lord_1_anayama_1,Anayama Fuchi,小渊,Culture.tosan,Faction.clan_anayama_1
lord_1_yamagata,Yamagata Masakage,山县 昌景,Culture.tosan,Faction.clan_yamagata_1
lord_1_yamagata_1,Yamagata Yumi,小弓,Culture.tosan,Faction.clan_yamagata_1
