ID,Category,Phase,PersonalityTrait,TrustMin,TrustMax,Grade,Text,Emotion
VillageDefense_Closure_Any_0_50_Perfect,VillageDefense,Closure,Any,0,50,Perfect,村子保住了……乡亲们都说是你救了{TARGET}。{REWARD}第纳尔，我们能给的就这么多了。恩人。,grateful
VillageDefense_Closure_Any_0_50_Good,VillageDefense,Closure,Any,0,50,Good,匪徒退了！{REWARD}第纳尔，说好的报酬。村里暂时安全了。,normal
VillageDefense_Closure_Any_0_50_Failed,VillageDefense,Closure,Any,0,50,Failed,村子还是遭了殃……我知道你也尽力了。但还是请你走吧。,sad
VillageDefense_Closure_Any_51_100_Perfect,VillageDefense,Closure,Any,51,100,Perfect,你又救了{TARGET}一次——乡亲们凑了点谢礼，{REWARD}第纳尔。别推辞，你应得的。,grateful
CaravanEscort_Opening_Any_0_100,CaravanEscort,Opening,Any,0,100,,我有一批货要运到{LOCATION}，但路上不太平。你护送我的商队——平安到了，{REWARD}第纳尔就是你的。,normal
CaravanEscort_Opening_Greedy_0_100,CaravanEscort,Opening,Greedy,0,100,,这趟货要是丢了我就破产了。{REWARD}第纳尔——到了{LOCATION}另有分红。怎么样，能接吗？,urgent
CaravanEscort_Opening_Cautious_0_100,CaravanEscort,Opening,Cautious,0,100,,我之前雇的护卫都跑了……这条路去{LOCATION}确实不太平。{REWARD}第纳尔。你看着比他们靠谱。,nervous
CaravanEscort_Closure_Any_0_50_Perfect,CaravanEscort,Closure,Any,0,50,Perfect,货完好无损！{REWARD}第纳尔，一分没少。你这护卫手艺——比雇过的所有人都强。,impressed
CaravanEscort_Closure_Any_0_50_Good,CaravanEscort,Closure,Any,0,50,Good,平安到了，虽然路上吓出了几身冷汗。{REWARD}第纳尔，辛苦了。,normal
CaravanEscort_Closure_Any_0_50_Passable,CaravanEscort,Closure,Any,0,50,Passable,总算到了……丢了两箱货，但人没事。{REWARD}第纳尔，希望下次能再好一点。,disappointed
CaravanEscort_Closure_Any_51_100_Good,CaravanEscort,Closure,Any,51,100,Good,有你护着，这趟走得最踏实。{REWARD}第纳尔——下次出货我还找你。,happy
SupplyEmergency_Opening_Any_0_100,SupplyEmergency,Opening,Any,0,100,,{LOCATION}急缺{ITEM}！我已经撑不了多久了。去市场帮我买{COUNT}单位的{ITEM}——越快越好！{REWARD}第纳尔。,urgent
SupplyEmergency_Opening_Greedy_0_100,SupplyEmergency,Opening,Greedy,0,100,,{LOCATION}的{ITEM}断供了，再补不上我这生意就完了。{REWARD}第纳尔的预算——花得越少，剩下的归你。快去快回！,urgent
SupplyEmergency_Closure_Any_0_50_Perfect,SupplyEmergency,Closure,Any,0,50,Perfect,这么快就回来了？{ITEM}刚好救急！{REWARD}第纳尔——你办事真利索。,impressed
SupplyEmergency_Closure_Any_0_50_Good,SupplyEmergency,Closure,Any,0,50,Good,可算等到了。{REWARD}第纳尔，生意能继续做了。,normal
SupplyEmergency_Closure_Any_0_50_Failed,SupplyEmergency,Closure,Any,0,50,Failed,没弄到？……这下麻烦了。定金的事以后再说，我得想别的办法了。,disappointed
LostItem_Opening_Any_0_100,LostItem,Opening,Any,0,100,,我的{ITEM}被人偷了！最后有人看见小偷往{LOCATION}方向跑了。帮我把东西找回来——{REWARD}第纳尔。,urgent
LostItem_Closure_Any_0_50_Perfect,LostItem,Closure,Any,0,50,Perfect,就是它！我还以为这辈子见不着了……{REWARD}第纳尔，这是说好的。谢谢。,grateful
LostItem_Closure_Any_0_50_Failed,LostItem,Closure,Any,0,50,Failed,找不到了吗……也罢，旧的不去新的不来。你尽力了。,sad
PrisonBreak_Opening_Any_0_100,PrisonBreak,Opening,Any,0,100,,我的朋友{TARGET}被关在{LOCATION}的监狱里——他是被冤枉的。帮我把他救出来，{REWARD}第纳尔。,urgent
PrisonBreak_Closure_Any_0_50_Perfect,PrisonBreak,Closure,Any,0,50,Perfect,他出来了！{TARGET}托我谢谢你——{REWARD}第纳尔收着，这份人情我们记下了。,grateful
HideoutClear_Opening_Any_0_100,HideoutClear,Opening,Any,0,100,,{LOCATION}附近有个匪窝，商队都不敢走了。清理掉它——{REWARD}第纳尔，周围的生意人都凑了份子。,normal
HideoutClear_Closure_Any_0_50_Perfect,HideoutClear,Closure,Any,0,50,Perfect,匪窝端了！路上终于太平了。{REWARD}第纳尔——商队都让我给你带好。,impressed
TreasureHunt_Opening_Any_0_100,TreasureHunt,Opening,Any,0,100,,我搞到了一张藏宝图，地方在{LOCATION}附近——但我一个人不敢去。你陪我去，{REWARD}第纳尔，找到宝物对半分。,excited
TreasureHunt_Closure_Any_0_50_Perfect,TreasureHunt,Closure,Any,0,50,Perfect,真找到了！我眼光没错——{REWARD}第纳尔是你的份。下次有图还找你！,excited
DecoyMission_Opening_Any_0_100,DecoyMission,Opening,Any,0,100,,有人在追杀我，已经快到了。你带少量人引开他们——坚持得越久，报酬越高。{REWARD}第纳尔起步。,urgent
DecoyMission_Closure_Any_0_50_Perfect,DecoyMission,Closure,Any,0,50,Perfect,你居然全身而退了！他们追错了方向，我已经安全了。{REWARD}第纳尔——拿去吧，你救了我的命。,grateful
ProcurementAgent_Opening_Any_0_100,ProcurementAgent,Opening,Any,0,100,,我需要一件{ITEM}，但不方便自己出面。这{REWARD}第纳尔是预算——去市场上比价，花得越少你赚得越多。,normal
ProcurementAgent_Closure_Any_0_50_Perfect,ProcurementAgent,Closure,Any,0,50,Perfect,正是我要的！你比我找的所有代理人都利索。{REWARD}第纳尔，合作愉快。,happy
ArenaSpecial_Opening_Any_0_100,ArenaSpecial,Opening,Any,0,100,,我在竞技场安排了一场特别赛——禁用盾牌，纯靠身手。你替我去打，{REWARD}第纳尔，赢了加倍。,excited
ArenaSpecial_Closure_Any_0_50_Perfect,ArenaSpecial,Closure,Any,0,50,Perfect,全赢了！观众都疯了！{REWARD}第纳尔——我押你押对了，下次还找你！,excited
LegendaryHunt_Opening_Any_0_100,LegendaryHunt,Opening,Any,0,100,,{TARGET}——横行多年的匪王，身上带着独一无二的装备。击败他，装备归你，另有{REWARD}第纳尔重赏。,serious
LegendaryHunt_Closure_Any_0_50_Perfect,LegendaryHunt,Closure,Any,0,50,Perfect,他真的被你击败了……这条路上的商人终于能睡个安稳觉了。{REWARD}第纳尔，你是真正的猎手。,awed
EmergencyDelivery_Opening_Any_0_100,EmergencyDelivery,Opening,Any,0,100,,{LOCATION}断粮了！这里有{COUNT}单位的{ITEM}，{DAYS}天内送到——越快报酬越高，起步{REWARD}第纳尔。,urgent
EmergencyDelivery_Closure_Any_0_50_Perfect,EmergencyDelivery,Closure,Any,0,50,Perfect,刚好赶上！再晚一天就饿死人了。{REWARD}第纳尔——你跑得比风还快。,grateful
HorseAcquisition_Opening_Any_0_100,HorseAcquisition,Opening,Any,0,100,,我想要一匹{ITEM}。去各大城镇马市比价——{REWARD}第纳尔预算，省下的都归你。,normal
HorseAcquisition_Closure_Any_0_50_Perfect,HorseAcquisition,Closure,Any,0,50,Perfect,好马！我找了半年都没找到——你从哪搞到的？{REWARD}第纳尔，值了。,impressed
UndergroundFight_Opening_Any_0_100,UndergroundFight,Opening,Any,0,100,,我的拳手昨晚伤了腿。你替我去{LOCATION}的地下拳场打一场——赢了{REWARD}第纳尔对半分。,urgent
UndergroundFight_Closure_Any_0_50_Perfect,UndergroundFight,Closure,Any,0,50,Perfect,一拳KO！你比我的拳手强十倍。{REWARD}第纳尔——下次有比赛我第一个叫你。,excited
SupplyIntercept_Opening_Any_0_100,SupplyIntercept,Opening,Any,0,100,,敌方有一批补给正运往{LOCATION}。在到达前截下它——{REWARD}第纳尔报酬，物资归你处置。,serious
SupplyIntercept_Closure_Any_0_50_Perfect,SupplyIntercept,Closure,Any,0,50,Perfect,截得漂亮！敌人断了补给，攻势怕是得缓一阵了。{REWARD}第纳尔——干得漂亮。,impressed
