ID,EventName,GoalType,Outcome,Category,Phase,PersonalityTrait,TrustMin,TrustMax,Grade,Honor,Gender,Identity,Text,Emotion
CaravanEscort_Opening_Any_0_100,CaravanEscort,,,CaravanEscort,Opening,Any,0,100,,Any,Any,Any,我有一批货要运到{LOCATION}，但路上不太平。你护送我的商队——平安到了，{REWARD}第纳尔就是你的。,normal
CaravanEscort_Opening_Greedy_0_100,CaravanEscort,,,CaravanEscort,Opening,Greedy,0,100,,Any,Any,Any,这趟货要是丢了我就破产了。{REWARD}第纳尔——到了{LOCATION}另有分红。怎么样，能接吗？,urgent
CaravanEscort_Opening_Cautious_0_100,CaravanEscort,,,CaravanEscort,Opening,Cautious,0,100,,Any,Any,Any,我之前雇的护卫都跑了……这条路去{LOCATION}确实不太平。{REWARD}第纳尔。你看着比他们靠谱。,nervous
CaravanEscort_Closure_Any_0_50_Perfect,CaravanEscort,,,CaravanEscort,Closure,Any,0,50,Perfect,Any,Any,Any,货完好无损！{REWARD}第纳尔，一分没少。你这护卫手艺——比雇过的所有人都强。,impressed
CaravanEscort_Closure_Any_0_50_Good,CaravanEscort,,,CaravanEscort,Closure,Any,0,50,Good,Any,Any,Any,平安到了，虽然路上吓出了几身冷汗。{REWARD}第纳尔，辛苦了。,normal
CaravanEscort_Closure_Any_0_50_Passable,CaravanEscort,,,CaravanEscort,Closure,Any,0,50,Passable,Any,Any,Any,总算到了……丢了两箱货，但人没事。{REWARD}第纳尔，希望下次能再好一点。,disappointed
CaravanEscort_Closure_Any_51_100_Good,CaravanEscort,,,CaravanEscort,Closure,Any,51,100,Good,Any,Any,Any,有你护着，这趟走得最踏实。{REWARD}第纳尔——下次出货我还找你。,happy
SupplyEmergency_Opening_Any_0_100,SupplyEmergency,,,SupplyEmergency,Opening,Any,0,100,,Any,Any,Any,{LOCATION}急缺{ITEM}！我已经撑不了多久了。去市场帮我买{COUNT}单位的{ITEM}——越快越好！{REWARD}第纳尔。,urgent
SupplyEmergency_Opening_Greedy_0_100,SupplyEmergency,,,SupplyEmergency,Opening,Greedy,0,100,,Any,Any,Any,{LOCATION}的{ITEM}断供了，再补不上我这生意就完了。{REWARD}第纳尔的预算——花得越少，剩下的归你。快去快回！,urgent
SupplyEmergency_Closure_Any_0_50_Perfect,SupplyEmergency,,,SupplyEmergency,Closure,Any,0,50,Perfect,Any,Any,Any,这么快就回来了？{ITEM}刚好救急！{REWARD}第纳尔——你办事真利索。,impressed
SupplyEmergency_Closure_Any_0_50_Good,SupplyEmergency,,,SupplyEmergency,Closure,Any,0,50,Good,Any,Any,Any,可算等到了。{REWARD}第纳尔，生意能继续做了。,normal
SupplyEmergency_Closure_Any_0_50_Failed,SupplyEmergency,,,SupplyEmergency,Closure,Any,0,50,Failed,Any,Any,Any,没弄到？……这下麻烦了。定金的事以后再说，我得想别的办法了。,disappointed
LostItem_Opening_Any_0_100,LostItem,,,LostItem,Opening,Any,0,100,,Any,Any,Any,我的{ITEM}被人偷了！最后有人看见小偷往{LOCATION}方向跑了。帮我把东西找回来——{REWARD}第纳尔。,urgent
LostItem_Closure_Any_0_50_Perfect,LostItem,,,LostItem,Closure,Any,0,50,Perfect,Any,Any,Any,就是它！我还以为这辈子见不着了……{REWARD}第纳尔，这是说好的。谢谢。,grateful
LostItem_Closure_Any_0_50_Failed,LostItem,,,LostItem,Closure,Any,0,50,Failed,Any,Any,Any,找不到了吗……也罢，旧的不去新的不来。你尽力了。,sad
PrisonBreak_Opening_Any_0_100,PrisonBreak,,,PrisonBreak,Opening,Any,0,100,,Any,Any,Any,我的朋友{TARGET}被关在{LOCATION}的监狱里——他是被冤枉的。帮我把他救出来，{REWARD}第纳尔。,urgent
PrisonBreak_Closure_Any_0_50_Perfect,PrisonBreak,,,PrisonBreak,Closure,Any,0,50,Perfect,Any,Any,Any,他出来了！{TARGET}托我谢谢你——{REWARD}第纳尔收着，这份人情我们记下了。,grateful
HideoutClear_Opening_Any_0_100,HideoutClear,,,HideoutClear,Opening,Any,0,100,,Any,Any,Any,{LOCATION}附近有个匪窝，商队都不敢走了。清理掉它——{REWARD}第纳尔，周围的生意人都凑了份子。,normal
HideoutClear_Closure_Any_0_50_Perfect,HideoutClear,,,HideoutClear,Closure,Any,0,50,Perfect,Any,Any,Any,匪窝端了！路上终于太平了。{REWARD}第纳尔——商队都让我给你带好。,impressed
TreasureHunt_Opening_Any_0_100,TreasureHunt,,,TreasureHunt,Opening,Any,0,100,,Any,Any,Any,我搞到了一张藏宝图，地方在{LOCATION}附近——但我一个人不敢去。你陪我去，{REWARD}第纳尔，找到宝物对半分。,excited
TreasureHunt_Closure_Any_0_50_Perfect,TreasureHunt,,,TreasureHunt,Closure,Any,0,50,Perfect,Any,Any,Any,真找到了！我眼光没错——{REWARD}第纳尔是你的份。下次有图还找你！,excited
DecoyMission_Opening_Any_0_100,DecoyMission,,,DecoyMission,Opening,Any,0,100,,Any,Any,Any,有人在追杀我，已经快到了。你带少量人引开他们——坚持得越久，报酬越高。{REWARD}第纳尔起步。,urgent
DecoyMission_Closure_Any_0_50_Perfect,DecoyMission,,,DecoyMission,Closure,Any,0,50,Perfect,Any,Any,Any,你居然全身而退了！他们追错了方向，我已经安全了。{REWARD}第纳尔——拿去吧，你救了我的命。,grateful
ProcurementAgent_Opening_Any_0_100,ProcurementAgent,,,ProcurementAgent,Opening,Any,0,100,,Any,Any,Any,我需要一件{ITEM}，但不方便自己出面。这{REWARD}第纳尔是预算——去市场上比价，花得越少你赚得越多。,normal
ProcurementAgent_Closure_Any_0_50_Perfect,ProcurementAgent,,,ProcurementAgent,Closure,Any,0,50,Perfect,Any,Any,Any,正是我要的！你比我找的所有代理人都利索。{REWARD}第纳尔，合作愉快。,happy
ArenaSpecial_Opening_Any_0_100,ArenaSpecial,,,ArenaSpecial,Opening,Any,0,100,,Any,Any,Any,我在竞技场安排了一场特别赛——禁用盾牌，纯靠身手。你替我去打，{REWARD}第纳尔，赢了加倍。,excited
ArenaSpecial_Closure_Any_0_50_Perfect,ArenaSpecial,,,ArenaSpecial,Closure,Any,0,50,Perfect,Any,Any,Any,全赢了！观众都疯了！{REWARD}第纳尔——我押你押对了，下次还找你！,excited
LegendaryHunt_Opening_Any_0_100,LegendaryHunt,,,LegendaryHunt,Opening,Any,0,100,,Any,Any,Any,{TARGET}——横行多年的匪王，身上带着独一无二的装备。击败他，装备归你，另有{REWARD}第纳尔重赏。,serious
LegendaryHunt_Closure_Any_0_50_Perfect,LegendaryHunt,,,LegendaryHunt,Closure,Any,0,50,Perfect,Any,Any,Any,他真的被你击败了……这条路上的商人终于能睡个安稳觉了。{REWARD}第纳尔，你是真正的猎手。,awed
EmergencyDelivery_Opening_Any_0_100,EmergencyDelivery,,,EmergencyDelivery,Opening,Any,0,100,,Any,Any,Any,{LOCATION}断粮了！这里有{COUNT}单位的{ITEM}，{DAYS}天内送到——越快报酬越高，起步{REWARD}第纳尔。,urgent
EmergencyDelivery_Closure_Any_0_50_Perfect,EmergencyDelivery,,,EmergencyDelivery,Closure,Any,0,50,Perfect,Any,Any,Any,刚好赶上！再晚一天就饿死人了。{REWARD}第纳尔——你跑得比风还快。,grateful
HorseAcquisition_Opening_Any_0_100,HorseAcquisition,,,HorseAcquisition,Opening,Any,0,100,,Any,Any,Any,我想要一匹{ITEM}。去各大城镇马市比价——{REWARD}第纳尔预算，省下的都归你。,normal
HorseAcquisition_Closure_Any_0_50_Perfect,HorseAcquisition,,,HorseAcquisition,Closure,Any,0,50,Perfect,Any,Any,Any,好马！我找了半年都没找到——你从哪搞到的？{REWARD}第纳尔，值了。,impressed
UndergroundFight_Opening_Any_0_100,UndergroundFight,,,UndergroundFight,Opening,Any,0,100,,Any,Any,Any,我的拳手昨晚伤了腿。你替我去{LOCATION}的地下拳场打一场——赢了{REWARD}第纳尔对半分。,urgent
UndergroundFight_Closure_Any_0_50_Perfect,UndergroundFight,,,UndergroundFight,Closure,Any,0,50,Perfect,Any,Any,Any,一拳KO！你比我的拳手强十倍。{REWARD}第纳尔——下次有比赛我第一个叫你。,excited
SupplyIntercept_Opening_Any_0_100,SupplyIntercept,,,SupplyIntercept,Opening,Any,0,100,,Any,Any,Any,敌方有一批补给正运往{LOCATION}。在到达前截下它——{REWARD}第纳尔报酬，物资归你处置。,serious
SupplyIntercept_Closure_Any_0_50_Perfect,SupplyIntercept,,,SupplyIntercept,Closure,Any,0,50,Perfect,Any,Any,Any,截得漂亮！敌人断了补给，攻势怕是得缓一阵了。{REWARD}第纳尔——干得漂亮。,impressed
BountyHunt_Opening_Brave_0_100,BountyHunt,,,BountyHunt,Opening,Brave,0,100,,Any,Any,Any,{TARGET}——就是这个名字。{REWARD}第纳尔。我不怕他，但一个人打不过一群。你和我一起上——让他们知道这块地盘谁说了算。,determined
BountyHunt_Opening_Cautious_0_100,BountyHunt,,,BountyHunt,Opening,Cautious,0,100,,Any,Any,Any,我观察{TARGET}有一阵了。他手下不少，但每次换岗都有破绽。{REWARD}第纳尔——找个好时机下手，别硬来。,calculating
BountyHunt_Opening_Honorable_0_100,BountyHunt,,,BountyHunt,Opening,Honorable,0,100,,Any,Any,Any,{TARGET}欺负的是这带最穷的村子。大伙凑了{REWARD}第纳尔。我不求你拼命——但至少给百姓出口气。,righteous
BountyHunt_Closure_Brave_0_50_Perfect,BountyHunt,,,BountyHunt,Closure,Brave,0,50,Perfect,Any,Any,Any,痛快！我就知道找你没错。{REWARD}第纳尔——下次有硬茬子咱俩还一起上！,excited
VillageDefense_Opening_Honorable_0_100,VillageDefense,,,VillageDefense,Opening,Honorable,0,100,,Any,Any,Any,这村子虽穷，可每家每户都是本分人。匪徒要来烧他们的家——{REWARD}第纳尔。帮不帮，凭你良心。,righteous
CaravanEscort_Opening_Brave_0_100,CaravanEscort,,,CaravanEscort,Opening,Brave,0,100,,Any,Any,Any,货多路险——但正合你胃口吧？{REWARD}第纳尔，到了{LOCATION}请你喝酒。这趟不无聊。,excited
Steal_Caught_Opening,,,,,,,0,100,,,,你偷东西被{PLAYER}抓了个正着。,angry
Steal_Caught_PayGold,,,,,,,0,100,,,,哼，算你识相。,grudging_relief
Steal_Caught_PayGold_Narrator,,,,,,,0,100,,,,你递上{GIVER}第纳尔。{NPC}掂了掂钱袋，冷哼一声让开了路。,narrator
Steal_Caught_PayGold_TooPoor,,,,,,,0,100,,,,没钱还敢偷？那就拿命来抵！,furious
Steal_Caught_ReturnItems,,,,,,,0,100,,,,滚！别再让我看见你。,contempt
Steal_Caught_ReturnItems_Narrator,,,,,,,0,100,,,,你老老实实把{COUNT}件财物还了回去。{NPC}鄙夷地呸了一声。,narrator
Steal_Caught_Refuse,,,,,,,0,100,,,,还想赖账？,furious
Steal_Caught_Refuse_Narrator,,,,,,,0,100,,,,你摊开双手，可偷来的东西早已不在身上。{NPC}怒极反笑。,narrator
EventNotify_BanditRaid,,,,,,,0,100,,Any,Any,Any,{LOCATION}的乡亲们日夜提心吊胆——匪帮已经在村外扎了营。,fear
EventNotify_Kidnapping,,,,,,,0,100,,Any,Any,Any,{NPC}绑走了{TARGET}——家人四处求助，已经好几天了。时间不多了。,urgency
EventNotify_Famine,,,,,,,0,100,,Any,Any,Any,{LOCATION}的粮仓见底了。老人孩子已经吃了好几天野菜。,despair
EventNotify_Betrayal,,,,,,,0,100,,Any,Any,Any,{NPC}背叛了{TARGET}——被最信任的人捅刀，这种伤比刀剑更深。,anger
EventNotify_DebtTrap,,,,,,,0,100,,Any,Any,Any,{NPC}逼债{TARGET}——债主给了最后期限，过了就收地契。,despair
EventNotify_SacredTheft,,,,,,,0,100,,Any,Any,Any,{NPC}盗走了{LOCATION}的祖传圣物——没了它，新族长甚至无法召开族会。,sacrilege
EventNotify_Assassination,,,,,,,0,100,,Any,Any,Any,{NPC}在{LOCATION}刺杀了{TARGET}。现在人人自危——下一个会轮到谁？,shock
Gossip_Nemesis_Scar,,,,,,,0,100,,Any,Any,Any,有人说看到{NPC}脸上多了道新疤——他们说是你留下的。他在找你。,ominous
Gossip_Nemesis_Defeated,,,,,,,0,100,,Any,Any,Any,上回{NPC}打赢你的事，附近已经传开了。你打算什么时候找回场子？,taunting
Gossip_Nemesis_Legendary,,,,,,,0,100,,Any,Any,Any,提起{NPC}……这名字让很多人噤声。你和他的恩怨已经不是秘密了。,awed
Gossip_WorldEvent_Resolved,,,,,,,0,100,,Any,Any,Any,听说了吗？{LOCATION}那边的事已经有人摆平了。这人有两下子。,impressed
EventNotify_FalseAccusation,,,,,,,0,100,,Any,Any,Any,{TARGET}被冤枉了——真凶另有其人。{LOCATION}的城主已经下令抓人，再晚就来不及了！,injustice
EventNotify_InheritanceDispute,,,,,,,0,100,,Any,Any,Any,{LOCATION}的老族长走了——继承人们各自拉帮结派。{TARGET}的继承权岌岌可危。,tension
EventNotify_Fugitive,,,,,,,0,100,,Any,Any,Any,{NPC}的追兵到了{LOCATION}附近——{TARGET}藏在这里。他是逃犯还是无辜者？,moral_grey
EventNotify_TradeDispute,,,,,,,0,100,,Any,Any,Any,{LOCATION}的市场陷入混乱——商人们互相倾轧，{TARGET}的生意快撑不住了。,greed
EventNotify_NobleConflict,,,,,,,0,100,,Any,Any,Any,{NPC}在{LOCATION}边境集结兵力，与{TARGET}的冲突一触即发。,pride
EventNotify_RomanticConflict,,,,,,,0,100,,Any,Any,Any,{LOCATION}有人为情所困——{TARGET}卷入了一场无法脱身的情感纠葛。两家人的脸面都挂不住了。,passion
EventNotify_NemesisRevenge,,,,,,,0,100,,Any,Any,Any,有人回来了——那道疤还在疼。他在找你，{TARGET}。他变得更强了。,obsession
Gossip_WorldEvent_BanditRaid,,,,,,,0,100,,Any,Any,Any,听说{ LOCATION }遭了匪患……百姓夜里都不敢出门。你说这世道，唉……,concerned
Gossip_WorldEvent_Kidnapping,,,,,,,0,100,,Any,Any,Any,{LOCATION}有人被绑了——家里人急得团团转。绑匪要的数目不小。,shocked
Gossip_WorldEvent_Famine,,,,,,,0,100,,Any,Any,Any,{LOCATION}的粮食快没了……老人孩子已经吃了好几天树皮。这日子没法过了。,sad
Gossip_WorldEvent_Betrayal,,,,,,,0,100,,Any,Any,Any,{LOCATION}出了家贼。被自己最信任的人捅了一刀——比刀割还疼呐。,indignant
Gossip_WorldEvent_Assassination,,,,,,,0,100,,Any,Any,Any,{LOCATION}出了大事——{TARGET}被人杀了。现在镇上人人自危，都在猜谁是下一个。,shocked
Gossip_EventExpired_BanditRaid,,,,,,,0,100,,Any,Any,Any,你听说了吗？{LOCATION}被匪帮洗劫了……没人去救，全村被烧了一半。真惨。,sad
Gossip_EventExpired_Kidnapping,,,,,,,0,100,,Any,Any,Any,{LOCATION}那边传来消息——被绑的那个人死了。赎金没及时送到……他家人的哭声隔着村子都听得见。,tragic
Gossip_EventExpired_Famine,,,,,,,0,100,,Any,Any,Any,{LOCATION}死了不少人。饿死的。粮食始终没送到。,grim

# === 委托 Opening 性格变体（补全 12 个稀疏类别） ===
SupplyEmergency_Opening_Brave_0_100,SupplyEmergency,,,SupplyEmergency,Opening,Brave,0,100,,Any,Any,Any,{LOCATION}缺{ITEM}不是一天两天了——我亲自去附近几个市场跑过，都没有。{REWARD}第纳尔——你路子比我野，帮我把{COUNT}单位的{ITEM}弄回来，要快！,determined
SupplyEmergency_Opening_Desperate_0_100,SupplyEmergency,,,SupplyEmergency,Opening,Desperate,0,100,,Any,Any,Any,求你了——{LOCATION}再没有{ITEM}就要出人命了。我到处求人都没人应……{REWARD}第纳尔是我的全部了。帮我弄{COUNT}单位的{ITEM}来……,desperate
LostItem_Opening_Brave_0_100,LostItem,,,LostItem,Opening,Brave,0,100,,Any,Any,Any,有人趁乱偷了我的{ITEM}。我知道是谁——往{LOCATION}跑了。{REWARD}第纳尔，跟我一起追，我倒要看看他哪来的胆子偷到我头上。,angry
LostItem_Opening_Desperate_0_100,LostItem,,,LostItem,Opening,Desperate,0,100,,Any,Any,Any,那{ITEM}是我娘留给我的……被人偷了。我追到{LOCATION}附近就没了线索。{REWARD}第纳尔——这点钱不多，但你要是能找回来，我记你一辈子。,sad
LostItem_Opening_Greedy_0_100,LostItem,,,LostItem,Opening,Greedy,0,100,,Any,Any,Any,我的{ITEM}被人顺走了——东西本身值不了几个钱，但买主已经付了定金。帮我去{LOCATION}追回来，{REWARD}第纳尔报酬——要是能顺便教训那小偷，我加钱。,calculating
PrisonBreak_Opening_Brave_0_100,PrisonBreak,,,PrisonBreak,Opening,Brave,0,100,,Any,Any,Any,{TARGET}是我兄弟——被冤枉关在{LOCATION}。我已经摸清了守卫换班的时间。{REWARD}第纳尔——今晚动手，你和我一起冲进去。,determined
PrisonBreak_Opening_Desperate_0_100,PrisonBreak,,,PrisonBreak,Opening,Desperate,0,100,,Any,Any,Any,{TARGET}在里面撑不了几天了……他们说他偷了东西，但那是栽赃。{REWARD}第纳尔，求你去{LOCATION}救他——晚了就来不及了。,desperate
PrisonBreak_Opening_Greedy_0_100,PrisonBreak,,,PrisonBreak,Opening,Greedy,0,100,,Any,Any,Any,{TARGET}知道一个藏宝地点——但他现在被关在{LOCATION}。帮我把他弄出来，他交代了藏宝图，我分你一份。{REWARD}第纳尔先拿着。,calculating
HideoutClear_Opening_Brave_0_100,HideoutClear,,,HideoutClear,Opening,Brave,0,100,,Any,Any,Any,{LOCATION}那个匪窝我盯了很久了——每次都是他们先手。这次不一样。{REWARD}第纳尔，我们主动打进去，端了他们的老巢！,determined
HideoutClear_Opening_Desperate_0_100,HideoutClear,,,HideoutClear,Opening,Desperate,0,100,,Any,Any,Any,从{LOCATION}来的商队已经断了一个月了——全是因为那个匪窝。再没人管，我们村的货出不去，粮进不来……{REWARD}第纳尔，大家凑的份子。拜托了。,desperate
HideoutClear_Opening_Greedy_0_100,HideoutClear,,,HideoutClear,Opening,Greedy,0,100,,Any,Any,Any,{LOCATION}那帮匪徒劫的货越来越多——说明他们窝里攒了不少。清理掉他们，{REWARD}第纳尔归你，窝里的东西我们对半分？,calculating
TreasureHunt_Opening_Brave_0_100,TreasureHunt,,,TreasureHunt,Opening,Brave,0,100,,Any,Any,Any,藏宝图是真的——我请人验过了。地方在{LOCATION}，据说有机关。{REWARD}第纳尔，你我联手，有胆量的跟我来！,excited
TreasureHunt_Opening_Desperate_0_100,TreasureHunt,,,TreasureHunt,Opening,Desperate,0,100,,Any,Any,Any,这图我花了一半身家买来的……但{LOCATION}那地方我一个人不敢去。{REWARD}第纳尔，找到东西我们对半分——找不到我也认了。就缺一个能打的同伴。,nervous
TreasureHunt_Opening_Greedy_0_100,TreasureHunt,,,TreasureHunt,Opening,Greedy,0,100,,Any,Any,Any,这图指向{LOCATION}——我算过了，按图上的标记，那批东西至少值这个数。{REWARD}第纳尔是你的跑腿费，找到了另有重谢。合作？,calculating
DecoyMission_Opening_Brave_0_100,DecoyMission,,,DecoyMission,Opening,Brave,0,100,,Any,Any,Any,追我的人大概二十来个。我需要你带几个人在岔路口制造动静，把他们引开。{REWARD}第纳尔——只要你撑住半个时辰，我就能从山路脱身。,determined
DecoyMission_Opening_Desperate_0_100,DecoyMission,,,DecoyMission,Opening,Desperate,0,100,,Any,Any,Any,他们快到了——我没别的人可以托付了。你带人往西走，引开追兵……求你了。{REWARD}第纳尔。我要是能活着出去，这份恩情报一辈子。,desperate
DecoyMission_Opening_Greedy_0_100,DecoyMission,,,DecoyMission,Opening,Greedy,0,100,,Any,Any,Any,有人出大价钱要我的命。你帮我引开追兵，{REWARD}第纳尔起步——拖得越久加得越多。做这行的都懂，风险大回报才大。,calculating
ProcurementAgent_Opening_Brave_0_100,ProcurementAgent,,,ProcurementAgent,Opening,Brave,0,100,,Any,Any,Any,我需要一件{ITEM}——不是普通货。各大市场的价我都摸过了，但有些卖家只跟有实力的人谈。{REWARD}第纳尔预算——你替我出面，省下的全归你。,confident
ProcurementAgent_Opening_Desperate_0_100,ProcurementAgent,,,ProcurementAgent,Opening,Desperate,0,100,,Any,Any,Any,那件{ITEM}我非得弄到手不可——但卖家说了，不跟我这种人做生意。{REWARD}第纳尔——你替我去，反正你出面比我有分量……帮帮忙。,nervous
