id,TK5Type,Name_All,TK5_X,TK5_Y,MOD_X,MOD_Y,Name_1554,Owner_1554,Clan_1554,Soldiers_1554,Name_1560,Owner_1560,Clan_1560,Soldiers_1560,Name_1568,Owner_1568,Clan_1568,Soldiers_1568,Name_1575,Owner_1575,Clan_1575,Soldiers_1575,Name_1582,Owner_1582,Clan_1582,Soldiers_1582,Name_1598,Owner_1598,Clan_1598,Soldiers_1598
town_tk010,城,仙台城,371,136,1701.6,645.1,仙台城,lord_1_date_2,clan_date_1,6400,仙台城,lord_1_date_2,clan_date_1,7600,仙台城,lord_1_date,clan_date_1,9200,仙台城,lord_1_date,clan_date_1,10200,仙台城,lord_1_date,clan_date_1,11600,仙台城,lord_1_date_6,clan_date_1,18000
town_tk011,城,白石城,363,141,1664.3,622.4,白石城,lord_1_date_2,clan_date_1,4000,白石城,lord_1_date_2,clan_date_1,4000,白石城,lord_1_date,clan_date_1,7400,白石城,lord_1_date,clan_date_1,8600,白石城,lord_1_date,clan_date_1,9800,白石城,lord_1_shiraishi_munetoshi,clan_shiraishi_1,14000
town_tk012,城,凑城,364,91,1698.1,847.2,凑城,lord_1_ando,clan_ando_1,5200,凑城,lord_1_ando,clan_ando_1,5800,凑城,lord_1_ando,clan_ando_1,7400,凑城,lord_1_ando,clan_ando_1,8600,凑城,lord_1_ando,clan_ando_1,9800,凑城,lord_1_akita_sanesue,clan_akita_1,12000
town_tk013,城,桧山城,368,82,1710.4,893.7,桧山城,lord_1_ando,clan_ando_1,5200,桧山城,lord_1_ando,clan_ando_1,5800,桧山城,lord_1_ando,clan_ando_1,7400,桧山城,lord_1_ando,clan_ando_1,10200,桧山城,lord_1_ando,clan_ando_1,11600,桧山城,lord_1_akita_sanesue,clan_akita_1,14000
town_tk014,城,角馆城,373,100,1725.1,810.7,角馆城,lord_1_ando,clan_ando_1,5200,角馆城,lord_1_ando,clan_ando_1,5800,角馆城,lord_1_ando,clan_ando_1,7400,角馆城,lord_1_ando,clan_ando_1,8600,角馆城,lord_1_ando,clan_ando_1,9800,角馆城,lord_1_akita_sanesue,clan_akita_1,12000
town_tk015,城,横手城,372,106,1718.2,783.1,横手城,lord_1_sugiya_kagemune,clan_sugiya_1,6400,横手城,lord_1_sugiya_kagemune,clan_sugiya_1,7600,横手城,lord_1_sugiya_kagemune,clan_sugiya_1,9200,横手城,lord_1_sugiya_kagemune,clan_sugiya_1,10200,横手城,lord_1_onodera_3,clan_onodera_1,11600,横手城,lord_1_onodera_3,clan_onodera_1,14000
town_tk016,城,山形城,355,131,1633.1,668.8,山形城,lord_1_mogami,clan_mogami_1,6400,山形城,lord_1_mogami,clan_mogami_1,7600,山形城,lord_1_mogami,clan_mogami_1,9200,山形城,lord_1_mogami_2,clan_mogami_1,10200,山形城,lord_1_mogami_2,clan_mogami_1,11600,山形城,lord_1_mogami_2,clan_mogami_1,16000
town_tk017,城,鲑延城,359,118,1656.0,728.4,鲑延城,lord_1_mogami,clan_mogami_1,4000,鲑延城,lord_1_mogami,clan_mogami_1,4000,鲑延城,lord_1_mogami,clan_mogami_1,7400,鲑延城,lord_1_mogami_2,clan_mogami_1,8600,鲑延城,lord_1_sakenobe_2,clan_sakenobe_1,9800,鲑延城,lord_1_sakenobe_2,clan_sakenobe_1,12000
town_tk018,城,尾浦城,349,115,1613.2,742.7,尾浦城,lord_1_daihoji_2,clan_daihoji_1,4000,尾浦城,lord_1_daihoji_2,clan_daihoji_1,4000,尾浦城,lord_1_daihoji_2,clan_daihoji_1,5600,尾浦城,lord_1_daihoji_2,clan_daihoji_1,7000,尾浦城,lord_1_daihoji_2,clan_daihoji_1,8000,尾浦城,lord_1_mogami_2,clan_mogami_1,12000
town_tk019,城,米泽城,349,137,1604.2,641.4,米泽城,lord_1_date_2,clan_date_1,6400,米泽城,lord_1_date_2,clan_date_1,7600,米泽城,lord_1_date,clan_date_1,9200,米泽城,lord_1_date,clan_date_1,10200,米泽城,lord_1_date,clan_date_1,11600,米泽城,lord_1_naoe_kanetsugu,clan_naoe_1,16000
town_tk020,城,黑川城,340,146,1560.9,600.4,黑川城,lord_1_ashina_2,clan_ashina_1,6400,黑川城,lord_1_ashina_2,clan_ashina_1,7600,黑川城,lord_1_ashina_2,clan_ashina_1,9200,黑川城,lord_1_ashina_2,clan_ashina_1,10200,黑川城,lord_1_ashina_ekketsusai,clan_ashina_1,11600,黑川城,lord_1_uesugi_5,clan_uesugi_1,18000
town_tk021,城,二本松城,351,151,1607.3,576.9,二本松城,lord_1_ashina_2,clan_ashina_1,5200,二本松城,lord_1_ashina_2,clan_ashina_1,5800,二本松城,lord_1_nihonmatsu_2,clan_nihonmatsu_1,7400,二本松城,lord_1_nihonmatsu_2,clan_nihonmatsu_1,8600,二本松城,lord_1_nihonmatsu_2,clan_nihonmatsu_1,9800,二本松城,lord_1_uesugi_5,clan_uesugi_1,12000
town_tk022,城,须贺川城,347,156,1587.7,554.1,须贺川城,lord_1_ashina_2,clan_ashina_1,5200,须贺川城,lord_1_ashina_2,clan_ashina_1,5800,须贺川城,lord_1_ashina_2,clan_ashina_1,7400,须贺川城,lord_1_ashina_2,clan_ashina_1,8600,须贺川城,lord_1_ashina_ekketsusai,clan_ashina_1,9800,须贺川城,lord_1_honjo,clan_honjo_1,12000
town_tk023,城,小高城,366,154,1672.2,562.4,小高城,lord_1_soma,clan_soma_1,5200,小高城,lord_1_soma,clan_soma_1,5800,小高城,lord_1_soma,clan_soma_1,7400,小高城,lord_1_soma,clan_soma_1,8600,小高城,lord_1_soma,clan_soma_1,9800,小高城,lord_1_soma_2,clan_soma_1,14000
town_tk024,城,太田城,344,176,1566.3,462.2,太田城,dead_lord_1_satake_2,clan_satake_1,5200,太田城,dead_lord_1_satake_2,clan_satake_1,5800,太田城,lord_1_satake,clan_satake_1,9200,太田城,lord_1_satake,clan_satake_1,10200,太田城,lord_1_satake,clan_satake_1,11600,太田城,lord_1_ashina_katsushige,clan_ashina_1,14000
town_tk025,城,水户城,341,181,1551.0,439.3,水户城,dead_lord_1_satake_2,clan_satake_1,6400,水户城,dead_lord_1_satake_2,clan_satake_1,7600,水户城,lord_1_satake,clan_satake_1,9200,水户城,lord_1_satake,clan_satake_1,10200,水户城,lord_1_satake,clan_satake_1,13400,水户城,lord_1_satake_yoshinobu,clan_satake_1,18000
town_tk026,城,土浦城,332,184,1508.6,425.3,土浦城,lord_2_oda,clan_oda_2,6400,土浦城,lord_2_oda,clan_oda_2,7600,土浦城,lord_2_oda,clan_oda_2,9200,土浦城,lord_1_satake,clan_satake_1,10200,土浦城,lord_1_satake,clan_satake_1,11600,土浦城,lord_1_yuki_hideyasu,clan_yuki_1,14000
town_tk027,城,小田城,330,180,1500.6,447.8,小田城,dead_lord_1_satake_2,clan_satake_1,4000,小田城,dead_lord_1_satake_2,clan_satake_1,5800,小田城,lord_1_otaa_sanzesai,clan_otaa_1,7400,小田城,lord_1_satake,clan_satake_1,8600,小田城,lord_1_satake,clan_satake_1,9800,小田城,lord_1_satake_yoshinobu,clan_satake_1,12000
town_tk028,城,宇都宫城,329,168,1503.4,499.6,宇都宫城,lord_1_utsunomiya,clan_utsunomiya_1,6400,宇都宫城,lord_1_utsunomiya,clan_utsunomiya_1,7600,宇都宫城,lord_1_utsunomiya,clan_utsunomiya_1,9200,宇都宫城,lord_1_utsunomiya,clan_utsunomiya_1,10200,宇都宫城,lord_1_utsunomiya_2,clan_utsunomiya_1,11600,宇都宫城,lord_1_gamou_hideyuki,clan_gamou_1,16000
town_tk029,城,唐泽山城,321,174,1465.7,472.4,唐泽山城,lord_1_utsunomiya,clan_utsunomiya_1,5200,唐泽山城,lord_1_utsunomiya,clan_utsunomiya_1,5800,唐泽山城,lord_1_yoshie_kagekatsu,clan_yoshie_1,7400,唐泽山城,lord_1_utsunomiya,clan_utsunomiya_1,8600,唐泽山城,lord_1_utsunomiya_2,clan_utsunomiya_1,9800,唐泽山城,lord_1_gamou_hideyuki,clan_gamou_1,12000
town_tk030,城,小山城,325,178,1481.7,453.8,小山城,lord_1_yuki_matsurigoto,clan_yuki_1,5200,小山城,lord_1_yuki,clan_yuki_1,5800,小山城,lord_1_yuki,clan_yuki_1,7400,小山城,lord_1_yuki,clan_yuki_1,8600,小山城,lord_1_yuki,clan_yuki_1,9800,小山城,lord_1_yuki_hideyasu,clan_yuki_1,12000
town_tk031,城,乌山城,338,168,1543.1,499.2,乌山城,lord_1_utsunomiya,clan_utsunomiya_1,4000,乌山城,lord_1_utsunomiya,clan_utsunomiya_1,4000,乌山城,lord_1_utsunomiya,clan_utsunomiya_1,5600,乌山城,lord_1_nasu_2,clan_nasu_1,7000,乌山城,lord_1_nasu_2,clan_nasu_1,9800,乌山城,lord_1_narita_nagatada,clan_narita_1,12000
town_tk032,城,厩桥城,307,168,1406.4,500.6,厩桥城,lord_1_gyo_shounin,clan_gyo_1,6400,厩桥城,lord_1_hojo_takahiro,clan_hojo_1,9400,厩桥城,lord_1_hojo_takahiro,clan_hojo_1,11000,厩桥城,lord_1_hojo_takahiro,clan_hojo_1,11800,厩桥城,lord_1_hojo,clan_hojo_1,13400,厩桥城,lord_1_hiraiwa_chikayoshi,clan_hiraiwa_1,16000
town_tk033,城,沼田城,309,161,1418.1,532.7,沼田城,lord_1_uesugi,clan_uesugi_1,5200,沼田城,lord_1_uesugi,clan_uesugi_1,5800,沼田城,lord_1_uesugi,clan_uesugi_1,7400,沼田城,lord_1_hojo_takahiro,clan_hojo_1,8600,沼田城,lord_1_sanada_6,clan_sanada_1,9800,沼田城,lord_1_sanada_taneju,clan_sanada_1,14000
town_tk034,城,馆林城,317,178,1446.4,454.1,馆林城,lord_1_gyo_shounin,clan_gyo_1,5200,馆林城,lord_1_gyo_shounin,clan_gyo_1,5800,馆林城,lord_1_hojo_7,clan_hojo_1,7400,馆林城,lord_1_hojo_7,clan_hojo_1,8600,馆林城,lord_1_hojo_7,clan_hojo_1,9800,馆林城,lord_1_sakakibara,clan_sakakibara_1,12000
town_tk035,城,箕轮城,302,167,1384.8,505.4,箕轮城,lord_1_gyo_shounin,clan_gyo_1,6400,箕轮城,lord_1_gyo_shounin,clan_gyo_1,7600,箕轮城,lord_1_naito_masatoyo,clan_naito_1,9200,箕轮城,lord_1_naito_masatoyo,clan_naito_1,10200,箕轮城,lord_1_hojo,clan_hojo_1,11600,箕轮城,lord_1_ii_3,clan_ii_1,14000
town_tk036,城,胜浦城,329,208,1480.6,321.9,胜浦城,lord_1_satomi_2,clan_satomi_1,4000,胜浦城,lord_1_satomi_2,clan_satomi_1,4000,胜浦城,lord_1_satomi_2,clan_satomi_1,5600,胜浦城,lord_1_satomi,clan_satomi_1,7000,胜浦城,lord_1_satomi_10,clan_satomi_1,8000,胜浦城,lord_1_honda,clan_honda_1,10000
town_tk037,城,久留里城,322,203,1480.1,353.9,久留里城,lord_1_satomi_2,clan_satomi_1,5200,久留里城,lord_1_satomi_2,clan_satomi_1,5800,久留里城,lord_1_satomi_2,clan_satomi_1,9200,久留里城,lord_1_satomi,clan_satomi_1,10200,久留里城,lord_1_satomi_10,clan_satomi_1,11600,久留里城,lord_1_honda,clan_honda_1,14000
town_tk038,城,稻村城,317,209,1384.2,361.9,稻村城,lord_1_satomi_2,clan_satomi_1,5200,稻村城,lord_1_satomi_2,clan_satomi_1,5800,稻村城,lord_1_satomi_2,clan_satomi_1,7400,稻村城,lord_1_satomi,clan_satomi_1,8600,稻村城,lord_1_satomi_10,clan_satomi_1,9800,稻村城,lord_1_satomi_yoshiyasu,clan_satomi_1,14000
town_tk039,城,佐仓城,332,195,1512.6,368.4,佐仓城,lord_1_chiba,clan_chiba_1,4000,佐仓城,lord_1_chiba,clan_chiba_1,5800,佐仓城,lord_1_chiba,clan_chiba_1,7400,佐仓城,lord_1_chiba,clan_chiba_1,8600,佐仓城,lord_1_chiba_5,clan_chiba_1,9800,佐仓城,lord_1_hojo_shi,clan_hojo_1,12000
town_tk040,城,结城城,326,181,1484.9,439.9,结城城,lord_1_yuki_matsurigoto,clan_yuki_1,6400,结城城,lord_1_yuki,clan_yuki_1,7600,结城城,lord_1_yuki,clan_yuki_1,9200,结城城,lord_1_yuki,clan_yuki_1,10200,结城城,lord_1_yuki,clan_yuki_1,11600,结城城,lord_1_yuki_hideyasu,clan_yuki_1,14000
town_tk041,城,江户城,317,191,1441.1,394.3,江户城,lord_1_hojo_2,clan_hojo_1,7600,江户城,lord_1_hojo_2,clan_hojo_1,9400,江户城,lord_1_hojo_2,clan_hojo_1,11000,江户城,lord_1_hojo,clan_hojo_1,11800,江户城,lord_1_hojo,clan_hojo_1,13400,江户城,lord_1_tokugawa,clan_tokugawa_1,20000
town_tk042,城,岩槻城,318,183,1448.8,431.1,岩槻城,lord_1_otaa_sanzesai,clan_otaa_1,5200,岩槻城,lord_1_otaa_sanzesai,clan_otaa_1,5800,岩槻城,lord_1_hojo_2,clan_hojo_1,7400,岩槻城,lord_1_hojo,clan_hojo_1,8600,岩槻城,lord_1_hojo,clan_hojo_1,9800,岩槻城,lord_1_koori_kiyonaga,clan_kōri_1,12000
town_tk043,城,河越城,313,182,1427.2,435.9,河越城,lord_1_hojo_5,clan_hojo_1,5200,河越城,lord_1_hojo_2,clan_hojo_1,5800,河越城,lord_1_hojo_5,clan_hojo_1,7400,河越城,lord_1_hojo,clan_hojo_1,8600,河越城,lord_1_hojo,clan_hojo_1,9800,河越城,lord_1_tokugawa,clan_tokugawa_1,12000
town_tk044,城,忍城,310,177,1416.0,459.0,忍城,lord_1_narita_2,clan_narita_1,5200,忍城,lord_1_narita_2,clan_narita_1,5800,忍城,lord_1_narita,clan_narita_1,9200,忍城,lord_1_narita,clan_narita_1,10200,忍城,lord_1_narita,clan_narita_1,11600,忍城,lord_1_tokugawa,clan_tokugawa_1,14000
town_tk045,城,八王子城,307,189,1397.9,403.9,八王子城,lord_1_hojo_5,clan_hojo_1,4000,八王子城,lord_1_hojo_2,clan_hojo_1,4000,八王子城,lord_1_hojo_2,clan_hojo_1,7400,八王子城,lord_1_hojo_5,clan_hojo_1,8600,八王子城,lord_1_hojo_5,clan_hojo_1,9800,八王子城,lord_1_tokugawa,clan_tokugawa_1,14000
town_tk046,城,小田原城,303,198,1376.6,362.7,小田原城,lord_1_hojo_2,clan_hojo_1,8800,小田原城,lord_1_hojo_2,clan_hojo_1,11200,小田原城,lord_1_hojo_2,clan_hojo_1,12800,小田原城,lord_1_hojo,clan_hojo_1,13400,小田原城,lord_1_hojo,clan_hojo_1,15200,小田原城,lord_1_okubo_4,clan_okubo_1,18000
town_tk047,城,玉绳城,310,198,1403.7,372.9,玉绳城,lord_1_hojo_tsunashige,clan_hojo_1,5200,玉绳城,lord_1_hojo_tsunashige,clan_hojo_1,5800,玉绳城,lord_1_hojo_tsunashige,clan_hojo_1,7400,玉绳城,lord_1_hojo_tsunashige,clan_hojo_1,8600,玉绳城,lord_1_hojo_tsunashige,clan_hojo_1,9800,玉绳城,lord_1_tokugawa,clan_tokugawa_1,14000
town_tk048,城,韭山城,293,202,1340.7,335.9,韭山城,lord_1_hojo_9,clan_hojo_1,5200,韭山城,lord_1_hojo_2,clan_hojo_1,5800,韭山城,lord_1_hojo_9,clan_hojo_1,7400,韭山城,lord_1_hojo_9,clan_hojo_1,8600,韭山城,lord_1_hojo_9,clan_hojo_1,9800,韭山城,lord_1_tokugawa,clan_tokugawa_1,12000
town_tk049,城,春日山城,295,148,1361.7,593.2,春日山城,lord_1_uesugi,clan_uesugi_1,7600,春日山城,lord_1_uesugi,clan_uesugi_1,9400,春日山城,lord_1_uesugi,clan_uesugi_1,11000,春日山城,lord_1_uesugi,clan_uesugi_1,11800,春日山城,lord_1_uesugi_5,clan_uesugi_1,13400,春日山城,lord_1_horii_hideharu,clan_horii_1,16000
town_tk050,城,新发田城,329,133,1517.7,660.7,新发田城,lord_2_shibata,clan_shibata_2,5200,新发田城,lord_2_shibata,clan_shibata_2,5800,新发田城,lord_2_shibata,clan_shibata_2,7400,新发田城,lord_2_shibata,clan_shibata_2,8600,新发田城,lord_2_shibata_4,clan_shibata_2,11600,新发田城,lord_1_mizoguchi_hideshige,clan_mizoguchi_1,14000
town_tk051,城,本庄城,337,124,1561.6,696.7,本庄城,lord_1_honjo,clan_honjo_1,5200,本庄城,lord_1_honjo,clan_honjo_1,5800,本庄城,lord_1_honjo,clan_honjo_1,7400,本庄城,lord_1_honjo,clan_honjo_1,8600,本庄城,lord_1_honjo,clan_honjo_1,9800,本庄城,lord_1_horii_hideharu,clan_horii_1,12000
town_tk052,城,橡尾城,318,139,1466.7,633.6,橡尾城,lord_1_uesugi,clan_uesugi_1,5200,橡尾城,lord_1_uesugi,clan_uesugi_1,5800,橡尾城,lord_1_uesugi,clan_uesugi_1,7400,橡尾城,lord_1_uesugi,clan_uesugi_1,8600,橡尾城,lord_1_uesugi_5,clan_uesugi_1,9800,橡尾城,lord_1_horii_hideharu,clan_horii_1,12000
town_tk053,城,富山城,264,151,1223.8,580.7,富山城,lord_1_jinbo,clan_jinbo_1,5200,富山城,lord_1_jinbo,clan_jinbo_1,5800,富山城,lord_1_jinbo,clan_jinbo_1,9200,富山城,lord_1_jinbo_4,clan_jinbo_1,10200,富山城,lord_1_sassa_narimasa,clan_sassa_1,11600,富山城,lord_1_maeda,clan_maeda_1,14000
town_tk054,城,鱼津城,272,148,1260.7,594.3,鱼津城,lord_1_shiina_yasuyuki,clan_shiina_1,4000,鱼津城,lord_1_shiina_yasuyuki,clan_shiina_1,4000,鱼津城,lord_1_shiina_yasuyuki,clan_shiina_1,7400,鱼津城,lord_1_shiina_yasuyuki,clan_shiina_1,8600,鱼津城,lord_1_chujou_kagetai,clan_chujou_1,9800,鱼津城,lord_1_maeda,clan_maeda_1,12000
town_tk055,城,七尾城,262,139,1219.8,636.0,七尾城,dead_lord_1_notohatakeyama_2,clan_notohatakeyama_1,7600,七尾城,dead_lord_1_notohatakeyama_2,clan_notohatakeyama_1,9400,七尾城,lord_1_cho,clan_cho_1,11000,七尾城,lord_1_cho,clan_cho_1,11800,七尾城,lord_1_maeda,clan_maeda_1,13400,七尾城,lord_1_maeda_toshimasa,clan_maeda_1,16000
town_tk056,城,尾山城,252,149,1171.7,590.5,尾山城,lord_1_shichiri,clan_shichiri_1,6400,尾山城,lord_1_shichiri,clan_shichiri_1,7600,尾山城,lord_1_shichiri,clan_shichiri_1,9200,尾山城,lord_1_shichiri,clan_shichiri_1,11800,尾山城,lord_1_shibata,clan_shibata_1,13400,尾山城,lord_1_maeda,clan_maeda_1,18000
town_tk057,城,小松城,245,152,1139.6,577.0,小松城,lord_1_honganji,clan_honganji_1,4000,小松城,lord_1_honganji,clan_honganji_1,4000,小松城,lord_1_honganji,clan_honganji_1,7400,小松城,lord_1_honganji,clan_honganji_1,8600,小松城,lord_1_shibata,clan_shibata_1,9800,小松城,lord_1_niwa_nagashige,clan_niwa_1,12000
town_tk058,城,大圣寺城,240,154,1116.7,568.0,大圣寺城,lord_1_shimotsuma_6,clan_shimotsuma_1,5200,大圣寺城,lord_1_shimotsuma_6,clan_shimotsuma_1,5800,大圣寺城,lord_1_shimotsuma_6,clan_shimotsuma_1,7400,大圣寺城,lord_1_shimotsuma_6,clan_shimotsuma_1,8600,大圣寺城,lord_1_shibata,clan_shibata_1,9800,大圣寺城,lord_1_niwa_nagashige,clan_niwa_1,12000
town_tk059,城,一乘谷城,238,161,1105.1,535.8,一乘谷城,lord_1_asakura,clan_asakura_1,7600,一乘谷城,lord_1_asakura,clan_asakura_1,9400,一乘谷城,lord_1_asakura,clan_asakura_1,11000,一乘谷城,lord_1_oda,clan_oda_1,11800,一乘谷城,lord_1_shibata,clan_shibata_1,13400,一乘谷城,lord_1_oda_5,clan_oda_1,16000
town_tk060,城,北之庄城,236,157,1096.2,553.8,北之庄城,lord_1_asakura,clan_asakura_1,5200,北之庄城,lord_1_asakura,clan_asakura_1,5800,北之庄城,lord_1_asakura,clan_asakura_1,7400,北之庄城,lord_1_oda,clan_oda_1,11800,北之庄城,lord_1_shibata,clan_shibata_1,13400,北之庄城,lord_1_kinoshita_hideyori,clan_kinoshita_1,16000
town_tk061,城,金崎城,230,167,1067.7,508.3,金崎城,lord_1_asakura,clan_asakura_1,5200,金崎城,lord_1_asakura,clan_asakura_1,5800,金崎城,lord_1_asakura,clan_asakura_1,7400,金崎城,lord_1_oda,clan_oda_1,8600,金崎城,lord_1_shibata,clan_shibata_1,11600,金崎城,lord_1_otsuki_kageshu,clan_otsuki_1,14000
town_tk062,城,户石城,290,164,1333.1,519.7,户石城,lord_1_sanada_yukitaka,clan_sanada_1,5200,户石城,lord_1_sanada_yukitaka,clan_sanada_1,5800,户石城,lord_1_sanada_yukitaka,clan_sanada_1,7400,户石城,lord_1_sanada,clan_sanada_1,8600,户石城,lord_1_sanada_6,clan_sanada_1,13400,户石城,lord_1_sanada_6,clan_sanada_1,16000
town_tk063,城,海津城,289,158,1331.1,547.4,海津城,lord_1_takeda,clan_takeda_1,6400,海津城,lord_1_koosaka_masanobu,clan_kōsaka_1,5800,海津城,lord_1_koosaka_masanobu,clan_kōsaka_1,9200,海津城,lord_1_koosaka_masanobu,clan_kōsaka_1,10200,海津城,lord_1_sanada_6,clan_sanada_1,13400,海津城,lord_1_sanada_6,clan_sanada_1,16000
town_tk064,城,饭山城,296,153,1364.0,570.1,饭山城,lord_1_takeda,clan_takeda_1,5200,饭山城,lord_1_takanashi_masayori,clan_takanashi_1,11200,饭山城,lord_1_yasuda_akimoto,clan_yasuda_1,7400,饭山城,lord_1_takeda_4,clan_takeda_1,8600,饭山城,lord_1_uesugi_5,clan_uesugi_1,9800,饭山城,lord_1_seki_kazumasa,clan_seki_1,12000
town_tk065,城,小诸城,294,169,1348.7,496.6,小诸城,lord_1_takeda,clan_takeda_1,5200,小诸城,lord_1_takeda,clan_takeda_1,5800,小诸城,lord_1_takeda_shigemasa,clan_takeda_1,7400,小诸城,lord_1_takeda_shigemasa,clan_takeda_1,8600,小诸城,lord_1_takeda_shigemasa,clan_takeda_1,6000,小诸城,lord_1_sengoku_hidehisa,clan_sengoku_1,14000
town_tk066,城,高远城,278,177,1274.9,460.4,高远城,lord_1_takeda_harufusa,clan_takeda_1,5200,高远城,lord_1_takeda_harufusa,clan_takeda_1,5800,高远城,lord_1_takeda_harufusa,clan_takeda_1,7400,高远城,lord_1_nishina,clan_nishina_1,10200,高远城,lord_1_nishina,clan_nishina_1,5000,高远城,lord_1_kyoogoku_takachika,clan_kyōgoku_1,14000
town_tk067,城,木曾福岛城,269,174,1236.4,474.6,木曾福岛城,lord_1_kiso,clan_kiso_1,5200,木曾福岛城,lord_1_kiso,clan_kiso_1,5800,木曾福岛城,lord_1_kiso,clan_kiso_1,7400,木曾福岛城,lord_1_kiso_2,clan_kiso_1,8600,木曾福岛城,lord_1_kiso_2,clan_kiso_1,9800,木曾福岛城,lord_1_kinoshita_hideyori,clan_kinoshita_1,14000
town_tk068,城,饭田城,271,183,1241.6,433.1,饭田城,lord_1_takeda,clan_takeda_1,5200,饭田城,lord_1_takeda,clan_takeda_1,5800,饭田城,lord_1_takeda,clan_takeda_1,7400,饭田城,lord_1_takeda_4,clan_takeda_1,8600,饭田城,lord_1_takeda_4,clan_takeda_1,6000,饭田城,lord_1_kyoogoku_takachika,clan_kyōgoku_1,14000
