niwa,684|685,丹羽家,,Warrior,-,-,-,-,-,lord_1_niwa_nagashige
oda,309|310|311|312|313|314|315|316,织田家,,Warrior,lord_1_oda,lord_1_oda,lord_1_oda,lord_1_oda,lord_1_oda,lord_1_oda_masashige
oda2,308,小田家,,Warrior,lord_2_oda,lord_2_oda,lord_2_oda,-,-,-
okamoto,293|294,小笠原家,,Warrior,-,-,-,-,-,-
okubo,273|274|275|276|277,大久保家,,Warrior,-,-,-,-,-,-
onodera,324|325,小野寺家,,Warrior,lord_1_sugiya_kagemune,lord_1_sugiya_kagemune,lord_1_sugiya_kagemune,lord_1_sugiya_kagemune,lord_1_onodera_3,lord_1_onodera_3
osaki,279|280,大崎家,,Warrior,lord_1_osaki_1,lord_1_osaki_1,lord_1_ichikuri_bangyu,lord_1_ichikuri_bangyu,lord_1_ichikuri_bangyu,-
otaa,282|283|284,太田家,,Warrior,-,lord_1_otaa_sanzesai,-,-,-,-
otomo,287|288|289|290,大友家,,Warrior,lord_1_otomo,lord_1_otomo,lord_1_otomo,lord_1_takahashi_hiroyoshi,lord_1_otomo,-
otsuki,285,大谷家,,Warrior,-,-,-,-,-,lord_1_otsuki_kageshu
ouchi,270|271|272,大内家,,Warrior,lord_1_ouchi_yoshinaga,-,-,-,-,-
rokkaku,910|911,六角家,,Warrior,lord_1_rokkaku_shou,lord_1_rokkaku_shou,-,-,-,-
ryuzoji,904|905|906|907|908,龙造寺家,,Warrior,lord_1_ryuzoji,lord_1_ryuzoji,lord_1_ryuzoji,lord_1_ryuzoji,lord_1_ryuzoji,-
sagara,457|458,相良家,,Warrior,lord_1_sagara,lord_1_sagara,lord_1_sagara,lord_1_sagara,lord_1_sagara_yorifusa,lord_1_sagara_yorifusa
saionji,440,西园寺家,,Warrior,-,-,-,-,-,-
saitō,442|443|444|445|446|447,斋藤家,,Warrior,lord_1_saitoo_doosan,lord_1_saitoo_yoshitatsu,-,-,-,-
sanada,476|477|478|479|480|481,真田家,,Warrior,-,-,-,-,-,lord_1_sanada_6
sassa,471,佐佐家,,Warrior,-,-,-,-,-,-
satake,466|467|468|469,佐竹家,,Warrior,dead_lord_1_satake_2,dead_lord_1_satake_2,lord_1_satake,lord_1_satake,lord_1_satake,lord_1_satake_yoshinobu
satomi,472|473|474|475,里见家,,Warrior,lord_1_satomi_2,lord_1_satomi_2,lord_1_satomi_2,lord_1_satomi,lord_1_satomi_10,lord_1_satomi_yoshiyasu
sen,546,千家,,Warrior,-,-,-,-,-,-
shiba,497|498,斯波家,,Warrior,lord_1_shiba,lord_1_shiba,lord_1_shiba,lord_1_shiba,lord_1_shiba_2,-
shibata,501|502,新发田家,,Warrior,-,-,-,-,-,-
shichijō,494,七条家,,Warrior,-,-,-,-,-,-
shiina,487,椎名家,,Warrior,-,-,lord_1_shiina_yasuyuki,lord_1_shiina_yasuyuki,-,-
shimazu,507|508|509|510|511|512|513|514|515,岛津家,,Warrior,lord_1_shimazu_11,lord_1_shimazu_11,lord_1_shimazu_11,lord_1_shimazu,lord_1_shimazu,lord_1_shimazu_4
shimotsuma,519|520|521,下间家,,Warrior,-,-,-,-,-,-
shiraishi,523,白石家,,Warrior,-,-,-,-,-,-
shouni,,少贰家,,Warrior,-,-,-,-,-,-
sogo,551|552,十河家,,Warrior,-,-,-,-,lord_1_sogo,-
soma,547|548,相马家,,Warrior,lord_1_soma,lord_1_soma,lord_1_soma,lord_1_soma,lord_1_soma,lord_1_soma_2
suzukii,534|536,铃木家,,Warrior,-,-,-,-,lord_1_suzuki_satao,-
sō,549|550,宗家,,Warrior,lord_1_soo_yoshitoshi,lord_1_soo_yoshitoshi,lord_1_soo_yoshitoshi,lord_1_soo_yoshitoshi,lord_1_soo_yoshitoshi,lord_1_soo_yoshitomo
tachibana,576|577|578,立花家,,Warrior,-,-,-,-,-,lord_1_tachibana_muneshige
takeda,567|568|569|570|571|572|573,武田家,,Warrior,lord_1_takeda,lord_1_takeda,lord_1_takeda,lord_1_takeda_4,lord_1_sanada_6,-
tanaka,587|588,田中家,,Warrior,-,-,-,-,-,lord_1_tanaka_yoshimasa
todo,619,藤堂家,,Warrior,-,-,-,-,-,lord_1_todo_2
togo,618,东乡家,,Warrior,-,-,-,-,-,-
tokugawa,626|627|628,德川家,,Warrior,-,-,lord_1_tokugawa,lord_1_tokugawa,lord_1_tokugawa,lord_1_tokugawa
toyotomi,635|636|637|638,丰臣家,羽柴家,Warrior,-,-,-,-,-,lord_1_kinoshita_hideyori
tsugaru,608,津轻家,,Warrior,-,-,-,-,-,lord_1_tsugaru_tamenobu
tsutsui,612|613,筒井家,,Warrior,lord_1_tsutsui,lord_1_tsutsui,lord_1_tsutsui,lord_1_tsutsui,-,lord_1_tsutsui_8
uesugi,236|237|238|239,上杉家,长尾家|长尾,Warrior,-,-,lord_1_hojo_takahiro,lord_1_hojo_takahiro,lord_1_uesugi_5,lord_1_uesugi_5
ukita,243|244|245,宇喜多家,,Warrior,-,-,-,-,lord_1_ukita_hideie,lord_1_ukita_hideie
uragami,260,浦上家,,Warrior,lord_1_uragami,lord_1_uragami,lord_1_uragami,lord_1_ukita,-,-
utsunomiya,255|256,宇都宫家,,Warrior,lord_1_utsunomiya,lord_1_utsunomiya,lord_1_utsunomiya,lord_1_utsunomiya,lord_1_utsunomiya_2,-
yaita,859,八板家,,Warrior,-,-,-,-,-,-
yamana,878|879,山名家,,Warrior,lord_1_yamana_yuu,lord_1_yamana_yuu,lord_1_yamana_yuu,lord_1_yamana_yuu,-,-
yamanaka,876|877,山中家,,Warrior,-,-,-,-,-,-
yamauchi,880,山内家,,Warrior,-,-,-,-,-,lord_1_yamauchi_kazutoyo
yuki,883|884|885,结城家,,Warrior,lord_1_yuki_matsurigoto,lord_1_yuki,lord_1_yuki,lord_1_yuki,lord_1_yuki,lord_1_yuki_hideyasu
org_merchant_abumiya,920,镫屋,,Trader,-,lord_1_ikeda_nagai,lord_1_ikeda_nagai,@忍者,@忍者,@商人
org_merchant_chaya,929,茶屋,茶屋家,Trader,@忍者,@忍者,@忍者,lord_1_chaya_matashiro,lord_1_chaya_matashiro,@商人
org_merchant_denya,943,淀屋,澱|淀,Trader,-,-,-,-,-,@商人
org_merchant_echigoya,925,越后屋,,Trader,lord_1_kurada_gorooza,@海贼,lord_1_kurada_gorooza,lord_1_kurada_gorooza,-,-
org_merchant_hakataya,928,博多屋,,Trader,@忍者,@忍者,@忍者,@忍者,@忍者,lord_1_shimae_sooshitsu
org_merchant_harimaya,939,播磨屋,,Trader,-,-,-,-,lord_1_harimaya_munenori,lord_1_harimaya_munenori
org_merchant_heiyaya,942,平野屋,,Trader,-,-,-,-,-,lord_1_sueyoshi_magosaburoo
org_merchant_itouya,921,伊藤屋,,Trader,lord_1_itoo_sojuro,lord_1_itoo_sojuro,-,-,-,-
org_merchant_kadokuraya,944,角仓屋,,Trader,-,-,-,lord_1_sumikura_ryooi,lord_1_sumikura_ryooi,lord_1_sumikura_soan
org_merchant_kamiya,932,神屋,,Trader,-,-,@忍者,lord_1_kamiya_sotan,lord_1_kamiya_sotan,lord_1_kamiya_sotan
org_merchant_kawafuneya,931,川舟屋,,Trader,-,lord_1_michikawa_hyooebee,@忍者,@忍者,@忍者,lord_1_michikawa_hyooebee
org_merchant_konishiya,926,小西屋,,Trader,@忍者,lord_1_konishi_ryuusa,lord_1_konishi_ryuusa,lord_1_konishi_ryuusa,-,-
org_merchant_kounoikeya,937,鸿池屋,,Trader,-,-,-,-,-,lord_1_konoike_shinroku
org_merchant_kumiya,923,组屋,,Trader,@忍者,lord_1_kumaya_genshiroo,@忍者,lord_1_kumaya_genshiroo,lord_1_kumaya_genshiroo,lord_1_kumaya_genshiroo
org_merchant_naya,922,纳屋,,Trader,lord_1_inoue_motokane,lord_1_imai_sokyu,-,lord_1_inoue_motokane,lord_1_inoue_motokane,lord_1_imai_sokun
org_merchant_oonishiya,927,大西屋,,Trader,lord_1_shibuya_yuurooemon,lord_1_shibuya_yuurooemon,lord_1_shibuya_yuurooemon,lord_1_shibuya_yuurooemon,lord_1_shibuya_yuurooemon,lord_1_shibuya_yuurooemon
org_merchant_sakataya,935,坂田屋,坂田,Trader,lord_1_sakata_genemon,lord_1_sakata_genemon,lord_1_sakata_genemon,-,-,-
org_merchant_shimonosekiya,924,下关屋,下關|下关,Trader,lord_1_kirigakure_saizo,@商人,@忍者,@忍者,@忍者,@忍者
org_merchant_sueyoshiya,938,末吉屋,,Trader,-,-,-,-,-,-
org_merchant_sumiya,940,角屋,,Trader,-,@海贼,-,-,-,lord_1_sumiya_shichirojiro
org_merchant_tennoujiya,936,天王寺屋,,Trader,lord_1_tsuda_sookyuu,lord_1_tsuda_sookyuu,lord_1_tsuda_sookyuu,@忍者,@忍者,-
org_merchant_tomonoya,933,友野屋,,Trader,@忍者,@商人,lord_1_tomono_jiroubei,-,-,-
org_merchant_toraya,930,虎屋,,Trader,-,lord_1_uno_fujiemon,-,-,-,-
org_merchant_yamagataya,941,山形屋,,Trader,-,-,-,@忍者,@忍者,lord_1_nishikawa_jin-emon
org_merchant_yanadaya,934,梁田屋,簗田|梁田,Trader,@忍者,@商人,lord_1_yanada_toozaemon,lord_1_yanada_toozaemon,lord_1_yanada_toozaemon,lord_1_yanada_toozaemon
org_ninja_fuuma,952,风魔众,風魔|风魔,Ninja,lord_1_nikyokurin_inosuke,lord_1_nikyokurin_inosuke,lord_1_nikyokurin_inosuke,lord_1_nikyokurin_inosuke,lord_1_nikyokurin_inosuke,-
org_ninja_gaibun,959,外闻众,外聞|外闻,Ninja,lord_1_sada_hikosaburoo,lord_1_sada_hikosaburoo,lord_1_sada_hikosaburoo,lord_1_sada_hikosaburoo,lord_1_sada_hikosaburoo,lord_1_sada_hikosaburoo
org_ninja_haguro,961,羽黑众,羽黒|羽黑,Ninja,-,-,-,-,-,-
org_ninja_iga,956,伊贺众,伊賀|伊贺,Ninja,lord_1_igasaki_doshun,lord_1_igasaki_doshun,lord_1_igasaki_doshun,lord_1_igasaki_doshun,lord_1_igasaki_doshun,lord_1_igasaki_doshun
org_ninja_kouka,955,甲贺众,甲賀|甲贺,Ninja,lord_1_sugaya_zenjuuboo,lord_1_sugaya_zenjuuboo,lord_1_sugaya_zenjuuboo,lord_1_ukai_magoroku,lord_1_ukai_magoroku,lord_1_sarutobi_sasuke
org_ninja_kurohabaki,950,黑胫巾众,黒脛巾|黑胫巾,Ninja,lord_1_yanagihara_hyoe,lord_1_yanagihara_hyoe,lord_1_yanagihara_hyoe,lord_1_yanagihara_hyoe,lord_1_yanagihara_hyoe,lord_1_yanagihara_hyoe
org_ninja_negoro,957,根来众,根来,Ninja,lord_1_suginoboo_terusai,lord_1_suginoboo_terusai,lord_1_suginoboo_terusai,lord_1_suginoboo_terusai,lord_1_suginoboo_terusai,lord_1_suginoboo_terusai
org_ninja_nokizaru,953,轩猿众,軒猿|轩猿,Ninja,lord_1_katoo_dankuroo,lord_1_katoo_dankuroo,-,-,-,-
org_ninja_hachiya,958,钵屋众,鉢屋|钵屋,Ninja,-,-,-,-,-,-
org_ninja_togakushi,951,户隐众,戸隠|户隐,Ninja,lord_1_deura_morikiyo,lord_1_deura_morikiyo,lord_1_deura_morikiyo,lord_1_deura_morikiyo,lord_1_deura_morikiyo,lord_1_deura_morikiyo
org_ninja_suppa,954,透波众,透波,Ninja,lord_1_koosaka_jinnai,lord_1_koosaka_jinnai,lord_1_katoo_dankuroo,lord_1_koosaka_jinnai,lord_1_koosaka_jinnai,-
org_ninja_yamasen,960,山潜众,山潜,Ninja,-,-,-,-,-,-
org_pirate_antousuigun,965,安东水军,,Pirate,-,-,-,-,-,-
org_pirate_awajisuigun,971,淡路水军,,Pirate,@商人,@忍者,@商人,@商人,-,@忍者
org_pirate_bounotsusuigun,977,坊津水军,,Pirate,-,-,-,-,-,-
org_pirate_bousousuigun,966,房总水军,房総水軍|房総|房总,Pirate,@商人,lord_1_aso_tada,@商人,@商人,@商人,@忍者
org_pirate_bungosuigun,975,丰后水军,豊後水軍|豊後|丰后,Pirate,@海贼,-,@海贼,@海贼,@海贼,-
org_pirate_gotousuigun,976,五岛水军,,Pirate,@海贼,@忍者,@海贼,@海贼,@海贼,-
org_pirate_kougun,978,江户水军,江戸水軍|江戸|江户,Pirate,-,-,-,-,-,@忍者
org_pirate_kumanosuigun,969,熊野水军,,Pirate,@商人,lord_1_shimazu_sanekisa,@商人,@商人,@商人,-
org_pirate_murakamisuigun,973,村上水军,,Pirate,@海贼,@忍者,@海贼,@海贼,@海贼,@忍者
org_pirate_sagamisuigun,967,相模水军,,Pirate,@商人,@忍者,@商人,@商人,@商人,-
org_pirate_shiwakusuigun,972,盐饱水军,鹽飽|盐饱,Pirate,@海贼,@商人,@海贼,@海贼,@海贼,-
org_pirate_surugasuigun,968,骏河水军,,Pirate,@商人,@商人,@商人,@商人,@商人,-
org_pirate_tangosuigun,970,丹后水军,,Pirate,@商人,@商人,@商人,@商人,-,-
org_pirate_tosasuigun,974,土佐水军,,Pirate,@海贼,@商人,@海贼,@海贼,@海贼,-
