ID,太阁名,中文名,太阁类型,种类,语料出现次数,备注
tk5_item_hongem_no_yubiwa,紅寶石之戒,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_benibana,紅花,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_kami,紙,,,trade_good,22,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shikon,紫根,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kokiito_shitasankoui,縹糸下散紅威,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_mino_gami,美濃紙,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hisui_no_kazari,翡翠首飾,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_seikishi_no_yoroi,聖騎士之鎧,,,item,12,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_feizao,肥皂,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_koshou,胡椒,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_wakizashi,脇差,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shikishi,色紙,,,trade_good,5,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_hanashita_yuraku_zu,花下遊樂圖,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_akane,茜,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_egoma,荏胡麻,,,trade_good,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_moye,莫邪,,,item,16,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kikuchi_yari,菊池槍,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kikuzake,菊酒,,,item,7,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_hagi_yaki,萩燒,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_manreki_akae,萬曆赤絵,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_budo,葡萄,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_putao_jiu,葡萄酒,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_soba,蕎麦,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_ai,藍,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ashiya_gama,蘆屋釜,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ranshatai,蘭奢待,,,item,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_shiyu_no_yoroi,蚩尤之鎧,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_dangao,蛋糕,,,item,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_mikan,蜜柑,,,trade_good,6,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_akaraku_chawan,赤樂茶碗,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ashigaru_gusoku,足輕具足,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_wajima_nuri,輪島塗,,,trade_good,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_oomi_kuro,近江黑,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_shoyu,醬油,,,trade_good,4,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kinkai,金塊,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_konpeito,金平糖,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kondami_gusoku,金陀美具足,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kusari_gusoku,鎖具足,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_zuanshi,鑽石,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_raikiri,雷切,,,item,7,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_seiji_hanaire,青磁花入,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_bakouhaken,馬蝗絆,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_onimaru,鬼丸,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_sushi,鮨,,,trade_good,9,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_tai,鯛魚,,,trade_good,15,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_torinoko_kami,鳥子紙,,,trade_good,5,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_bakushu,麦酒,,,item,8,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kizeto_hanaire,黄瀬戶花入,,,item,2,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kizeto_chawan,黄瀬戶茶碗,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_ougon_bundo,黄金分銅,,,item,1,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kuro_raku_chawan,黑樂茶碗,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kuroashi_odoshi_doumaru,黑葦威胴丸,,,item,10,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_item_kurogumo,黑雲,,,item,3,2026-08-30 语料扫描（07 数据包补 ID/类型）
tk5_trade_longxia,龍蝦,,,trade_good,10,2026-08-30 语料扫描（07 数据包补 ID/类型）
taikou_yukimura_do_a,,绯威赤备具足,,item,0,战无2 换装新品（绯威赤备具足，2026-09-15 登记）
taikou_keiji_do_a,,朱威大袖具足,,item,0,战无2 换装新品（朱威大袖具足，2026-09-15 登记）
taikou_nobunaga_do_a,,南蛮胴具足,,item,0,战无2 换装新品（南蛮胴具足，2026-09-15 登记）
taikou_mitsuhide_do_a,,水色桔梗威具足,,item,0,战无2 换装新品（水色桔梗威具足，2026-09-15 登记）
taikou_kenshin_do_a,,绀威胴丸,,item,0,战无2 换装新品（绀威胴丸，2026-09-15 登记）
taikou_oichi_do_a,,绯地打挂,,item,0,战无2 换装新品（绯地打挂，2026-09-15 登记）
taikou_okuni_do_a,,巫女装束,,item,0,战无2 换装新品（巫女装束，2026-09-15 登记）
taikou_magoichi_do_a,,八咫乌火绳具足,,item,0,战无2 换装新品（八咫乌火绳具足，2026-09-15 登记）
taikou_kojiro_do_a,,剑客装束,,item,0,战无2 换装新品（剑客装束，2026-09-15 登记）
taikou_katsuie_do_a,,赤威具足,,item,0,战无2 换装新品（赤威具足，2026-09-15 登记）
taikou_shingen_do_a,,白威胴丸,,item,0,战无2 换装新品（白威胴丸，2026-09-15 登记）
taikou_masamune_do_a,,黑漆五枚胴具足,,item,0,战无2 换装新品（黑漆五枚胴具足，2026-09-15 登记）
taikou_nouhime_do_a,,抚子纹打挂,,item,0,战无2 换装新品（抚子纹打挂，2026-09-15 登记）
taikou_hanzo_do_a,,伊贺忍装束,,item,0,战无2 换装新品（伊贺忍装束，2026-09-15 登记）
taikou_rammaru_do_a,,白纶子小袖,,item,0,战无2 换装新品（白纶子小袖，2026-09-15 登记）
taikou_hideyoshi_do_a,,金小札桐纹具足,,item,0,战无2 换装新品（金小札桐纹具足，2026-09-15 登记）
taikou_tadakatsu_do_a,,黑威具足,,item,0,战无2 换装新品（黑威具足，2026-09-15 登记）
taikou_inahime_do_a,,红威女具足,,item,0,战无2 换装新品（红威女具足，2026-09-15 登记）
taikou_ieyasu_do_a,,金陀美具足,,item,0,战无2 换装新品（金陀美具足，2026-09-15 登记）
taikou_mitsunari_do_a,,白威九曜纹具足,,item,0,战无2 换装新品（白威九曜纹具足，2026-09-15 登记）
taikou_nagamasa_do_a,,龟甲纹具足,,item,0,战无2 换装新品（龟甲纹具足，2026-09-15 登记）
taikou_sakon_do_a,,黑漆大袖具足,,item,0,战无2 换装新品（黑漆大袖具足，2026-09-15 登记）
taikou_yoshihiro_do_a,,黑漆岛津具足,,item,0,战无2 换装新品（黑漆岛津具足，2026-09-15 登记）
taikou_ginchiyo_do_a,,白威女具足,,item,0,战无2 换装新品（白威女具足，2026-09-15 登记）
taikou_kanetsugu_do_a,,黑威当世具足,,item,0,战无2 换装新品（黑威当世具足，2026-09-15 登记）
taikou_nene_do_a,,桐纹打挂,,item,0,战无2 换装新品（桐纹打挂，2026-09-15 登记）
taikou_kotaro_do_a,,风魔忍装束,,item,0,战无2 换装新品（风魔忍装束，2026-09-15 登记）
taikou_musashi_do_a,,野袴道服,,item,0,战无2 换装新品（野袴道服，2026-09-15 登记）
taikou_shingen_helmet_a,,诹访法性兜,,item,0,战无2 换装新品（诹访法性兜，2026-09-15 登记）
taikou_masamune_helmet_a,,俱利伽罗龙前立兜,,item,0,战无2 换装新品（俱利伽罗龙前立兜，2026-09-15 登记）
taikou_hanzo_helmet_a,,伊贺黑头巾,,item,0,战无2 换装新品（伊贺黑头巾，2026-09-15 登记）
taikou_hideyoshi_helmet_a,,马蔺后立兜,,item,0,战无2 换装新品（马蔺后立兜，2026-09-15 登记）
taikou_tadakatsu_helmet_a,,鹿角胁立兜,,item,0,战无2 换装新品（鹿角胁立兜，2026-09-15 登记）
taikou_ieyasu_helmet_a,,金陀美具足附属兜,,item,0,战无2 换装新品（金陀美具足附属兜，2026-09-15 登记）
taikou_nagamasa_helmet_a,,三盛龟甲前立兜,,item,0,战无2 换装新品（三盛龟甲前立兜，2026-09-15 登记）
taikou_kanetsugu_helmet_a,,爱染明王前立兜,,item,0,战无2 换装新品（爱染明王前立兜，2026-09-15 登记）
taikou_yukimura_weapon_a,,十文字枪,,item,0,战无2 换装新品（十文字枪，2026-09-15 登记）
taikou_keiji_weapon_a,,二又矛,,item,0,战无2 换装新品（二又矛，2026-09-15 登记）
taikou_nobunaga_weapon_a,,鬼切,,item,0,战无2 换装新品（鬼切，2026-09-15 登记）
taikou_mitsuhide_weapon_a,,业物,,item,0,战无2 换装新品（业物，2026-09-15 登记）
taikou_kenshin_weapon_a,,七握刀,,item,0,战无2 换装新品（七握刀，2026-09-15 登记）
taikou_oichi_weapon_a,,剑玉·梅,,item,0,战无2 换装新品（剑玉·梅，2026-09-15 登记）
taikou_okuni_weapon_a,,番伞,,item,0,战无2 换装新品（番伞，2026-09-15 登记）
taikou_magoichi_weapon_a,,种子岛,,item,0,战无2 换装新品（种子岛，2026-09-15 登记）
taikou_kojiro_weapon_a,,子暗丸,,item,0,战无2 换装新品（子暗丸，2026-09-15 登记）
taikou_katsuie_weapon_a,,二丁斧,,item,0,战无2 换装新品（二丁斧，2026-09-15 登记）
taikou_shingen_weapon_a,,将配,,item,0,战无2 换装新品（将配，2026-09-15 登记）
taikou_masamune_weapon_a,,阵太刀,,item,0,战无2 换装新品（阵太刀，2026-09-15 登记）
taikou_nouhime_weapon_a,,蜘蛛,,item,0,战无2 换装新品（蜘蛛，2026-09-15 登记）
taikou_hanzo_weapon_a,,锁镰,,item,0,战无2 换装新品（锁镰，2026-09-15 登记）
taikou_rammaru_weapon_a,,野太刀,,item,0,战无2 换装新品（野太刀，2026-09-15 登记）
taikou_hideyoshi_weapon_a,,三筋杖,,item,0,战无2 换装新品（三筋杖，2026-09-15 登记）
taikou_tadakatsu_weapon_a,,豪枪,,item,0,战无2 换装新品（豪枪，2026-09-15 登记）
taikou_inahime_weapon_a,,长弓,,item,0,战无2 换装新品（长弓，2026-09-15 登记）
taikou_ieyasu_weapon_a,,筒枪,,item,0,战无2 换装新品（筒枪，2026-09-15 登记）
taikou_mitsunari_weapon_a,,义扇,,item,0,战无2 换装新品（义扇，2026-09-15 登记）
taikou_nagamasa_weapon_a,,锥矛,,item,0,战无2 换装新品（锥矛，2026-09-15 登记）
taikou_sakon_weapon_a,,战场刀,,item,0,战无2 换装新品（战场刀，2026-09-15 登记）
taikou_yoshihiro_weapon_a,,丸太槌,,item,0,战无2 换装新品（丸太槌，2026-09-15 登记）
taikou_ginchiyo_weapon_a,,稻妻刀,,item,0,战无2 换装新品（稻妻刀，2026-09-15 登记）
taikou_kanetsugu_weapon_a,,宝剑,,item,0,战无2 换装新品（宝剑，2026-09-15 登记）
taikou_nene_weapon_a,,飞刀,,item,0,战无2 换装新品（飞刀，2026-09-15 登记）
taikou_kotaro_weapon_a,,铁笼手,,item,0,战无2 换装新品（铁笼手，2026-09-15 登记）
taikou_musashi_weapon_a,,双剑,,item,0,战无2 换装新品（双剑，2026-09-15 登记）
taikou_yukimura_helmet_a,,六文钱前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_keiji_helmet_a,,梅钵前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_nobunaga_helmet_a,,唐冠形兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_mitsuhide_helmet_a,,桔梗前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_kenshin_helmet_a,,白头巾,,item,0,战无2 换装新品（白头巾，2026-09-15 登记）
taikou_oichi_helmet_a,,木瓜前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_okuni_helmet_a,,巫女头巾,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_magoichi_helmet_a,,八咫乌前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_kojiro_helmet_a,,阵笠,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_katsuie_helmet_a,,雁金前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_nouhime_helmet_a,,抚子前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_rammaru_helmet_a,,鹤丸前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_inahime_helmet_a,,红威鹿角胁立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_mitsunari_helmet_a,,大一大万大吉前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_sakon_helmet_a,,黑漆筋兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_yoshihiro_helmet_a,,丸十前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_ginchiyo_helmet_a,,祇园守前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_nene_helmet_a,,桐纹前立兜,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_kotaro_helmet_a,,风魔黑头巾,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_musashi_helmet_a,,阵笠,,item,0,⚠️ 占位·无真实模型（战无2 原模型里与头部连体，待补；2026-09-15 登记）
taikou_troop_yari_weapon_a,,长枪,,item,0,战无2 兵种通用武器（tools/sw2-pipeline/gen_troop_weapon_items.py，2026-09-15 登记）
taikou_troop_uchigatana_weapon_a,,打刀,,item,0,战无2 兵种通用武器（tools/sw2-pipeline/gen_troop_weapon_items.py，2026-09-15 登记）
taikou_troop_yumi_weapon_a,,弓,,item,0,战无2 兵种通用武器（tools/sw2-pipeline/gen_troop_weapon_items.py，2026-09-15 登记）
taikou_troop_shinobigatana_weapon_a,,忍刀,,item,0,战无2 兵种通用武器（tools/sw2-pipeline/gen_troop_weapon_items.py，2026-09-15 登记）
taikou_troop_chunin_do_a,,茶革忍装束,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_genin_do_a,,藏青女忍装束,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_hazenin_do_a,,黑漆重具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_hazenin_helmet_a,,黑漆筋兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_jonin_do_a,,黑忍装束,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_jonin_helmet_a,,黑覆面,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_katana_ashigaru_do_a,,钢青锁帷子,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_katana_ashigaru_helmet_a,,钢青阵笠,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_samurai_do_a,,茶青金具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_samurai_helmet_a,,蓝铁筋兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_sennin_do_a,,白布忍装束（樱纹）,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_sennin_helmet_a,,白布头巾,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_taisho_do_a,,樱色女具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_taisho_helmet_a,,樱色大兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_teppo_ashigaru_do_a,,赤茶火药胴丸,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
