ID,character名单名,内存编辑器名单名
234,金上盛备,金上盛备
235,金森长近,金森长近
236,可儿才藏,可儿才藏
237,钟卷自斋,钟卷自斋
238,蒲池鉴盛,蒲池鉴盛
239,龟井茲矩,龟井茲矩
240,蒲生氏乡,蒲生氏乡
241,蒲生贤秀,蒲生贤秀
242,蒲生定秀,蒲生定秀
243,蒲生赖乡(蒲生乡舍),蒲生赖乡(蒲生乡舍)
244,蒲生秀行,蒲生秀行
245,川上忠智,川上忠智
246,川上久朗,川上久朗
247,河尻秀隆,河尻秀隆
248,河田长亲,河田长亲
249,愿证寺证惠,愿证寺证惠
250,神户具盛,神户具盛
251,菅达长,菅达长
252,城井镇房,城井镇房
253,喜入季久,喜入季久
254,木曾义昌,木曾义昌
255,木曾义康,木曾义康
256,北条景广,北条景广
257,北条高广,北条高广
258,北信爱,北信爱
259,北畠具教(北田具教),北畠具教(北田具教)
260,北畠具房(北田具房),北畠具房(北田具房)
261,北畠晴具(北田晴具),北畠晴具(北田晴具)
262,吉川经家,吉川经家
263,吉川广家,吉川广家
264,吉川元长,吉川元长
265,吉川元春,吉川元春
266,木下昌直,木下昌直
267,木村重成,木村重成
268,肝付兼续,肝付兼续
269,肝付兼护,肝付兼护
270,肝付良兼,肝付良兼
271,京极高次,京极高次
272,京极高知,京极高知
273,京极高吉,京极高吉
274,吉良亲贞,吉良亲贞
275,吉良亲实,吉良亲实
276,雾隐才藏,雾隐才藏
277,九鬼广隆,九鬼广隆
278,九鬼守隆,九鬼守隆
279,九鬼嘉隆,九鬼嘉隆
280,楠长谙,楠长谙
281,口羽通良,口羽通良
282,朽木元纲,朽木元纲
283,国司元相,国司元相
284,国友善兵卫,国友善兵卫
285,九户政实,九户政实
286,熊谷信直,熊谷信直
287,组屋源四郎,组屋源四郎
288,末吉孙左卫门,末吉孙左卫门
289,藏田五郎左,藏田五郎左
290,来岛通总,来岛通总
291,村上通康(来岛通康),村上通康(来岛通康)
292,黑田如水,黑田如水
293,黑田长政,黑田长政
294,黑田职隆,黑田职隆
295,桑名吉成,桑名吉成
296,上泉信纲,上泉信纲
297,高坂甚内,高坂甚内
298,高坂昌信,高坂昌信
299,香宗我部亲泰,香宗我部亲泰
300,河野通直,河野通直
301,河野通宣,河野通宣
302,高力清长,高力清长
303,小岛职镇,小岛职镇
304,五代友喜,五代友喜
305,儿玉就英,儿玉就英
306,木造具政,木造具政
307,笼手田安一,笼手田安一
308,笼手田安经,笼手田安经
309,后藤贤丰,后藤贤丰
310,后藤信康,后藤信康
311,后藤又兵卫,后藤又兵卫
312,小西行长,小西行长
313,小西隆佐,小西隆佐
314,小早川隆景,小早川隆景
315,小早川秀秋,小早川秀秋
316,小早川秀包,小早川秀包
317,小堀远州,小堀远州
318,小梁川盛宗,小梁川盛宗
319,近藤义武,近藤义武
320,西园寺公广,西园寺公广
321,杂贺孙一,杂贺孙一
322,斋藤龙兴,斋藤龙兴
323,斋藤传鬼坊,斋藤传鬼坊
324,斋藤道三,斋藤道三
325,斋藤利三,斋藤利三
326,斋藤朝信,斋藤朝信
327,斋藤义龙,斋藤义龙
328,斋村政广,斋村政广
329,佐伯惟定,佐伯惟定
330,吉田印西,吉田印西
331,酒井家次,酒井家次
332,酒井忠次,酒井忠次
333,酒井忠世,酒井忠世
334,坂井政尚,坂井政尚
335,榊原康政,榊原康政
336,坂崎直盛,坂崎直盛
337,相良义阳,相良义阳
338,相良赖房,相良赖房
339,佐久间信盛,佐久间信盛
340,佐久间盛重,佐久间盛重
341,佐久间盛政,佐久间盛政
342,鲑延秀纲,鲑延秀纲
343,佐佐木小次郎,佐佐木小次郎
344,笹部勘二郎,笹部勘二郎
345,佐世元嘉,佐世元嘉
346,佐竹义昭,佐竹义昭
347,佐竹义重,佐竹义重
348,佐竹义宣,佐竹义宣
349,佐竹义久,佐竹义久
350,佐田彦四郎,佐田彦四郎
351,佐佐成政,佐佐成政
352,里见义尧,里见义尧
353,里见义弘,里见义弘
354,里见义康,里见义康
355,里见义赖,里见义赖
356,真田信纲,真田信纲
357,真田信幸,真田信幸
358,真田昌辉,真田昌辉
359,真田昌幸,真田昌幸
360,真田幸隆,真田幸隆
361,真田幸村,真田幸村
362,佐野房纲,佐野房纲
363,佐分利猪之助,佐分利猪之助
364,猿飞佐助,猿飞佐助
365,猿渡信光,猿渡信光
366,山本寺定长,山本寺定长
367,椎名康胤,椎名康胤
368,志贺亲次,志贺亲次
369,志贺亲守,志贺亲守
370,繁泽元氏,繁泽元氏
371,宍户隆家(肉户隆家),宍户隆家(肉户隆家)
372,宍户梅轩(肉户梅轩),宍户梅轩(肉户梅轩)
373,宍户元续(肉户元续),宍户元续(肉户元续)
374,七条兼仲,七条兼仲
375,七里赖周,七里赖周
376,篠原长房,篠原长房
377,斯波诠直,斯波诠直
378,斯波诠真,斯波诠真
379,柴田胜家,柴田胜家
380,柴田胜丰,柴田胜丰
381,新发田重家,新发田重家
382,新发田长敦,新发田长敦
383,芝辻清右卫门(芝十清右卫门),芝辻清右卫门(芝十清右卫门)
384,涩谷与右卫门,涩谷与右卫门
385,岛井宗室,岛井宗室
386,岛左近,岛左近
387,岛津家久,岛津家久
388,岛津日新斋,岛津日新斋
389,岛津贵久,岛津贵久
390,岛津忠恒,岛津忠恒
391,岛津岁久,岛津岁久
392,岛津丰久,岛津丰久
393,岛津义虎,岛津义虎
394,岛津义久,岛津义久
395,岛津义弘,岛津义弘
396,清水宗治,清水宗治
397,清水康英,清水康英
398,志村光安,志村光安
399,下间仲孝,下间仲孝
400,下间赖照,下间赖照
401,下间赖廉,下间赖廉
402,上条政繁,上条政繁
403,白石宗实,白石宗实
404,神西元通,神西元通
405,神保氏张,神保氏张
406,神保长住,神保长住
407,神保长城,神保长城
408,神保长职,神保长职
409,陶晴贤,陶晴贤
410,菅沼定盈,菅沼定盈
411,杉谷善住坊,杉谷善住坊
412,杉之坊照算,杉之坊照算
413,铃木佐大夫,铃木佐大夫
414,铃木重朝,铃木重朝
415,薄田兼相,薄田兼相
416,铃木元信,铃木元信
417,须田满亲,须田满亲
418,津田宗及,津田宗及
419,角仓素庵,角仓素庵
420,角仓了以,角仓了以
421,关一政,关一政
422,关口氏广,关口氏广
423,世鬼政时,世鬼政时
424,关盛信,关盛信
425,仙石秀久,仙石秀久
426,千利休,千利休
427,相马盛胤,相马盛胤
428,相马义胤,相马义胤
429,宗义调,宗义调
430,宗义智,宗义智
431,十河一存,十河一存
432,十河存保,十河存保
433,太原雪斋,太原雪斋
434,大道寺政繁,大道寺政繁
435,大宝寺义氏,大宝寺义氏
436,高岛正重,高岛正重
437,高梨政赖,高梨政赖
438,高桥鉴种,高桥鉴种
439,高桥绍运,高桥绍运
440,高山重友,高山重友
441,高山友照,高山友照
442,泷川一益,泷川一益
443,泷川雄利,泷川雄利
444,田北镇周,田北镇周
445,泷本寺非有,泷本寺非有
446,武井夕庵,武井夕庵
447,武田胜赖,武田胜赖
448,武田逍遙轩,武田逍遙轩
449,武田信玄,武田信玄
450,武田信繁,武田信繁
451,武田信丰,武田信丰
452,武田元明,武田元明
453,武田义信,武田义信
454,竹中重门,竹中重门
455,竹中半兵卫,竹中半兵卫
456,立花道雪,立花道雪
457,立花直次,立花直次
458,立花宗茂,立花宗茂
459,立原久纲,立原久纲
460,楯冈满茂,楯冈满茂
461,伊达实元,伊达实元
462,伊达成实,伊达成实
463,伊达稙宗,伊达稙宗
464,伊达辉宗,伊达辉宗
465,伊达晴宗,伊达晴宗
466,伊达政宗,伊达政宗
467,田中胜介(田中胜助),田中胜介(田中胜助)
468,田中吉政,田中吉政
469,谷忠澄,谷忠澄
470,种子岛时尧,种子岛时尧
471,种子岛久时,种子岛久时
472,田村清显,田村清显
473,多罗尾光俊,多罗尾光俊
474,田原亲贤,田原亲贤
475,千贺孙兵卫,千贺孙兵卫
476,千坂景亲,千坂景亲
477,千叶邦胤,千叶邦胤
478,千叶胤富,千叶胤富
479,茶屋又四郎,茶屋又四郎
480,茶屋四郎次郎,茶屋四郎次郎
481,长宗我部国亲,长宗我部国亲
482,长宗我部信亲,长宗我部信亲
483,长宗我部元亲,长宗我部元亲
484,长宗我部盛亲,长宗我部盛亲
485,长续连,长续连
486,长连龙,长连龙
487,塚原卜传,塚原卜传
488,津轻为信,津轻为信
489,柘植三之丞,柘植三之丞
490,津田信澄,津田信澄
491,土屋昌恒,土屋昌恒
492,筒井定次,筒井定次
493,筒井顺庆,筒井顺庆
494,角隈石宗,角隈石宗
495,津野亲忠,津野亲忠
496,土居宗珊,土居宗珊
497,土井利胜,土井利胜
498,东乡重位,东乡重位
499,藤堂高虎,藤堂高虎
500,远山景任,远山景任
501,远山纲景,远山纲景
502,户川秀安,户川秀安
503,户川逵安,户川逵安
504,土岐赖次,土岐赖次
505,得居通之,得居通之
506,德川家康,德川家康
507,德川信康,德川信康
508,德川秀忠,德川秀忠
509,户泽盛安,户泽盛安
510,富田景政,富田景政
511,富田重政,富田重政
512,富田势源,富田势源
513,富田隆实,富田隆实
514,富永山随,富永山随
515,丰臣秀次,丰臣秀次
516,丰臣秀长,丰臣秀长
517,丰臣秀吉,丰臣秀吉
518,丰臣秀赖,丰臣秀赖
519,鸟居强右卫门,鸟居强右卫门
520,鸟居忠吉,鸟居忠吉
521,鸟居元忠,鸟居元忠
522,内藤如安,内藤如安
523,内藤昌丰,内藤昌丰
524,内藤正成,内藤正成
525,直江景纲,直江景纲
526,直江兼续,直江兼续
527,长井道利,长井道利
528,长尾政景,长尾政景
529,中川清秀,中川清秀
530,长坂钓闲(长坂长闲),长坂钓闲(长坂长闲)
531,中岛重房,中岛重房
532,中岛可之助,中岛可之助
533,中条景泰,中条景泰
534,永田德本,永田德本
535,长野具藤,长野具藤
536,长野业正,长野业正
537,长野业盛,长野业盛
538,中野宗时,中野宗时
539,中村一氏,中村一氏
540,道川兵卫三郎,道川兵卫三郎
541,中山朝正,中山朝正
542,名古屋山三郎,名古屋山三郎
543,奈佐日本助,奈佐日本助
544,那须资晴,那须资晴
545,长束正家,长束正家
546,夏目吉信,夏目吉信
547,锅岛胜茂,锅岛胜茂
548,锅岛直茂,锅岛直茂
549,吕宋助左卫门,吕宋助左卫门
550,成田氏长,成田氏长
551,成田长忠,成田长忠
552,成田长泰,成田长泰
553,成松信胜,成松信胜
554,成富茂安,成富茂安
555,南部利直,南部利直
556,南部信直,南部信直
557,南部晴政,南部晴政
558,新纳忠元,新纳忠元
559,西川仁右卫门,西川仁右卫门
560,仁科盛信,仁科盛信
561,二曲轮猪助,二曲轮猪助
562,二宫就辰,二宫就辰
563,二本松义继,二本松义继
564,丹羽长重,丹羽长重
565,丹羽长秀,丹羽长秀
566,温井景隆,温井景隆
567,沼田祐光,沼田祐光
568,根岸兔角,根岸兔角
569,祢寝重长,祢寝重长
570,根津甚八,根津甚八
571,乃美宗胜,乃美宗胜
572,拜乡家嘉,拜乡家嘉
573,垪和氏续(屏和氏续),垪和氏续(屏和氏续)
574,芳贺高定,芳贺高定
575,芳贺高继,芳贺高继
576,友野二郎兵卫,友野二郎兵卫
577,支仓常长,支仓常长
578,畠山高政(田山高政),畠山高政(田山高政)
579,畠山义续(田山义续),畠山义续(田山义续)
580,畠山义纲(田山义纲),畠山义纲(田山义纲)
581,波多野晴通,波多野晴通
582,波多野秀尚,波多野秀尚
583,波多野秀治,波多野秀治
584,蜂须贺家政,蜂须贺家政
585,蜂须贺小六,蜂须贺小六
586,蜂屋赖隆,蜂屋赖隆
587,服部半藏,服部半藏
588,堀立直正,堀立直正
589,花房正成,花房正成
590,花房正幸,花房正幸
591,花房职秀,花房职秀
592,马场信春(马场信房),马场信春(马场信房)
593,林崎甚助,林崎甚助
594,林秀贞,林秀贞
595,原田宗时,原田宗时
596,原虎胤,原虎胤
597,原昌胤,原昌胤
598,播磨屋宗德,播磨屋宗德
599,塙直政,塙直政
600,塙团右卫门,塙团右卫门
601,疋田丰五郎,疋田丰五郎
602,久武亲直,久武亲直
603,久武亲信,久武亲信
604,鸿池新六,鸿池新六
605,日根野弘就,日根野弘就
606,百武贤兼,百武贤兼
607,平井经治,平井经治
608,平岩亲吉,平岩亲吉
609,平冈房实,平冈房实
610,平贺元相,平贺元相
611,平手泛秀,平手泛秀
612,平野长泰,平野长泰
613,风魔小太郎,风魔小太郎
614,深水长智,深水长智
615,福岛正则,福岛正则
616,福留亲政,福留亲政
617,福留仪重,福留仪重
618,福原贞俊,福原贞俊
619,古田织部,古田织部
620,不破光治,不破光治
621,别所长治,别所长治
622,穗井田元清,穗井田元清
623,北条氏胜,北条氏胜
624,北条氏邦,北条氏邦
625,北条氏繁,北条氏繁
626,北条氏照,北条氏照
627,北条氏直,北条氏直
628,北条氏规,北条氏规
629,北条氏政,北条氏政
630,北条氏康,北条氏康
631,北条幻庵,北条幻庵
632,北条纲成,北条纲成
633,宝藏院胤荣,宝藏院胤荣
634,保科正俊,保科正俊
635,安井道顿,安井道顿
636,细川忠兴,细川忠兴
637,细川晴元,细川晴元
638,细川幽斋,细川幽斋
639,堀尾忠氏,堀尾忠氏
640,堀尾吉晴,堀尾吉晴
641,堀直政,堀直政
642,堀内氏善,堀内氏善
643,堀秀治,堀秀治
644,堀秀政,堀秀政
645,本因坊算砂,本因坊算砂
646,本愿寺教如,本愿寺教如
647,本愿寺显如,本愿寺显如
648,本愿寺准如,本愿寺准如
649,北乡时久,北乡时久
650,本庄繁长,本庄繁长
651,本多重次,本多重次
652,本多忠胜,本多忠胜
653,本多忠朝,本多忠朝
654,本多忠政,本多忠政
655,本多正纯,本多正纯
656,本多正信,本多正信
657,前田庆次,前田庆次
658,前田玄以,前田玄以
659,前田利家,前田利家
660,前田利长,前田利长
661,前田利政,前田利政
662,前野长康,前野长康
663,前波吉继,前波吉继
664,真壁氏干,真壁氏干
665,真柄直澄,真柄直澄
666,真柄直隆,真柄直隆
667,正木时茂,正木时茂
668,正木时忠,正木时忠
669,正木赖忠,正木赖忠
670,增田长盛,增田长盛
671,益田元祥,益田元祥
672,松井康之,松井康之
673,松井友闲,松井友闲
674,松仓重信,松仓重信
675,松仓重政,松仓重政
676,松下加兵卫,松下加兵卫
677,松平忠吉,松平忠吉
678,松田宪秀,松田宪秀
679,松永久秀,松永久秀
680,松永久通,松永久通
681,松波义亲,松波义亲
682,角屋七郎次郎,角屋七郎次郎
683,松浦镇信,松浦镇信
684,松浦隆信,松浦隆信
685,曲直濑道三,曲直濑道三
686,丸目长惠,丸目长惠
687,三云成持,三云成持
688,御宿勘兵卫,御宿勘兵卫
689,水谷胤重,水谷胤重
690,水野胜成,水野胜成
691,水野忠重,水野忠重
692,水野信元,水野信元
693,沟尾庄兵卫,沟尾庄兵卫
694,沟口秀胜,沟口秀胜
695,三刀屋久祐,三刀屋久祐
696,三村家亲,三村家亲
697,三村元亲,三村元亲
698,宫部继润,宫部继润
699,宫本传太夫,宫本传太夫
700,宫本武藏,宫本武藏
701,三好笑岩,三好笑岩
702,三好长治,三好长治
703,三好长逸,三好长逸
704,三好长庆,三好长庆
705,三好为三(三好政胜),三好为三(三好政胜)
706,三好宗渭(三好政康),三好宗渭(三好政康)
707,三好义兴,三好义兴
708,三好实休,三好实休
709,三好义继,三好义继
710,向井正纲,向井正纲
711,村井贞胜,村井贞胜
712,村井长赖,村井长赖
713,村上国清,村上国清
714,村上武吉,村上武吉
715,村上元吉,村上元吉
716,村上义清,村上义清
717,毛受胜照,毛受胜照
718,毛利胜永,毛利胜永
719,毛利重能,毛利重能
720,毛利隆元,毛利隆元
721,毛利辉元,毛利辉元
722,毛利元就,毛利元就
723,最上义光,最上义光
724,最上义时,最上义时
725,最上义守,最上义守
726,望月六郎,望月六郎
727,本山茂宗,本山茂宗
728,籾井教业(榖井教业),籾井教业(榖井教业)
729,百地三太夫,百地三太夫
730,森下道誉(森下道与),森下道誉(森下道与)
731,森忠政,森忠政
732,母里太兵卫,母里太兵卫
733,森长可,森长可
734,森村春,森村春
735,森可成,森可成
736,森兰丸,森兰丸
737,师冈一羽,师冈一羽
738,问注所统景,问注所统景
739,八板金兵卫,八板金兵卫
740,柳生石舟斋,柳生石舟斋
741,柳生兵库助,柳生兵库助
742,柳生宗矩,柳生宗矩
743,施药院全宗,施药院全宗
744,矢泽赖纲,矢泽赖纲
745,矢泽赖康,矢泽赖康
746,屋代景赖,屋代景赖
747,安田显元,安田显元
748,安田长秀,安田长秀
749,柳原户兵卫,柳原户兵卫
750,山县昌景,山县昌景
751,山崎片家,山崎片家
752,山崎长德,山崎长德
753,山田有信,山田有信
754,山田长政,山田长政
755,山田宗昌(山田匡德),山田宗昌(山田匡德)
756,山中鹿介,山中鹿介
757,山中俊好,山中俊好
758,山名祐丰,山名祐丰
759,山名禅高,山名禅高
760,山内一丰,山内一丰
761,山本勘助,山本勘助
762,汤浅五助,汤浅五助
763,结城晴朝,结城晴朝
764,结城秀康,结城秀康
765,结城政胜,结城政胜
766,游佐续光,游佐续光
767,由利镰之助,由利镰之助
768,横谷左近,横谷左近
769,吉江景资,吉江景资
770,吉冈宪法,吉冈宪法
771,吉冈清十郎,吉冈清十郎
772,吉冈传七郎,吉冈传七郎
773,吉冈长增,吉冈长增
774,吉田重俊,吉田重俊
775,吉田孝赖,吉田孝赖
776,吉田政重,吉田政重
777,吉田康俊,吉田康俊
778,吉弘鉴理,吉弘鉴理
779,吉见正赖,吉见正赖
780,世濑藏人,世濑藏人
781,淀屋常安,淀屋常安
782,梁田藤左卫门,梁田藤左卫门
783,依冈左京,依冈左京
784,龙造寺家就,龙造寺家就
785,龙造寺隆信,龙造寺隆信
786,龙造寺长信,龙造寺长信
787,龙造寺信周,龙造寺信周
788,龙造寺政家,龙造寺政家
789,留守政景,留守政景
790,六角承祯,六角承祯
791,六角义治,六角义治
792,若林镇兴,若林镇兴
793,胁坂安治,胁坂安治
794,分部光嘉,分部光嘉
795,和田昭为,和田昭为
796,和田惟政,和田惟政
797,渡边勘兵卫,渡边勘兵卫
798,渡边守纲,渡边守纲
799,亘理元宗,亘理元宗
800,上杉宪政,無
801,武田信虎,無
802,大内义隆,無
803,织田信秀,無
804,松平广忠,無
805,平手政秀,無
806,九鬼净隆,無
807,畠山秋高,無
808,赤松晴政,無
809,少贰冬尚,無
810,有马义贞,無
811,大友义鉴,無
812,本愿寺证如,無
813,大宝寺义增,無
814,斯波义统,無
815,织田信友,無
816,细川氏纲,無
817,六角定赖,無
818,岛津胜久,無
819,筒井顺昭,無
820,二阶堂盛义,無
821,一宫随波斋,無
822,有马晴纯,無
823,相良晴广,無
824,村上吉充,無
825,岩间小熊,無
826,梶原政景,無
827,松永长赖,無
828,毛利秀元,無
829,大谷休泊,無
830,游佐信教,無
831,田北绍铁,無
832,冷泉隆丰,無
833,相良武任,無
834,饭田兴秀,無
835,儿玉就方,無
836,白井贤胤,無
837,织田信光,無
838,小山田信有,無
839,尼子国久,新武將
840,尼子诚久,佐平次
841,坂井大膳,彌二郎
842,别所就治,傳助
843,志道广良,權兵衛
844,锅岛清房,甚內
845,神屋绍策,六左衛門
846,内藤兴盛,彌源次
847,岛津实久,喜三太
848,井上元兼,久太夫
849,津田宗达,與三郎
850,阿苏惟丰,八郎
851,津田算长,新右衛門
852,杉重矩,平太
853,城井长房,中三
854,葛西晴胤,熊吉
855,江上武种,弁藏
856,佐伯惟教,利八
857,宇久玄雅,善右衛門
858,二木重高,孫四門
859,高田又兵卫,石松
860,无卡忍者,菊之助
861,无卡忍者,大丸
862,无卡忍者,半助
863,无卡忍者,彌吉
864,无卡忍者,五兵衛
865,无卡忍者,平助
866,无卡忍者,丑松
867,无卡忍者,仙造
868,无卡忍者,伊作
869,无卡忍者,瀧
870,无卡忍者,禎三
871,无卡忍者,專次
872,无卡忍者,勘右衛門
873,无卡忍者,余市
874,无卡忍者,為五郎
875,无卡忍者,龜太郎
876,无卡忍者,褚助
877,无卡忍者,道閑
878,无卡忍者,甚六
879,无卡忍者,平左
880,无卡忍者,楓
881,无卡忍者,次郎吉
882,无卡忍者,又八
883,无卡忍者,佐七
884,无卡忍者,九兵衛
885,无卡忍者,嚴墓
886,无卡忍者,鶴千代
887,无卡忍者,力丸
888,无卡忍者,藤五郎
