ID,ScriptName,ChineseName,LocozationName,Surname,Culture,Is_Shokuho,Owner_1554,Kingdom_1554,Owner_1560,Kingdom_1560,Owner_1568,Kingdom_1568,Owner_1575,Kingdom_1575,Owner_1582,Kingdom_1582,Owner_1598,Kingdom_1598
clan_bessho_2,别所,别所,{=TAIKOU_clan_bessho_2}Bessho,Bessho,kinai,0,-,-,-,-,lord_tk5_621,akamatsu,lord_tk5_621,akamatsu,-,-,-,-
clan_chaya_1,茶屋,茶屋,{=TAIKOU_clan_chaya_1}Chaya,Chaya,neutral_culture,0,lord_tk5_480,org_merchant_chaya,lord_tk5_480,org_merchant_chaya,lord_tk5_480,org_merchant_chaya,lord_tk5_480,org_merchant_chaya,lord_tk5_480,org_merchant_chaya,lord_tk5_479,org_merchant_chaya
clan_chiba_1,千叶,千叶,{=TAIKOU_clan_chiba_1}Chiba,Chiba,kanto,0,lord_tk5_478,hojo,lord_tk5_478,hojo,lord_tk5_478,hojo,lord_tk5_478,hojo,-,-,-,-
clan_cho_1,长,长,{=TAIKOU_clan_cho_1}Cho,Cho,hokuriku,0,lord_tk5_485,hatakeyama,-,-,lord_tk5_485,cho,lord_tk5_485,cho,-,-,-,-
clan_chosokabe_1,长宗我部,长宗我部,{=TAIKOU_clan_chosokabe_1}Chosokabe,Chosokabe,nankai,0,lord_tk5_481,chosokabe,-,-,-,-,-,-,-,-,-,-
clan_chosokabe_2,长宗我部,长宗我部,{=TAIKOU_clan_chosokabe_2}Chosokabe,Chosokabe,nankai,0,lord_tk5_483,chosokabe,lord_tk5_483,chosokabe,lord_tk5_483,chosokabe,lord_tk5_483,chosokabe,lord_tk5_483,chosokabe,lord_tk5_484,chosokabe
clan_chujou_1,中条,中条,{=TAIKOU_clan_chujou_1}Chujou,Chujou,hokuriku,0,-,-,-,-,-,-,-,-,lord_tk5_533,uesugi,-,-
clan_daihoji_1,大宝寺,大宝寺,{=TAIKOU_clan_daihoji_1}Daihoji,Daihoji,ou,0,lord_tk5_813,daihoji,lord_tk5_813,daihoji,lord_tk5_435,daihoji,lord_tk5_435,daihoji,lord_tk5_435,daihoji,-,-
clan_date_1,伊达,伊达,{=TAIKOU_clan_date_1}Date,Date,ou,0,lord_tk5_465,date,lord_tk5_465,date,-,-,-,-,-,-,-,-
clan_date_2,伊达,伊达,{=TAIKOU_clan_date_2}Date,Date,ou,0,lord_tk5_464,date,lord_tk5_464,date,lord_tk5_464,date,lord_tk5_464,date,lord_tk5_464,date,lord_tk5_466,date
clan_date_3,伊达,伊达,{=TAIKOU_clan_date_3}Date,Date,ou,0,lord_tk5_461,date,lord_tk5_461,date,lord_tk5_461,date,lord_tk5_461,date,lord_tk5_461,date,-,-
clan_deura_1,出浦,出浦,{=TAIKOU_clan_deura_1}Deura,Deura,neutral_culture,0,lord_tk5_94,org_ninja_togakushi,lord_tk5_94,org_ninja_togakushi,lord_tk5_94,org_ninja_togakushi,lord_tk5_94,org_ninja_togakushi,lord_tk5_94,org_ninja_togakushi,lord_tk5_94,org_ninja_togakushi
clan_fukudome_1,福留,福留,{=TAIKOU_clan_fukudome_1}Fukudome,Fukudome,nankai,0,lord_tk5_616,chosokabe,lord_tk5_616,chosokabe,lord_tk5_616,chosokabe,lord_tk5_616,chosokabe,-,-,-,-
clan_fukushima_1,福岛,福岛,{=TAIKOU_clan_fukushima_1}Fukushima,Fukushima,saikai,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_615,fukushima
clan_fuuma_1,风魔,风魔,{=TAIKOU_clan_fuuma_1}Fuuma,Fuuma,neutral_culture,0,lord_tk5_613,org_ninja_fuuma,lord_tk5_613,org_ninja_fuuma,lord_tk5_613,org_ninja_fuuma,lord_tk5_613,org_ninja_fuuma,lord_tk5_613,org_ninja_fuuma,-,-
clan_gamou_1,蒲生,蒲生,{=TAIKOU_clan_gamou_1}Gamou,Gamou,kinai,0,lord_tk5_240,rokkaku,lord_tk5_240,rokkaku,lord_tk5_240,oda,lord_tk5_240,oda,lord_tk5_240,oda,lord_tk5_244,gamou
clan_gamou_2,蒲生,蒲生,{=TAIKOU_clan_gamou_2}Gamou,Gamou,kinai,0,lord_tk5_242,rokkaku,lord_tk5_242,rokkaku,lord_tk5_242,oda,lord_tk5_242,oda,-,-,-,-
clan_gamou_3,蒲生,蒲生,{=TAIKOU_clan_gamou_3}Gamou,Gamou,kinai,0,lord_tk5_241,rokkaku,-,-,-,-,-,-,lord_tk5_241,oda,-,-
clan_ganshoji_1,愿证寺,愿证寺,{=TAIKOU_clan_ganshoji_1}Ganshoji,Ganshoji,tokai,0,-,-,-,-,lord_tk5_249,honganji,-,-,-,-,-,-
clan_ganshojii_1,梶原,梶原,{=TAIKOU_clan_ganshojii_1}Ganshojii,Ganshojii,neutral_culture,0,lord_tk5_221,org_pirate_sagamisuigun,lord_tk5_221,org_pirate_sagamisuigun,lord_tk5_221,org_pirate_sagamisuigun,lord_tk5_221,org_pirate_sagamisuigun,lord_tk5_221,org_pirate_sagamisuigun,-,-
clan_gyo_1,长野,长野,{=TAIKOU_clan_gyo_1}Gyo,Gyo,kinai,0,lord_tk5_536,gyo,lord_tk5_536,gyo,-,-,-,-,-,-,-,-
clan_hachisuka_1,蜂须贺,蜂须贺,{=TAIKOU_clan_hachisuka_1}Hachisuka,Hachisuka,sanyo,0,-,-,-,-,lord_tk5_585,oda,-,-,-,-,lord_tk5_584,hachisuka
clan_hairedin_1,海雷丁,海雷丁,{=TAIKOU_clan_hairedin_1}Hairedin,Hairedin,neutral_culture,0,lord_tk5_1160,org_pirate_antousuigun,lord_tk5_1160,org_pirate_antousuigun,lord_tk5_1160,org_pirate_antousuigun,lord_tk5_1160,org_pirate_antousuigun,lord_tk5_1160,org_pirate_antousuigun,lord_tk5_1160,org_pirate_antousuigun
clan_hanafusa_1,花房,花房,{=TAIKOU_clan_hanafusa_1}Hanafusa,Hanafusa,sanyo,0,lord_tk5_590,uragami,lord_tk5_590,uragami,lord_tk5_590,uragami,-,-,-,-,-,-
clan_harimaya_1,播磨屋,播磨屋,{=TAIKOU_clan_harimaya_1}Harimaya,Harimaya,neutral_culture,0,-,-,-,-,-,-,-,-,lord_tk5_598,org_merchant_harimaya,lord_tk5_598,org_merchant_harimaya
clan_hatakeyama_1,畠山,畠山,{=TAIKOU_clan_hatakeyama_1}Hatakeyama,Hatakeyama,kinai,0,lord_tk5_578,hatakeyama,lord_tk5_578,hatakeyama,lord_tk5_578,oda,-,-,-,-,-,-
clan_hoitada_1,穗井田,穗井田,{=TAIKOU_clan_hoitada_1}Hoitada,Hoitada,sanyo,0,lord_tk5_622,mori,-,-,-,-,-,-,-,-,-,-
clan_hojo_1,北条,北条,{=TAIKOU_clan_hojo_1}Hojo,Hojo,kanto,0,lord_tk5_630,hojo,lord_tk5_630,hojo,lord_tk5_630,hojo,-,-,-,-,-,-
clan_hojo_2,北条,北条,{=TAIKOU_clan_hojo_2}Hojo,Hojo,kanto,0,lord_tk5_629,hojo,lord_tk5_629,hojo,lord_tk5_629,hojo,lord_tk5_629,hojo,lord_tk5_629,hojo,-,-
clan_hojo_3,北条,北条,{=TAIKOU_clan_hojo_3}Hojo,Hojo,kanto,0,lord_tk5_257,uesugi,lord_tk5_257,uesugi,lord_tk5_257,uesugi,lord_tk5_257,uesugi,-,-,-,-
clan_hojo_4,北条,北条,{=TAIKOU_clan_hojo_4}Hojo,Hojo,kanto,0,lord_tk5_624,hojo,-,-,lord_tk5_624,hojo,lord_tk5_624,hojo,lord_tk5_624,hojo,-,-
clan_hojo_5,北条,北条,{=TAIKOU_clan_hojo_5}Hojo,Hojo,kanto,0,lord_tk5_625,hojo,lord_tk5_625,hojo,lord_tk5_625,hojo,-,-,-,-,-,-
clan_hojo_6,北条,北条,{=TAIKOU_clan_hojo_6}Hojo,Hojo,kanto,0,lord_tk5_632,hojo,lord_tk5_632,hojo,lord_tk5_632,hojo,lord_tk5_632,hojo,lord_tk5_632,hojo,-,-
clan_honda_1,本多,本多,{=TAIKOU_clan_honda_1}Honda,Honda,tokai,0,lord_tk5_652,imagawa,lord_tk5_652,imagawa,lord_tk5_652,tokugawa,lord_tk5_652,tokugawa,lord_tk5_652,tokugawa,lord_tk5_652,tokugawa
clan_honda_2,本多,本多,{=TAIKOU_clan_honda_2}Honda,Honda,tokai,0,lord_tk5_656,imagawa,lord_tk5_656,imagawa,lord_tk5_656,tokugawa,lord_tk5_656,tokugawa,lord_tk5_656,tokugawa,-,-
clan_honganji_1,本愿寺,本愿寺,{=TAIKOU_clan_honganji_1}Honganji,Honganji,kinai,0,lord_tk5_647,honganji,lord_tk5_647,honganji,lord_tk5_647,honganji,lord_tk5_647,honganji,-,-,-,-
clan_hori_1,堀立,堀立,{=TAIKOU_clan_hori_1}Hori,Hori,neutral_culture,0,lord_tk5_588,org_merchant_shimonosekiya,lord_tk5_588,org_merchant_shimonosekiya,lord_tk5_588,org_merchant_shimonosekiya,-,-,-,-,-,-
clan_horii_1,堀,堀,{=TAIKOU_clan_horii_1}Horii,Horii,hokuriku,0,lord_tk5_644,saitoo,lord_tk5_644,oda,lord_tk5_644,oda,lord_tk5_644,oda,lord_tk5_644,oda,lord_tk5_643,horii
clan_horio_1,堀尾,堀尾,{=TAIKOU_clan_horio_1}Horio,Horio,kinai,0,-,-,-,-,lord_tk5_640,oda,lord_tk5_640,oda,lord_tk5_640,oda,lord_tk5_639,horio
clan_hosokawa_1,细川,细川,{=TAIKOU_clan_hosokawa_1}Hosokawa,Hosokawa,kinai,0,lord_tk5_638,ashikaga,lord_tk5_638,ashikaga,lord_tk5_638,ashikaga,lord_tk5_638,oda,lord_tk5_638,oda,lord_tk5_636,hosokawa
clan_ichijo_1,一条,一条,{=TAIKOU_clan_ichijo_1}Ichijo,Ichijo,nankai,0,lord_tk5_86,ichijo,lord_tk5_86,ichijo,lord_tk5_86,ichijo,-,-,-,-,-,-
clan_igasaki_1,伊贺,伊贺,{=TAIKOU_clan_igasaki_1}Igasaki,Igasaki,neutral_culture,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_63,org_ninja_iga
clan_ii_1,井伊,井伊,{=TAIKOU_clan_ii_1}Ii,Ii,tokai,0,-,-,-,-,-,-,lord_tk5_62,tokugawa,-,-,lord_tk5_62,tokugawa
clan_iii_1,奥平,奥平,{=TAIKOU_clan_iii_1}Iii,Iii,kanto,0,lord_tk5_183,imagawa,-,-,lord_tk5_183,tokugawa,lord_tk5_183,tokugawa,lord_tk5_183,tokugawa,-,-
clan_iio_1,饭尾,饭尾,{=TAIKOU_clan_iio_1}Iio,Iio,tosan,0,lord_tk5_60,imagawa,lord_tk5_60,imagawa,-,-,-,-,-,-,-,-
clan_ijuin_1,伊集院,伊集院,{=TAIKOU_clan_ijuin_1}Ijuin,Ijuin,saikai,0,lord_tk5_77,shimazu,lord_tk5_77,shimazu,-,-,-,-,-,-,-,-
clan_ike_1,池,池,{=TAIKOU_clan_ike_1}Ike,Ike,neutral_culture,0,lord_tk5_69,org_pirate_tosasuigun,lord_tk5_69,org_pirate_tosasuigun,lord_tk5_69,org_pirate_tosasuigun,lord_tk5_69,org_pirate_tosasuigun,lord_tk5_69,org_pirate_tosasuigun,-,-
clan_ikeda_1,池田,池田,{=TAIKOU_clan_ikeda_1}Ikeda,Ikeda,tosan,0,lord_tk5_66,oda,lord_tk5_66,oda,lord_tk5_66,oda,lord_tk5_66,oda,lord_tk5_66,oda,lord_tk5_67,ikeda
clan_ikeda_2,池田,池田,{=TAIKOU_clan_ikeda_2}Ikeda,Ikeda,kinai,0,-,-,lord_tk5_65,org_merchant_abumiya,lord_tk5_65,org_merchant_abumiya,lord_tk5_65,org_merchant_abumiya,lord_tk5_65,org_merchant_abumiya,lord_tk5_65,org_merchant_abumiya
clan_ikoma_1,生驹,生驹,{=TAIKOU_clan_ikoma_1}Ikoma,Ikoma,kinai,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_70,ikoma
clan_imagawa_1,今川,今川,{=TAIKOU_clan_imagawa_1}Imagawa,Imagawa,tokai,0,lord_tk5_110,imagawa,lord_tk5_110,imagawa,lord_tk5_109,imagawa,-,-,-,-,-,-
clan_imai_1,今井,今井,{=TAIKOU_clan_imai_1}Imai,Imai,neutral_culture,0,lord_tk5_107,org_merchant_naya,lord_tk5_107,org_merchant_naya,lord_tk5_107,org_merchant_naya,lord_tk5_107,org_merchant_naya,lord_tk5_107,org_merchant_naya,lord_tk5_108,org_merchant_naya
clan_inaba_1,稻叶,稻叶,{=TAIKOU_clan_inaba_1}Inaba,Inaba,tokai,0,lord_tk5_101,saitoo,lord_tk5_101,saitoo,lord_tk5_101,oda,lord_tk5_101,oda,lord_tk5_101,oda,-,-
clan_irobe_1,色部,色部,{=TAIKOU_clan_irobe_1}Irobe,Irobe,hokuriku,0,lord_tk5_112,uesugi,lord_tk5_112,uesugi,lord_tk5_112,uesugi,-,-,-,-,-,-
clan_ishida_1,石田,石田,{=TAIKOU_clan_ishida_1}Ishida,Ishida,kinai,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_75,toyotomi
clan_issiki_1,一色,一色,{=TAIKOU_clan_issiki_1}Issiki,Issiki,kinai,0,lord_tk5_93,issiki,lord_tk5_93,issiki,lord_tk5_93,issiki,lord_tk5_93,issiki,-,-,-,-
clan_itami_1,伊丹,伊丹,{=TAIKOU_clan_itami_1}Itami,Itami,neutral_culture,0,-,-,-,-,-,-,-,-,lord_tk5_83,org_pirate_surugasuigun,-,-
clan_ito_1,伊东,伊东,{=TAIKOU_clan_ito_1}Ito,Ito,saikai,0,lord_tk5_98,ito,lord_tk5_98,ito,lord_tk5_98,ito,lord_tk5_98,ito,-,-,lord_tk5_96,ito
clan_itoo_1,伊藤,伊藤,{=TAIKOU_clan_itoo_1}Itoo,Itoo,neutral_culture,0,lord_tk5_97,org_merchant_itouya,lord_tk5_97,org_merchant_itouya,lord_tk5_97,org_merchant_itouya,lord_tk5_97,org_merchant_itouya,lord_tk5_97,org_merchant_itouya,-,-
clan_jinbo_1,神保,神保,{=TAIKOU_clan_jinbo_1}Jinbo,Jinbo,hokuriku,0,lord_tk5_408,jinbo,lord_tk5_408,jinbo,lord_tk5_408,jinbo,lord_tk5_407,jinbo,-,-,-,-
clan_kakizaki_1,蛎崎,蛎崎,{=TAIKOU_clan_kakizaki_1}Kakizaki,Kakizaki,ou,0,lord_tk5_215,ando,lord_tk5_215,ando,lord_tk5_215,ando,lord_tk5_215,ando,lord_tk5_215,ando,lord_tk5_216,kakizaki
clan_kamei_1,龟井,龟井,{=TAIKOU_clan_kamei_1}Kamei,Kamei,sanyo,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_239,kamei
clan_kamiizumi_1,上泉,上泉,{=TAIKOU_clan_kamiizumi_1}Kamiizumi,Kamiizumi,kanto,0,lord_tk5_296,gyo,lord_tk5_296,gyo,-,-,-,-,-,-,-,-
clan_kamiya_1,神屋,神屋,{=TAIKOU_clan_kamiya_1}Kamiya,Kamiya,neutral_culture,0,lord_tk5_845,org_merchant_kamiya,lord_tk5_845,org_merchant_kamiya,lord_tk5_120,org_merchant_kamiya,lord_tk5_120,org_merchant_kamiya,lord_tk5_120,org_merchant_kamiya,lord_tk5_120,org_merchant_kamiya
clan_kanamori_1,金森,金森,{=TAIKOU_clan_kanamori_1}Kanamori,Kanamori,kinai,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_235,kanamori
clan_kanemitsu_1,金光,金光,{=TAIKOU_clan_kanemitsu_1}Kanemitsu,Kanemitsu,neutral_culture,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_930,org_pirate_tosasuigun
clan_kasai_1,葛西,葛西,{=TAIKOU_clan_kasai_1}Kasai,Kasai,ou,0,lord_tk5_219,kasai,lord_tk5_219,kasai,lord_tk5_219,kasai,lord_tk5_219,kasai,lord_tk5_219,kasai,-,-
clan_kashin_1,小滨,小滨,{=TAIKOU_clan_kashin_1}Kashin,Kashin,neutral_culture,0,lord_tk5_207,org_pirate_surugasuigun,lord_tk5_207,org_pirate_surugasuigun,lord_tk5_207,org_pirate_surugasuigun,lord_tk5_207,org_pirate_surugasuigun,lord_tk5_207,org_pirate_surugasuigun,lord_tk5_207,org_pirate_kougun
clan_katakura_1,片仓,片仓,{=TAIKOU_clan_katakura_1}Katakura,Katakura,ou,0,lord_tk5_225,date,lord_tk5_225,date,lord_tk5_225,date,lord_tk5_225,date,lord_tk5_225,date,lord_tk5_225,date
clan_katoo_1,加藤,加藤,{=TAIKOU_clan_katoo_1}Katoo,Katoo,tokai,0,lord_tk5_231,org_ninja_nokizaru,lord_tk5_231,org_ninja_nokizaru,lord_tk5_231,org_ninja_suppa,-,-,-,-,-,-
clan_katoo_2,加藤,加藤,{=TAIKOU_clan_katoo_2}Katoo,Katoo,ou,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_230,katoo
clan_katoo_3,加藤,加藤,{=TAIKOU_clan_katoo_3}Katoo,Katoo,neutral_culture,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_233,katoo
clan_kawano_1,河野,河野,{=TAIKOU_clan_kawano_1}Kawano,Kawano,sanyo,0,lord_tk5_301,kawano,lord_tk5_301,kawano,lord_tk5_301,kawano,lord_tk5_301,kawano,-,-,-,-
clan_kawano_2,河野,河野,{=TAIKOU_clan_kawano_2}Kawano,Kawano,sanyo,0,-,-,-,-,-,-,-,-,lord_tk5_300,kawano,-,-
clan_kii_1,城井,城井,{=TAIKOU_clan_kii_1}Kii,Kii,saikai,0,lord_tk5_252,otomo,lord_tk5_252,otomo,lord_tk5_252,otomo,lord_tk5_252,otomo,lord_tk5_252,kii,-,-
clan_kikkawa_1,吉川,吉川,{=TAIKOU_clan_kikkawa_1}Kikkawa,Kikkawa,sanyo,0,lord_tk5_265,mori,lord_tk5_265,mori,lord_tk5_265,mori,lord_tk5_265,mori,lord_tk5_265,mori,lord_tk5_263,kikkawa
clan_kiku_1,波多野,波多野,{=TAIKOU_clan_kiku_1}Kiku,Kiku,kinai,0,lord_tk5_581,kiku,lord_tk5_583,kiku,lord_tk5_583,kiku,lord_tk5_583,kiku,-,-,-,-
clan_kimotsuki_1,肝付,肝付,{=TAIKOU_clan_kimotsuki_1}Kimotsuki,Kimotsuki,saikai,0,lord_tk5_268,kimotsuki,lord_tk5_268,kimotsuki,lord_tk5_270,kimotsuki,-,-,-,-,-,-
clan_kinoshita_1,丰臣,丰臣,{=TAIKOU_clan_kinoshita_1}Kinoshita,Kinoshita,kinai,0,-,-,lord_tk5_517,oda,lord_tk5_517,oda,lord_tk5_517,oda,lord_tk5_517,oda,lord_tk5_518,toyotomi
clan_kira_1,吉良,吉良,{=TAIKOU_clan_kira_1}Kira,Kira,nankai,0,lord_tk5_274,chosokabe,lord_tk5_274,chosokabe,lord_tk5_274,chosokabe,lord_tk5_274,chosokabe,-,-,-,-
clan_kirigakure_1,佐甲,佐甲,{=TAIKOU_clan_kirigakure_1}Kirigakure,Kirigakure,neutral_culture,0,-,-,-,-,-,-,lord_tk5_226,org_merchant_shimonosekiya,lord_tk5_226,org_merchant_shimonosekiya,lord_tk5_226,org_merchant_shimonosekiya
clan_kiso_1,木曾,木曾,{=TAIKOU_clan_kiso_1}Kiso,Kiso,tosan,0,lord_tk5_255,kiso,lord_tk5_255,takeda,lord_tk5_255,takeda,lord_tk5_254,takeda,-,-,-,-
clan_kitabatake_1,北畠,北畠,{=TAIKOU_clan_kitabatake_1}Kitabatake,Kitabatake,kinai,0,lord_tk5_261,kitabatake,lord_tk5_306,kitabatake,lord_tk5_306,kitabatake,-,-,-,-,-,-
clan_kitabatake_2,北畠,北畠,{=TAIKOU_clan_kitabatake_2}Kitabatake,Kitabatake,kinai,0,lord_tk5_259,kitabatake,lord_tk5_259,kitabatake,lord_tk5_259,kitabatake,-,-,-,-,-,-
clan_kobayakawa_1,小早川,小早川,{=TAIKOU_clan_kobayakawa_1}Kobayakawa,Kobayakawa,sanyo,0,lord_tk5_314,mori,lord_tk5_314,mori,lord_tk5_314,mori,lord_tk5_314,mori,lord_tk5_314,mori,lord_tk5_316,kobayakawa
clan_kobayakawa_2,小早川,小早川,{=TAIKOU_clan_kobayakawa_2}Kobayakawa,Kobayakawa,sanyo,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_315,kobayakawa
clan_kodera_1,小寺,小寺,{=TAIKOU_clan_kodera_1}Kodera,Kodera,kinai,0,lord_tk5_197,akamatsu,lord_tk5_197,akamatsu,lord_tk5_197,akamatsu,lord_tk5_197,akamatsu,-,-,-,-
clan_konishi_1,小西,小西,{=TAIKOU_clan_konishi_1}Konishi,Konishi,kinai,0,lord_tk5_313,org_merchant_konishiya,lord_tk5_313,org_merchant_konishiya,lord_tk5_313,org_merchant_konishiya,lord_tk5_313,org_merchant_konishiya,-,-,lord_tk5_312,konishi
clan_konoike_1,鸿池,鸿池,{=TAIKOU_clan_konoike_1}Konoike,Konoike,sanyo,0,-,-,-,-,-,-,-,-,-,-,lord_tk5_604,org_merchant_kounoikeya
clan_koobe_1,神户,神户,{=TAIKOU_clan_koobe_1}Koobe,Koobe,kinai,0,-,-,lord_tk5_250,kitabatake,-,-,-,-,-,-,-,-
clan_koosaka_1,高坂,高坂,{=TAIKOU_clan_koosaka_1}Koosaka,Koosaka,tosan,0,lord_tk5_297,org_ninja_suppa,lord_tk5_297,org_ninja_suppa,-,-,lord_tk5_297,org_ninja_suppa,lord_tk5_297,org_ninja_suppa,-,-
clan_koteida_1,笼手田,笼手田,{=TAIKOU_clan_koteida_1}Koteida,Koteida,saikai,0,lord_tk5_308,matsuura,lord_tk5_308,matsuura,lord_tk5_308,matsuura,lord_tk5_308,matsuura,lord_tk5_308,matsuura,-,-
clan_kuki_1,九鬼,九鬼,{=TAIKOU_clan_kuki_1}Kuki,Kuki,kinai,0,lord_tk5_279,org_pirate_kumanosuigun,lord_tk5_279,org_pirate_kumanosuigun,lord_tk5_279,org_pirate_kumanosuigun,lord_tk5_279,org_pirate_kumanosuigun,lord_tk5_279,org_pirate_kumanosuigun,lord_tk5_279,org_pirate_kumanosuigun
