StringId	LocalizationId	EnglishName	ChineseName	Faction	Culture
lord_1_uchigashima_6	VkHrE7QN	Uchigashima Ujinori	内岛 氏规	Faction.clan_uchigashima_1	Culture.tosan
lord_1_uchigashima_7	8Njl5F1v	Uchigashima Ujifusa	内岛 氏房	Faction.clan_uchigashima_1	Culture.tosan
lord_1_uchigashima_8	XOj9DW3l	Uchigashima Ujichika	内岛 氏亲	Faction.clan_uchigashima_1	Culture.tosan
lord_1_uchigashima_9	iDawiizs	Uchigashima Sue	阿末	Faction.clan_uchigashima_1	Culture.tosan
lord_1_shimotsuma	nO8nbFeD	Shimotsuma Rairen	下间 赖廉	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_1	YJnCp2Ng	Shimotsuma Tensho-in	天璋院	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_2	ELQ0jKOQ	Shimotsuma Rairyo	下间 赖亮	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_3	L6k0BihZ	Shimotsuma  Munekiyo	下间 宗清	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_4	6EDf32QW	Shimotsuma Rengoyoku-ni	莲护尼	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_5	JkG837Se	Shimotsuma Saiko-ni	西光尼	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_6	dTVh9niZ	Shimotsuma Raisho	下间 赖照	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_7	uWUgquZb	Shimotsuma Keian-in	庆安院	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_8	ttOsDrht	Shimotsuma Nakataka	下间 仲孝	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_9	v3KNHiGz	Shimotsuma Raitan	下间 赖旦	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_10	vJhGvDMI	Shimotsuma Koutoku-in	高德院	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shimotsuma_11	xnKhOXA6	Shimotsuma Rairyu	下间 赖龙	Faction.clan_shimotsuma_1	Culture.hokuriku
lord_1_shichiri	Eh5FcIr3	Shichiri Yorichika	七里 赖周	Faction.clan_shichiri_1	Culture.hokuriku
lord_1_shichiri_1	HBQgU0KK	Shichiri Renmyo-in	莲妙院	Faction.clan_shichiri_1	Culture.hokuriku
lord_1_shichiri_2	YxadjwHu	Shichiri Shoko-ni	诸光尼	Faction.clan_shichiri_1	Culture.hokuriku
lord_1_shichiri_3	EDp1Ip1P	Shichiri Tenshin-ni	天心尼	Faction.clan_shichiri_1	Culture.hokuriku
lord_1_notohatakeyama	zzPufQWW	Noto-Hatakeyama Yoshinori	畠山 义则	Faction.clan_notohatakeyama_1	Culture.hokuriku
lord_1_notohatakeyama_1	Uq5GEfN0	Noto-Hatakeyama Keiko	惠子	Faction.clan_notohatakeyama_1	Culture.hokuriku
dead_lord_1_notohatakeyama_2	uWclrYkK	Noto-Hatakeyama Yoshitsuna	畠山 义纲	Faction.clan_notohatakeyama_1	Culture.hokuriku
dead_lord_1_notohatakeyama_3	L7cUrjNA	Noto-Hatakeyama Keisei-in	惠圣院	Faction.clan_notohatakeyama_1	Culture.hokuriku
lord_1_notohatakeyama_4	MzeRfL4G	Noto-Hatakeyama Yoshitaka	畠山 义隆	Faction.clan_notohatakeyama_1	Culture.hokuriku
lord_1_cho	Ykm1ZcKt	Cho Tsugutsura	长 续连	Faction.clan_cho_1	Culture.hokuriku
lord_1_cho_1	54P6AoCQ	Cho Kine	阿甲	Faction.clan_cho_1	Culture.hokuriku
lord_1_cho_2	BH4qApyf	Cho Tsunatsura	长 纲连	Faction.clan_cho_1	Culture.hokuriku
lord_1_cho_3	mxxEQmKL	Cho Chiho	千本	Faction.clan_cho_1	Culture.hokuriku
lord_1_cho_4	Pd02cWIP	Cho Turatatsu	长 连龙	Faction.clan_cho_1	Culture.hokuriku
lord_1_yusa	6UGnlTvg	Yusa Tsugumitsu	游佐 续光	Faction.clan_yusa_1	Culture.hokuriku
lord_1_yusa_1	mtpjGuCC	Yusa Sue	阿末	Faction.clan_yusa_1	Culture.hokuriku
lord_1_yusa_2	JoEyAqpB	Yusa Morimitsu	游佐 盛光	Faction.clan_yusa_1	Culture.hokuriku
lord_1_nukui	zfaBVnTz	Nukui Kagetaka	温井 景隆	Faction.clan_nukui_1	Culture.hokuriku
lord_1_nukui_1	PkUrZWtb	Nukui Kane	阿金	Faction.clan_nukui_1	Culture.hokuriku
dead_lord_1_nukui_2	9LHg8tSs	Nukui Tsugumune	温井 续宗	Faction.clan_nukui_1	Culture.hokuriku
dead_lord_1_nukui_3	PySBB1Zv	Nukui En	阿圆	Faction.clan_nukui_1	Culture.hokuriku
lord_1_nukui_4	1zGy3GLa	Nukui Nagamori	温井 长盛	Faction.clan_nukui_1	Culture.hokuriku
lord_1_nukui_5	uNnrQHZs	Nukui Mitsu	阿光	Faction.clan_nukui_1	Culture.hokuriku
lord_1_maeda	8ZM8IWIL	Maeda Toshiie	前田 利家	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_1	X37Mxlbd	Maeda Matsu	阿松	Faction.clan_maeda_1	Culture.tosan
dead_lord_1_maeda_2	XY7oOzvJ	Maeda Toshiharu	前田 利春	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_3	16wGsj58	Maeda Chorei-in	长龄院	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_4	gUfblyxg	Maeda Toshinaga	前田 利长	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_5	HNxdD6bx	Maeda Kou	阿江	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_6	KkMduqEv	Maeda Shizu	阿静	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_7	37zNtHHt	Maeda Toshihisa	前田 利久	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_8	pm7cjBgT	Maeda Tomi	阿富	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_9	DCmCs5kM	Maeda Toshimasu	前田 利益	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_10	qPinCtuZ	Maeda Yasukatsu	前田 安胜	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_11	o6NRDplP	Maeda Aki	阿秋	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_12	6cjX925Z	Maeda Toshiyoshi	前田 利好	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_13	pVCYrGIa	Maeda Hidetsugu	前田 秀继	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_14	JJRp7jcS	Maeda Kai	甲斐	Faction.clan_maeda_1	Culture.tosan
lord_1_maeda_15	EAijrwwg	Maeda Toshihide	前田 利秀	Faction.clan_maeda_1	Culture.tosan
lord_1_akechi	FOuyGkLb	Akechi Mitsuhide	明智 光秀	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_1	WM3E1lhn	Akechi Hiroko	弘子	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_2	YMwxPbeL	Akechi Mitsuyoshi	明智 光庆	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_3	ADvtqTtw	Akechi Ei	阿英	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_4	nvlUciWt	Akechi Mitsutada	明智 光忠	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_5	lQFaxxIJ	Akechi Toku	阿德	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_6	CkNry5Sa	Akechi Hidemitsu	明智 秀满	Faction.clan_akechi_1	Culture.tosan
lord_1_akechi_7	1R17d0b8	Akechi Tama	明智 玉	Faction.clan_akechi_1	Culture.tosan
lord_1_niwa	SKcB9YGC	Niwa Nagahide	丹羽 长秀	Faction.clan_niwa_1	Culture.tosan
lord_1_niwa_1	L05jsNrJ	Niwa Fuse	阿伏	Faction.clan_niwa_1	Culture.tosan
lord_1_niwa_2	3qxBLbew	Niwa Masa	真砂	Faction.clan_niwa_1	Culture.tosan
lord_1_niwa_3	XLXbashl	Niwa Take	阿竹	Faction.clan_niwa_1	Culture.tosan
lord_1_ikeda	duYGUbdI	Ikeda Tsuneoki	池田 恒兴	Faction.clan_ikeda_1	Culture.tosan
lord_1_ikeda_1	Ry3yD8SW	Ikeda Zen'o-in	善应院	Faction.clan_ikeda_1	Culture.tosan
dead_lord_1_ikeda_2	7PtkKC5L	Ikeda Tsunetoshi	池田 恒利	Faction.clan_ikeda_1	Culture.tosan
lord_1_ikeda_3	a8fhiErH	Ikeda Youtoku-in	养德院	Faction.clan_ikeda_1	Culture.tosan
lord_1_ikeda_4	mZrml2Ov	Ikeda Motosuke	池田 元助	Faction.clan_ikeda_1	Culture.tosan
lord_1_ikeda_5	VylcfU2r	Ikeda Terumasa	池田 辉政	Faction.clan_ikeda_1	Culture.tosan
lord_1_ikeda_6	qiIMdezD	Ikeda Sen	千	Faction.clan_ikeda_1	Culture.tosan
lord_1_tokugawa	lhX5bcSW	Tokugawa Ieyasu	德川 家康	Faction.clan_tokugawa_1	Culture.tokai
lord_1_tokugawa_1	0VxHt8iA	Tokugawa Tsukiyama	筑山殿	Faction.clan_tokugawa_1	Culture.tokai
lord_1_tokugawa_2	KPL2cW75	Tokugawa Nobuyasu	德川 信康	Faction.clan_tokugawa_1	Culture.tokai
lord_1_tokugawa_3	zHBbLO7U	Tokugawa Kame	龟姬	Faction.clan_tokugawa_1	Culture.tokai
lord_1_tokugawa_4	T7whzugC	Tokugawa Toku	督姬	Faction.clan_tokugawa_1	Culture.tokai
lord_1_honda	ttXuqvjP	Honda Tadakatsu	本多 忠胜	Faction.clan_honda_1	Culture.tokai
lord_1_honda_1	wTE64EJ5	Honda Hisa	阿久	Faction.clan_honda_1	Culture.tokai
lord_1_honda_2	pzKWxRoL	Honda Shigetsugu	本多 重次	Faction.clan_honda_1	Culture.tokai
lord_1_honda_3	BDFqD8yc	Honda Sane	阿实	Faction.clan_honda_1	Culture.tokai
lord_1_honda_4	9DY2gzT7	Honda Toshimasa	本多 俊正	Faction.clan_honda_1	Culture.tokai
lord_1_honda_5	OfpHBzpT	Honda Chie	千枝	Faction.clan_honda_1	Culture.tokai
lord_1_honda_6	oGp9i8O6	Honda Masanobu	本多 正信	Faction.clan_honda_1	Culture.tokai
lord_1_honda_7	NIaOPKNj	Honda Shii	阿椎	Faction.clan_honda_1	Culture.tokai
lord_1_honda_8	dID6ayTM	Honda Masazumi	本多 正纯	Faction.clan_honda_1	Culture.tokai
lord_1_honda_9	9gdMPNbq	Honda Masashige	本多 正重	Faction.clan_honda_1	Culture.tokai
lord_1_honda_10	7TBN1cQm	Honda Tsune	阿常	Faction.clan_honda_1	Culture.tokai
lord_1_sakakibara	A8v1L7R2	Sakakibara Yasumasa	榊原 康政	Faction.clan_sakakibara_1	Culture.tokai
dead_lord_1_sakakibara_1	vXdi14Dt	Sakakibara Nagamasa	榊原 长政	Faction.clan_sakakibara_1	Culture.tokai
dead_lord_1_sakakibara_2	RuAChgqW	Sakakibara Yuzu	柚子	Faction.clan_sakakibara_1	Culture.tokai
lord_1_sakakibara_3	46c1t4F9	Sakakibara Kiyomasa	榊原 清政	Faction.clan_sakakibara_1	Culture.tokai
lord_1_sakai	GgnkEyTV	Sakai Tadatsugu	酒井 忠次	Faction.clan_sakai_1	Culture.tokai
lord_1_sakai_1	rrFghyqq	Sakai Usui	碓井姫	Faction.clan_sakai_1	Culture.tokai
lord_1_sakai_2	A626l0Gm	Sakai Ietsugu	酒井 家次	Faction.clan_sakai_1	Culture.tokai
lord_1_sakai_3	60W9WGjN	Sakai Fuu	阿枫	Faction.clan_sakai_1	Culture.tokai
lord_1_ii	PsuvJwcR	Ii Naotora	井伊 直虎	Faction.clan_ii_1	Culture.tokai
dead_lord_1_ii_1	eeY8Wqqk	Ii Naochika	井伊 直亲	Faction.clan_ii_1	Culture.tokai
lord_1_ii_2	xF9RihZf	Ii Hiyo	日余	Faction.clan_ii_1	Culture.tokai
lord_1_ii_3	usy9v6yR	Ii Naomasa	井伊 直政	Faction.clan_ii_1	Culture.tokai
lord_1_ii_4	hznl27AL	Ii Takase	高濑姬	Faction.clan_ii_1	Culture.tokai
lord_1_okubo	4RHGzzz5	Okubo Tadakazu	大久保 忠员	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_1	tIwfNdAU	Okubo Kaede	阿枫	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_2	bp0JE7lD	Okubo Tadayo	大久保 忠世	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_3	p9CqbJC5	Okubo Koto	阿琴	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_4	e0sW01xt	Okubo Tadachika	大久保 忠邻	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_5	ulF9F7Xm	Okubo Tadanari	大久保 忠成	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_6	CAxVPHIx	Okubo Tadasuke	大久保 忠佐	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_7	0Kytj7yK	Okubo Amane	阿周	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_8	2nmhylAz	Okubo Tadatame	大久保 忠为	Faction.clan_okubo_1	Culture.tokai
lord_1_okubo_9	HrxOrz25	Okubo Tadataka	大久保 忠教	Faction.clan_okubo_1	Culture.tokai
lord_1_hattori	3fFAXVUS	Hattori Masanari	服部 正成	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_1	Q3mn8U0b	Hattori Naga	阿永	Faction.clan_hattori_1	Culture.tokai
dead_lord_1_hattori_2	fdPNZSo0	Hattori Yasunaga	服部 保长	Faction.clan_hattori_1	Culture.tokai
dead_lord_1_hattori_3	9eEzhPnB	Hattori Kiku	阿菊	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_4	3fFAXVUS	Hattori Masanari	服部 正成	Faction.clan_hattori_1	Culture.tokai
dead_lord_1_hattori_5	So0Nn6DM	Hattori Yasutoshi	服部 保俊	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_6	cYVbPLNq	Hattori Tsuru	阿鹤	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_7	mdI2AIhF	Hattori Yasuhide	服部 保英	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_8	6S59Qnpu	Hattori Yasumasa	服部 保正	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_9	vSW8NxqF	Hattori Haru	阿春	Faction.clan_hattori_1	Culture.tokai
lord_1_hattori_10	ksrFELDK	Hattori Yasunari	服部 康成	Faction.clan_hattori_1	Culture.tokai
lord_1_uesugi	qNbyhQaj	Uesugi Kenshin	上杉 谦信	Faction.clan_uesugi_1	Culture.hokuriku
dead_lord_1_uesugi_1	MLZq7awV	Uesugi Tamekage	长尾 为景	Faction.clan_uesugi_1	Culture.hokuriku
lord_1_uesugi_2	QwRXJCmI	Uesugi Seigan-in	青岩院	Faction.clan_uesugi_1	Culture.hokuriku
lord_1_uesugi_3	8Iv9ecNC	Uesugi Aya	绫御前	Faction.clan_uesugi_1	Culture.hokuriku
dead_lord_1_uesugi_4	axhJs6IX	Uesugi Masakage	长尾 政景	Faction.clan_uesugi_1	Culture.hokuriku
lord_1_uesugi_5	RWQCCx4o	Uesugi Kagekatsu	上杉 景胜	Faction.clan_uesugi_1	Culture.hokuriku
lord_1_uesugi_6	shVCPmCc	Uesugi Madoka	阿圆	Faction.clan_uesugi_1	Culture.hokuriku
lord_1_irobe	Cg9EoY4r	Irobe Katsunaga	色部 胜长	Faction.clan_irobe_1	Culture.hokuriku
lord_1_irobe_1	6z9bSHa7	Irobe Azuki	小豆	Faction.clan_irobe_1	Culture.hokuriku
lord_1_irobe_2	luKhUhXh	Irobe Akinaga	色部 显长	Faction.clan_irobe_1	Culture.hokuriku
lord_1_irobe_3	bSqEzLcJ	Irobe Nagazane	色部 长实	Faction.clan_irobe_1	Culture.hokuriku
lord_1_kakizaki	XgIyv7bL	Kakizaki Kageie	柿崎 景家	Faction.clan_kakizaki_1	Culture.hokuriku
lord_1_kakizaki_1	wOt7PGWW	Kakizaki Kiku	安房	Faction.clan_kakizaki_1	Culture.hokuriku
lord_1_kakizaki_2	RNZWsztn	Kakizaki Haruie	柿崎 晴家	Faction.clan_kakizaki_1	Culture.hokuriku
lord_1_kakizaki_3	UX8SD6t0	Kakizaki Matsu	小舞	Faction.clan_kakizaki_1	Culture.hokuriku
lord_1_naoe	CQuYOgRo	Naoe Kagetsuna	直江 景纲	Faction.clan_naoe_1	Culture.hokuriku
lord_1_naoe_1	9zniFw6a	Naoe Ran	阿兰	Faction.clan_naoe_1	Culture.hokuriku
lord_1_naoe_2	aizCBXYO	Naoe Sen	阿千	Faction.clan_naoe_1	Culture.hokuriku
lord_2_shibata	4yJ1D3Lk	Shibata Nagaatsu	新发田 长敦	Faction.clan_shibata_2	Culture.hokuriku
lord_2_shibata_1	N5nPQ9iT	Shibata Saki	阿咲	Faction.clan_shibata_2	Culture.hokuriku
dead_lord_2_shibata_2	jCqzvM9s	Shibata Tsunasada	新发田 纲贞	Faction.clan_shibata_2	Culture.hokuriku
dead_lord_2_shibata_3	r6hPxS8L	Shibata Tensho-in	天璋院	Faction.clan_shibata_2	Culture.hokuriku
lord_2_shibata_4	Vnl5lCcr	Shibata Shigeie	新发田 重家	Faction.clan_shibata_2	Culture.hokuriku
lord_2_shibata_5	msDDZ9zQ	Shibata Kotake	小竹	Faction.clan_shibata_2	Culture.hokuriku
lord_1_jinbo	lTQNNnd4	Jinbo Nagamoto	神保 长职	Faction.clan_jinbo_1	Culture.hokuriku
lord_1_jinbo_1	hVSyu2fz	Jinbo Asahi	阿旭	Faction.clan_jinbo_1	Culture.hokuriku
lord_1_jinbo_2	TbOZeUsx	Jinbo Nagazumi	神保 长住	Faction.clan_jinbo_1	Culture.hokuriku
lord_1_jinbo_3	6HJv9QVb	Jinbo Naka	阿仲	Faction.clan_jinbo_1	Culture.hokuriku
lord_1_jinbo_4	rctAbfBY	Jinbo Nagakuni	神保 长城	Faction.clan_jinbo_1	Culture.hokuriku
lord_1_jinbo_5	Bs8eZQFC	Jinbo Sayo	小夜	Faction.clan_jinbo_1	Culture.hokuriku
lord_2_murakami	W5wJGTC8	Murakami Yoshikiyo	村上 义清	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_1	MESMSv9a	Murakami Fune	阿船	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_2	yGFHfoKI	Murakami Yoshikatsu	村上 义胜	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_3	TCUOLBRT	Murakami Sada	佐多	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_4	5O1LWXJp	Murakami Yoshiteru	村上 义照	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_5	RuCWEn4I	Murakami Kyo	阿京	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_6	6qygzS4a	Murakami Yoshikuni	村上 义邦	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_7	kQx9hdpB	Murakami Tai	碓井	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_8	H9SHda0i	Murakami Kunikiyo	村上 国清	Faction.clan_murakami_2	Culture.hokuriku
lord_2_murakami_9	subHFWkG	Murakami Kazu	阿一	Faction.clan_murakami_2	Culture.hokuriku
lord_1_honma	qmR0GKfJ	Honma Sadakane	本间 贞兼	Faction.clan_honma_1	Culture.hokuriku
lord_1_honma_1	DM691On9	Honma Tsuta	阿茑	Faction.clan_honma_1	Culture.hokuriku
lord_1_honma_2	fMcQDpxT	Honma Takatsuna	本间 高统	Faction.clan_honma_1	Culture.hokuriku
lord_1_honma_3	fy68erIy	Honma Tomo	阿友	Faction.clan_honma_1	Culture.hokuriku
lord_1_honma_4	wr8Xrdq3	Honma Muneyuki	本间 宗幸	Faction.clan_honma_1	Culture.hokuriku
lord_1_honma_5	jKoS0rtx	Honma Takaou	本间 高应	Faction.clan_honma_1	Culture.hokuriku
lord_1_honjo	Yb8Jirco	Honjo Sigenaga	本庄 繁长	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_1	NDluCjrj	Honjo Momiji	红叶	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_2	Ng1qk1bc	Honjo Akinaga	本庄 显长	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_3	9107Gylz	Honjo Saneyori	本庄 实乃	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_4	7U80DoRY	Honjo Sagami	相模	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_5	5LpGgkPs	Honjo Hidetsuna	本庄 秀纲	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_6	1oAT3tap	Honjo Ise	伊势	Faction.clan_honjo_1	Culture.hokuriku
lord_1_honjo_7	3MdGZMX4	Honjo Kageyori	本庄 景赖	Faction.clan_honjo_1	Culture.hokuriku
lord_1_takeda	CmHdCNgW	Takeda Shingen	武田 信玄	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_1	4i6fDyD8	Takeda Sanjo-no-kata	三条 之方	Faction.clan_takeda_1	Culture.tosan
dead_lord_1_takeda_2	0W8I3WDW	Takeda Nobutora	武田 信虎	Faction.clan_takeda_1	Culture.tosan
dead_lord_1_takeda_3	ypwKxiQu	Takeda Oi	小井	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_4	86eH8vEV	Takeda Katsuyori	武田 胜赖	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_5	v3Z4a3yT	Takeda Nobukiyo	武田 信清	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_6	DaR7ks4O	Takeda Mari	麻里	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_7	oDOj9SD6	Takeda Kiku	菊姬	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_8	xpuvPs14	Takeda Matsu	松姬	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_9	y03WXHuV	Takeda Nobukado	武田 信廉	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_10	XTtGyQDW	Takeda Oboro	阿胧	Faction.clan_takeda_1	Culture.tosan
lord_1_takeda_11	08ToFFXf	Takeda Nobuzumi	武田 信澄	Faction.clan_takeda_1	Culture.tosan
