settlement_id,name,zh,type,culture,complex,alley(小巷),arena(竞技场),center(中心),duel_location_id(决斗场),house_1(民居1),house_2(民居2),house_3(民居3),lordshall(领主大厅),port_location_id(港口),prison(地牢),retirement_retreat(退休地),tavern(酒馆),village_center(村庄中心)
village_CHUB6_2,Azumi,朝坂,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
village_CHUB6_3,Suwa,诹访,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
town_CHUB7,Kofu,甲府城,town,Culture.tosan,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_b,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB7_1,Iwama,岩间,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHUB7_2,Uwato,上户,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB7_3,Enzan,盐山,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
town_CHUB8,Sunpu,骏府城,town,Culture.tokai,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_c,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB8_1,Kogawa-minato,小河湊,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB8_2,Kunoujii,久能寺,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
village_CHUB8_3,Shimizu,清水,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
town_CHUB9,Hamamatsu,滨松城,town,Culture.tokai,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB9_1,Kakezuka,挂塚,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB9_2,Asaba,浅羽,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHUB9_3,Hamanoura,浜野浦,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
town_CHUB10,Okazaki,冈崎城,town,Culture.tokai,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_b,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB10_1,Utsumi,内海,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHUB10_2,Ohama,小浜,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
village_CHUB10_3,Kariya,刈谷,village,Culture.tokai,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
town_CHUB11,Kiyosu,清须城,town,Culture.tosan,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_a,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB11_1,Tsushima,津岛,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB11_2,Nagono,那古野,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
village_CHUB11_3,Atsuta,热田,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
town_CHUB12,Sakurabora,樱洞城,town,Culture.tosan,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_c,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB12_1,Gero,下吕,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHUB12_2,Maze,马濑,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
village_CHUB12_3,Hagiwara,萩原,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
town_CHUB13,Gifu,岐阜城,town,Culture.tosan,LocationComplexTemplate.town_complex,,sho_arena_b,sho_town_b,,empire_house_d_interior_house,empire_house_d_interior_house,empire_house_d_interior_house,sho_keep_scene,,sho_prison_b,,sho_tavern_a,
village_CHUB13_1,Kani,可儿,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
village_CHUB13_2,Kakamigahara,各务原,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
village_CHUB13_3,Inuyama,犬山,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB1,Tezutsuyama Castle,天筒山城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_b,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB1_1,Tsuruga,敦贺,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHUB1_2,Obama,小浜,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB2,Etsufu Castle,越府城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_c,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB2_1,Konoura,金浦,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHUB2_2,Etsufu,越府,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_b
castle_CHUB3,Mizoe Castle,沟江城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_d,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB3_1,Mikuniminato,三国湊,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHUB3_2,Kanazu,金津,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_CHUB4,Daishoji Castle,大圣寺城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_d,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB4_1,Yoshizaki,吉崎,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHUB4_2,Miyukizuka,御幸塚,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_CHUB5,Masuyama Castle,增山城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_c,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB5_1,Hojozu,放生津,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHUB5_2,Uozu,鱼津,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_CHUB6,Anamizu Castle,穴水城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_d,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB6_1,Nakai,中居,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHUB6_2,Wajima,轮岛,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB7,Nechi Castle,根知城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_i,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB7_1,Oumi,近江,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHUB7_2,Nou,能生,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB8,Saruge Castle,猿毛城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_c,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB8_1,Kakizaki,柿崎,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHUB8_2,Kasiwazaki,柏崎,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB9,Yoita Castle,与板城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_b,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB9_1,Izumosaki,出云崎,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHUB9_2,Teradomari,寺泊,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB10,Shishiga Castle,狮子城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_k,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB10_1,Sawane,泽根,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHUB10_2,Matsugasaki,松崎,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
castle_CHUB11,Hirabayashi Castle,平林城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_d,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB11_1,Hirabayashi,平林,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_village_CHUB11_2,Iwafune,岩舟,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_a
castle_CHUB12,Honjyo Castle,本庄城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_c,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB12_1,Murakami,村上,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHUB12_2,Sarusawa,猿泽,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
castle_CHUB13,Tochio Castle,栃尾城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_i,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB13_1,Zaodo,藏王堂,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
castle_village_CHUB13_2,Sanjo,三条,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
castle_CHUB14,Sakato Castle,坂户城,castle,Culture.hokuriku,LocationComplexTemplate.castle_complex,,,sho_castle_map_h,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB14_1,Iiyama,饭山,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_village_CHUB14_2,Yuzawa,汤泽,village,Culture.hokuriku,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
castle_CHUB15,Kaizu Castle,海津城,castle,Culture.tosan,LocationComplexTemplate.castle_complex,,,sho_castle_map_j,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB15_1,Imoi,芋生,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_c
castle_village_CHUB15_2,Higano,冰铯,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_h
castle_CHUB16,Ueda Castle,上田城,castle,Culture.tosan,LocationComplexTemplate.castle_complex,,,sho_castle_map_i,,,,,sho_keep_scene,,sho_prison_b,,,
castle_village_CHUB16_1,Sakaki,坂木,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_e
castle_village_CHUB16_2,Yamaga,山家,village,Culture.tosan,LocationComplexTemplate.village_complex,,,,,,,,,,,,,sho_village_d
