mesh,bone,weight_sum,pct
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_109,6.4150,0.97
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_110,6.3805,0.97
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_132,6.2780,0.95
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_143,6.2569,0.95
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_137,6.2373,0.95
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_116,6.2320,0.95
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_142,6.1789,0.94
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_111,6.1651,0.94
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_115,6.1362,0.93
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_114,6.0316,0.92
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_146,5.9094,0.90
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_92,5.8533,0.89
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_147,5.8516,0.89
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_117,5.6511,0.86
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_131,5.6269,0.85
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_93,5.6149,0.85
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_112,5.5063,0.84
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_145,5.4096,0.82
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_144,5.3361,0.81
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_91,5.2639,0.80
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_113,5.2636,0.80
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_96,5.2517,0.80
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_122,5.2361,0.79
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_130,5.1970,0.79
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_128,5.1612,0.78
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_95,5.1173,0.78
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_129,5.0836,0.77
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_123,5.0588,0.77
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_40,5.0558,0.77
gambesonlong03_waist002_FINAL,vcloth_joint_gambesonlong03_waist_geo_119,5.0440,0.77
gambesonlong03_waist_mat_mtl_material001,Spine1,51.9178,7.16
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_147,42.4075,5.85
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_167,39.7988,5.49
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_123,29.9174,4.13
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_166,26.2798,3.62
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_124,24.0924,3.32
gambesonlong03_waist_mat_mtl_material001,Spine2,17.3691,2.40
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_148,16.5986,2.29
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_146,12.2911,1.70
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_41,11.3138,1.56
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_27,11.2890,1.56
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_4,10.9636,1.51
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_108,10.9098,1.50
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_22,9.6650,1.33
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_71,9.1632,1.26
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_74,6.3483,0.88
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_73,6.1371,0.85
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_25,6.0386,0.83
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_75,5.9730,0.82
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_58,5.9423,0.82
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_107,5.9038,0.81
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_99,5.8156,0.80
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_17,5.3179,0.73
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_90,5.2905,0.73
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_100,4.9950,0.69
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_106,4.9772,0.69
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_98,4.8460,0.67
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_18,4.6463,0.64
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_82,4.6282,0.64
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_24,4.5961,0.63
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_48,4.5507,0.63
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_76,4.4804,0.62
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_47,4.2728,0.59
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_72,4.1782,0.58
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_9,4.1635,0.57
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_43,4.1358,0.57
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_89,4.0530,0.56
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_81,3.9360,0.54
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_84,3.7924,0.52
gambesonlong03_waist_mat_mtl_material001,vcloth_joint_gambesonlong03_waist_geo_83,3.6686,0.51
gauntlets05,RightHand,199.6317,6.21
gauntlets05,LeftHand,198.5759,6.18
gauntlets05,LeftForeArmRoll2,197.1185,6.14
gauntlets05,RightForeArmRoll2,194.2877,6.05
gauntlets05,LeftHandThumb3,127.5326,3.97
gauntlets05,RightHandThumb3,112.5300,3.50
gauntlets05,RightHandMiddle1,110.7407,3.45
gauntlets05,LeftHandMiddle1,96.8113,3.01
gauntlets05,RightHandIndex1,88.6699,2.76
gauntlets05,RightHandRing1,87.2155,2.71
gauntlets05,RightHandPinky1,82.5861,2.57
gauntlets05,LeftHandMiddle3,82.2518,2.56
gauntlets05,LeftHandPinky3,81.3283,2.53
gauntlets05,LeftHandIndex1,80.5088,2.51
gauntlets05,LeftHandThumb1,77.8639,2.42
gauntlets05,LeftHandIndex3,76.0122,2.37
gauntlets05,RightHandPinky3,75.4884,2.35
gauntlets05,LeftHandPinky1,75.1893,2.34
gauntlets05,LeftHandRing3,75.1427,2.34
gauntlets05,LeftHandRing1,74.8518,2.33
gauntlets05,RightHandThumb1,72.4367,2.25
gauntlets05,RightHandIndex2,71.3376,2.22
gauntlets05,RightHandMiddle3,70.9240,2.21
gauntlets05,LeftInHandPinky,68.8337,2.14
gauntlets05,RightHandRing3,68.2434,2.12
gauntlets05,RightHandIndex3,67.7709,2.11
gauntlets05,RightInHandPinky,67.4032,2.10
gauntlets05,RightHandRing2,63.0869,1.96
gauntlets05,RightHandPinky2,57.3684,1.79
gauntlets05,LeftHandIndex2,50.7373,1.58
gauntlets05,LeftHandRing2,50.6087,1.58
gauntlets05,RightHandMiddle2,44.8173,1.39
gauntlets05,LeftHandPinky2,44.7718,1.39
gauntlets05,LeftHandThumb2,42.3042,1.32
gauntlets05,RightHandThumb2,40.0638,1.25
gauntlets05,LeftHandMiddle2,36.1182,1.12
gauntlets05,LeftInHandRing,29.7790,0.93
gauntlets05,RightInHandRing,25.6407,0.80
gauntlets05,RightForeArm,23.7570,0.74
gauntlets05,LeftForeArm,22.6598,0.71
hood06,Spine4,656.0934,52.28
hood06,hood06_liripipe_01,144.6305,11.52
hood06,Neck,126.3836,10.07
hood06,RightShoulder,96.7302,7.71
hood06,LeftShoulder,76.4497,6.09
hood06,Neck1,70.7816,5.64
hood06,RightArmRoll,42.4709,3.38
hood06,LeftArmRoll,31.3403,2.50
hood06,Spine3,5.4225,0.43
hood06,RightArmRoll1,2.6684,0.21
hood06,LeftArmRoll1,1.8017,0.14
hood06,LeftArm,0.1502,0.01
hood06,RightArm,0.0770,0.01
legsplate03,RightFoot,449.9621,11.92
legsplate03,LeftFoot,443.8203,11.76
legsplate03,LeftLeg,365.7068,9.69
legsplate03,RightLeg,355.9705,9.43
legsplate03,Hips,328.8738,8.71
legsplate03,RightLegRoll,315.3274,8.35
legsplate03,LeftLegRoll,312.9681,8.29
legsplate03,LeftUpLegRoll,245.7861,6.51
legsplate03,RightUpLegRoll,242.1799,6.42
legsplate03,RightUpLeg,230.4959,6.11
legsplate03,LeftUpLeg,223.2264,5.91
legsplate03,legsplate03_KneePlate_l,57.8358,1.53
legsplate03,legsplate03_KneePlate_r,45.8755,1.22
legsplate03,LeftToeBase,44.4840,1.18
legsplate03,RightToeBase,43.4215,1.15
legsplate03,Spine2,38.6370,1.02
legsplate03,Spine,29.4719,0.78
legsplate03,Spine1,0.9571,0.03
m_hair_henry_Cap,Head,416.3573,87.84
m_hair_henry_Cap,Neck1,36.3971,7.68
m_hair_henry_Cap,Neck,21.1943,4.47
m_hair_henry_Cap,Spine4,0.0513,0.01
m_hair_henry_Cards,Head,8984.4415,99.93
m_hair_henry_Cards,Neck1,4.6820,0.05
m_hair_henry_Cards,Neck,1.8765,0.02
m_head_henry,Head,2389.6557,28.71
m_head_henry,Neck,391.6119,4.71
m_head_henry,Spine4,337.0767,4.05
m_head_henry,Neck1,159.1013,1.91
m_head_henry,mhenry_SSDR_L_joint_71,72.3762,0.87
m_head_henry,mhenry_SSDR_C_joint_2,58.9244,0.71
m_head_henry,mhenry_SSDR_L_joint_65,58.8985,0.71
m_head_henry,mhenry_SSDR_L_joint_87,56.1454,0.67
m_head_henry,mhenry_SSDR_R_joint_68,54.6837,0.66
m_head_henry,mhenry_SSDR_R_joint_70,53.8918,0.65
m_head_henry,mhenry_SSDR_L_joint_69,53.6512,0.64
m_head_henry,mhenry_SSDR_R_joint_69,51.7068,0.62
m_head_henry,mhenry_SSDR_L_joint_59,49.6937,0.60
m_head_henry,mhenry_SSDR_R_joint_73,48.6767,0.58
m_head_henry,mhenry_SSDR_R_joint_59,48.5071,0.58
m_head_henry,mhenry_SSDR_R_joint_90,46.9100,0.56
m_head_henry,mhenry_SSDR_C_joint_3,46.8131,0.56
m_head_henry,mhenry_SSDR_L_joint_104,46.0122,0.55
m_head_henry,mhenry_SSDR_R_joint_104,42.8300,0.51
m_head_henry,mhenry_SSDR_R_joint_57,42.6227,0.51
m_head_henry,mhenry_SSDR_R_joint_83,41.7802,0.50
m_head_henry,mhenry_SSDR_L_joint_12,40.5968,0.49
m_head_henry,mhenry_SSDR_R_joint_62,40.3282,0.48
m_head_henry,mhenry_SSDR_L_joint_57,39.6006,0.48
m_head_henry,mhenry_SSDR_L_joint_58,38.7682,0.47
m_head_henry,mhenry_SSDR_L_joint_62,38.5484,0.46
m_head_henry,mhenry_SSDR_R_joint_12,37.9952,0.46
m_head_henry,mhenry_SSDR_L_joint_7,37.1183,0.45
m_head_henry,mhenry_SSDR_L_joint_67,36.5834,0.44
m_head_henry,mhenry_SSDR_R_joint_67,36.4545,0.44
m_head_henry,mhenry_SSDR_L_joint_105,36.0215,0.43
m_head_henry,LeftShoulder,35.3926,0.43
m_head_henry,RightShoulder,35.3175,0.42
m_head_henry,mhenry_SSDR_R_joint_76,34.6205,0.42
m_head_henry,mhenry_SSDR_R_joint_106,33.7220,0.41
m_head_henry,mhenry_SSDR_L_joint_19,33.6214,0.40
m_head_henry,mhenry_SSDR_R_joint_32,33.6091,0.40
m_head_henry,mhenry_SSDR_R_joint_55,32.9625,0.40
m_head_henry,mhenry_SSDR_L_joint_16,32.3144,0.39
m_head_henry,mhenry_SSDR_L_joint_66,32.0570,0.39
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_76,132.5784,14.54
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_76,123.1525,13.50
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_70,85.5236,9.38
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_71,70.9985,7.78
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_72,69.8917,7.66
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_75,66.9926,7.35
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_77,34.0010,3.73
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_67,32.6607,3.58
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_67,31.5696,3.46
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_66,30.8642,3.38
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_66,27.7200,3.04
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_69,25.4875,2.79
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_65,21.5316,2.36
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_74,20.0494,2.20
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_77,19.0841,2.09
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_72,18.4594,2.02
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_69,16.7141,1.83
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_73,15.3934,1.69
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_68,13.6289,1.49
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_70,10.7750,1.18
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_78,6.5937,0.72
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_62,6.1097,0.67
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_61,5.4870,0.60
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_74,5.3945,0.59
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_64,3.9388,0.43
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_62,3.1271,0.34
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_68,2.2287,0.24
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_73,2.1355,0.23
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_75,1.9949,0.22
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_23,1.7476,0.19
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_79,1.1854,0.13
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_60,1.1839,0.13
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_64,1.1022,0.12
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_78,1.0109,0.11
m_head_henry_Eyelashes,mhenry_SSDR_R_joint_61,0.9087,0.10
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_79,0.4940,0.05
m_head_henry_Eyelashes,mhenry_SSDR_L_joint_65,0.2810,0.03
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_76,18.0811,9.72
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_70,14.8952,8.01
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_67,14.2677,7.67
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_67,13.7211,7.38
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_71,13.0764,7.03
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_72,12.2893,6.61
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_66,12.0637,6.49
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_69,11.8148,6.35
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_66,11.6188,6.25
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_69,11.3909,6.12
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_65,10.6514,5.73
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_76,10.0526,5.40
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_68,7.8735,4.23
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_72,6.3128,3.39
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_73,5.0926,2.74
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_75,3.6042,1.94
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_70,3.2206,1.73
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_74,1.3008,0.70
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_68,1.2614,0.68
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_61,1.1456,0.62
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_74,0.6607,0.36
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_73,0.5217,0.28
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_77,0.3520,0.19
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_65,0.2965,0.16
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_78,0.1973,0.11
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_77,0.0908,0.05
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_79,0.0632,0.03
m_head_henry_Eyeshadows,mhenry_SSDR_L_joint_60,0.0435,0.02
m_head_henry_Eyeshadows,mhenry_SSDR_R_joint_62,0.0397,0.02
m_head_henry_Tearline,mhenry_SSDR_R_joint_76,20.8473,7.93
m_head_henry_Tearline,mhenry_SSDR_R_joint_69,20.8320,7.92
m_head_henry_Tearline,mhenry_SSDR_L_joint_69,20.0470,7.62
m_head_henry_Tearline,mhenry_SSDR_L_joint_72,20.0281,7.62
m_head_henry_Tearline,mhenry_SSDR_L_joint_67,18.9401,7.20
m_head_henry_Tearline,mhenry_SSDR_L_joint_70,17.4320,6.63
m_head_henry_Tearline,mhenry_SSDR_R_joint_67,17.4067,6.62
m_head_henry_Tearline,mhenry_SSDR_R_joint_71,16.6487,6.33
m_head_henry_Tearline,mhenry_SSDR_L_joint_66,14.3687,5.46
m_head_henry_Tearline,mhenry_SSDR_L_joint_68,13.6800,5.20
m_head_henry_Tearline,mhenry_SSDR_R_joint_66,13.2545,5.04
m_head_henry_Tearline,mhenry_SSDR_R_joint_65,12.3607,4.70
m_head_henry_Tearline,mhenry_SSDR_L_joint_76,10.7799,4.10
m_head_henry_Tearline,mhenry_SSDR_R_joint_72,9.0701,3.45
m_head_henry_Tearline,mhenry_SSDR_R_joint_70,8.4488,3.21
m_head_henry_Tearline,mhenry_SSDR_L_joint_73,7.0615,2.68
m_head_henry_Tearline,mhenry_SSDR_R_joint_68,5.5441,2.11
m_head_henry_Tearline,mhenry_SSDR_R_joint_75,4.4544,1.69
m_head_henry_Tearline,mhenry_SSDR_L_joint_74,2.6132,0.99
m_head_henry_Tearline,mhenry_SSDR_R_joint_73,1.9794,0.75
m_head_henry_Tearline,mhenry_SSDR_R_joint_74,1.6352,0.62
m_head_henry_Tearline,mhenry_SSDR_L_joint_61,1.6169,0.61
m_head_henry_Tearline,mhenry_SSDR_L_joint_71,1.4284,0.54
m_head_henry_Tearline,mhenry_SSDR_L_joint_65,1.3879,0.53
m_head_henry_Tearline,mhenry_SSDR_L_joint_78,0.4858,0.18
m_head_henry_Tearline,mhenry_SSDR_R_joint_77,0.4151,0.16
m_head_henry_Tearline,mhenry_SSDR_L_joint_77,0.0907,0.03
m_head_henry_Tearline,mhenry_SSDR_R_joint_79,0.0632,0.02
m_head_henry_Tearline,mhenry_SSDR_R_joint_62,0.0397,0.02
m_head_henry_Tearline,mhenry_SSDR_L_joint_60,0.0397,0.02
m_head_henry_Teeth,Head,669.6266,50.12
m_head_henry_Teeth,mhenry_jaw,524.8273,39.28
m_head_henry_Teeth,mhenry_tongue_04,56.0568,4.20
m_head_henry_Teeth,mhenry_tongue_01,55.0500,4.12
m_head_henry_Teeth,mhenry_tongue_03,28.2173,2.11
m_head_henry_Teeth,mhenry_tongue_02,2.2219,0.17
male_body,Spine4,464.3662,5.02
male_body,RightFoot,451.4839,4.88
male_body,LeftFoot,451.4839,4.88
male_body,Hips,379.0732,4.10
male_body,Spine2,306.0438,3.31
male_body,RightToeBase,278.8898,3.02
male_body,LeftToeBase,278.8898,3.02
male_body,LeftArmRoll,222.9423,2.41
male_body,RightArmRoll,222.9423,2.41
male_body,RightHand,214.2041,2.32
male_body,LeftHand,214.2041,2.32
male_body,Spine3,211.3624,2.29
male_body,LeftUpLegRoll,195.9045,2.12
male_body,RightUpLegRoll,195.9005,2.12
male_body,RightHandThumb3,169.9828,1.84
male_body,LeftHandThumb3,169.9828,1.84
male_body,RightLegRoll,168.6202,1.82
male_body,LeftLegRoll,168.6202,1.82
male_body,RightLeg,149.5721,1.62
male_body,LeftLeg,149.5721,1.62
male_body,RightForeArmRoll2,141.0258,1.53
male_body,LeftForeArmRoll2,141.0258,1.53
male_body,LeftShoulder,135.0394,1.46
male_body,RightShoulder,134.8651,1.46
male_body,RightForeArm,127.7900,1.38
male_body,LeftForeArm,127.7900,1.38
male_body,RightHandIndex3,118.9741,1.29
male_body,LeftHandIndex3,118.9741,1.29
male_body,RightUpLeg,118.6926,1.28
male_body,LeftUpLeg,118.4241,1.28
male_body,RightArm,112.0435,1.21
male_body,LeftArm,112.0435,1.21
male_body,RightHandMiddle3,109.1915,1.18
male_body,LeftHandMiddle3,109.1915,1.18
male_body,RightArmRoll1,107.3462,1.16
male_body,LeftArmRoll1,107.3462,1.16
male_body,RightForeArmRoll1,101.6070,1.10
male_body,LeftForeArmRoll1,101.6070,1.10
male_body,RightHandRing1,95.6670,1.04
male_body,LeftHandRing1,95.6670,1.04
scabbard_longswordcapon,LeftWeaponSheath,1094.5617,49.82
scabbard_longswordcapon,Hips,394.1269,17.94
scabbard_longswordcapon,Spine1,296.3809,13.49
scabbard_longswordcapon,Spine,294.3321,13.40
scabbard_longswordcapon,scabbard_longswordcapon_mainbelt_02,117.3964,5.34
scabbard_longswordcapon,scabbard_longswordcapon_mainbelt_01,0.2020,0.01
