bone,parent,head_x,head_y,head_z,tail_x,tail_y,tail_z,length,local_x,local_y,local_z
mhenry_SSDR_R_joint_53,FacialRoot,-0.043627,-0.113588,1.641067,-0.043627,-0.239360,1.641067,0.125772,-4.362732,164.106720,11.358809
mhenry_SSDR_R_joint_52,FacialRoot,-0.053229,-0.106172,1.648633,-0.053229,-0.231944,1.648633,0.125772,-5.322892,164.863312,10.617212
mhenry_SSDR_C_joint_8,FacialRoot,-0.000102,-0.130225,1.603472,-0.000103,-0.255997,1.603472,0.125772,-0.010250,160.347214,13.022496
mhenry_SSDR_C_joint_9,FacialRoot,-0.000049,-0.132502,1.595825,-0.000049,-0.258274,1.595825,0.125772,-0.004902,159.582550,13.250187
mhenry_SSDR_C_joint_0,FacialRoot,0.000992,-0.129723,1.706833,0.000992,-0.255495,1.706833,0.125772,0.099162,170.683319,12.972278
mhenry_SSDR_C_joint_1,FacialRoot,0.000888,-0.135334,1.683403,0.000888,-0.261106,1.683403,0.125772,0.088765,168.340347,13.533420
mhenry_SSDR_C_joint_2,FacialRoot,0.000626,-0.135959,1.673025,0.000626,-0.261732,1.673025,0.125772,0.062644,167.302505,13.595922
mhenry_SSDR_C_joint_3,FacialRoot,0.000465,-0.155557,1.637711,0.000465,-0.281329,1.637711,0.125772,0.046496,163.771133,15.555683
mhenry_SSDR_C_joint_4,FacialRoot,-0.000267,-0.136397,1.627223,-0.000267,-0.262170,1.627223,0.125772,-0.026723,162.722321,13.639721
mhenry_SSDR_C_joint_5,FacialRoot,-0.000431,-0.134504,1.618857,-0.000431,-0.260276,1.618857,0.125772,-0.043103,161.885742,13.450401
mhenry_SSDR_C_joint_6,FacialRoot,-0.000306,-0.134525,1.610160,-0.000306,-0.260297,1.610160,0.125772,-0.030574,161.016037,13.452475
mhenry_SSDR_C_joint_7,FacialRoot,-0.000012,-0.130925,1.602285,-0.000012,-0.256698,1.602284,0.125772,-0.001222,160.228485,13.092538
mhenry_SSDR_L_joint_79,FacialRoot,0.012917,-0.121170,1.672707,0.012916,-0.246943,1.672706,0.125772,1.291652,167.270691,12.117060
mhenry_SSDR_L_joint_78,FacialRoot,0.050068,-0.104534,1.664403,0.050068,-0.230307,1.664402,0.125772,5.006773,166.440277,10.453421
mhenry_SSDR_L_joint_75,FacialRoot,0.029992,-0.117472,1.677543,0.029992,-0.243244,1.677542,0.125772,2.999227,167.754288,11.747166
mhenry_SSDR_L_joint_74,FacialRoot,0.021436,-0.117310,1.674248,0.021436,-0.243082,1.674248,0.125772,2.143563,167.424820,11.731015
mhenry_SSDR_L_joint_77,FacialRoot,0.048342,-0.112318,1.672342,0.048342,-0.238091,1.672341,0.125772,4.834208,167.234161,11.231862
mhenry_SSDR_L_joint_76,FacialRoot,0.039069,-0.118952,1.674418,0.039069,-0.244725,1.674417,0.125772,3.906875,167.441788,11.895236
mhenry_SSDR_L_joint_71,FacialRoot,0.030496,-0.118910,1.674850,0.030495,-0.244682,1.674849,0.125772,3.049552,167.484955,11.890972
mhenry_SSDR_L_joint_70,FacialRoot,0.024429,-0.116411,1.671942,0.024429,-0.242184,1.671941,0.125772,2.442945,167.194153,11.641160
mhenry_SSDR_L_joint_73,FacialRoot,0.047367,-0.109003,1.666451,0.047367,-0.234776,1.666451,0.125772,4.736710,166.645126,10.900331
mhenry_SSDR_L_joint_72,FacialRoot,0.046417,-0.113269,1.670088,0.046417,-0.239042,1.670088,0.125772,4.641722,167.008804,11.326952
mhenry_SSDR_R_joint_48,FacialRoot,-0.039864,-0.115928,1.629534,-0.039864,-0.241700,1.629533,0.125772,-3.986356,162.953384,11.592817
mhenry_SSDR_R_joint_49,FacialRoot,-0.028971,-0.121580,1.634288,-0.028971,-0.247353,1.634287,0.125772,-2.897111,163.428787,12.158057
mhenry_SSDR_R_joint_42,FacialRoot,-0.005974,-0.134967,1.610174,-0.005974,-0.260739,1.610174,0.125772,-0.597375,161.017441,13.496684
mhenry_SSDR_R_joint_43,FacialRoot,-0.034909,-0.117129,1.602878,-0.034909,-0.242902,1.602878,0.125772,-3.490871,160.287827,11.712927
mhenry_SSDR_R_joint_40,FacialRoot,-0.016490,-0.129118,1.607139,-0.016490,-0.254890,1.607138,0.125772,-1.648953,160.713852,12.911807
mhenry_SSDR_R_joint_41,FacialRoot,-0.011450,-0.132284,1.609100,-0.011450,-0.258056,1.609099,0.125772,-1.144996,160.909988,13.228398
mhenry_SSDR_R_joint_46,FacialRoot,-0.066731,-0.084287,1.640326,-0.066731,-0.210059,1.640325,0.125772,-6.673120,164.032562,8.428664
mhenry_SSDR_R_joint_47,FacialRoot,-0.061245,-0.095024,1.656900,-0.061245,-0.220796,1.656900,0.125772,-6.124516,165.690018,9.502419
mhenry_SSDR_R_joint_44,FacialRoot,-0.029339,-0.119663,1.617265,-0.029339,-0.245435,1.617265,0.125772,-2.933873,161.726501,11.966278
mhenry_SSDR_R_joint_45,FacialRoot,-0.059406,-0.098804,1.634911,-0.059406,-0.224577,1.634910,0.125772,-5.940611,163.491058,9.880454
mhenry_SSDR_L_joint_100,FacialRoot,0.009831,-0.122551,1.604303,0.009831,-0.248323,1.604303,0.125772,0.983057,160.430298,12.255078
mhenry_SSDR_L_joint_102,FacialRoot,0.016536,-0.117641,1.600095,0.016536,-0.243414,1.600095,0.125772,1.653598,160.009537,11.764128
mhenry_SSDR_L_joint_103,FacialRoot,0.017452,-0.118047,1.603099,0.017452,-0.243819,1.603099,0.125772,1.745168,160.309906,11.804693
mhenry_SSDR_L_joint_104,FacialRoot,0.020702,-0.109952,1.606782,0.020702,-0.235724,1.606782,0.125772,2.070191,160.678253,10.995192
mhenry_SSDR_L_joint_105,FacialRoot,0.021771,-0.107618,1.600499,0.021771,-0.233391,1.600498,0.125772,2.177062,160.049866,10.761848
mhenry_SSDR_L_joint_106,FacialRoot,0.021570,-0.113111,1.600444,0.021570,-0.238883,1.600444,0.125772,2.157037,160.044449,11.311085
mhenry_SSDR_L_joint_68,FacialRoot,0.022842,-0.115262,1.666174,0.022842,-0.241034,1.666173,0.125772,2.284173,166.617401,11.526167
mhenry_SSDR_L_joint_69,FacialRoot,0.020000,-0.114154,1.667363,0.020000,-0.239927,1.667363,0.125772,1.999982,166.736343,11.415453
mhenry_SSDR_R_joint_27,FacialRoot,-0.010290,-0.127812,1.603103,-0.010290,-0.253584,1.603102,0.125772,-1.029007,160.310287,12.781184
mhenry_SSDR_L_joint_62,FacialRoot,0.029818,-0.117400,1.659029,0.029818,-0.243172,1.659028,0.125772,2.981763,165.902893,11.739996
mhenry_SSDR_L_joint_63,FacialRoot,0.040579,-0.113919,1.657040,0.040579,-0.239691,1.657040,0.125772,4.057930,165.704056,11.391920
mhenry_SSDR_L_joint_60,FacialRoot,0.013481,-0.120922,1.666182,0.013481,-0.246695,1.666182,0.125772,1.348063,166.618225,12.092242
mhenry_SSDR_L_joint_61,FacialRoot,0.021689,-0.117777,1.662077,0.021689,-0.243550,1.662076,0.125772,2.168889,166.207703,11.777730
mhenry_SSDR_L_joint_66,FacialRoot,0.040290,-0.115240,1.663326,0.040290,-0.241012,1.663325,0.125772,4.029037,166.332581,11.523994
mhenry_SSDR_L_joint_67,FacialRoot,0.030459,-0.118260,1.663441,0.030459,-0.244032,1.663440,0.125772,3.045928,166.344086,11.825983
mhenry_SSDR_L_joint_64,FacialRoot,0.048175,-0.106816,1.659842,0.048175,-0.232589,1.659841,0.125772,4.817454,165.984161,10.681652
mhenry_SSDR_L_joint_65,FacialRoot,0.045128,-0.111617,1.664678,0.045128,-0.237390,1.664678,0.125772,4.512761,166.467850,11.161728
mhenry_SSDR_C_joint_18,FacialRoot,-0.000257,-0.125538,1.604862,-0.000257,-0.251311,1.604862,0.125772,-0.025662,160.486237,12.553846
mhenry_SSDR_C_joint_19,FacialRoot,0.000467,-0.121001,1.590607,0.000467,-0.246774,1.590607,0.125772,0.046685,159.060730,12.100121
mhenry_SSDR_C_joint_12,FacialRoot,0.000246,-0.105559,1.553580,0.000246,-0.231331,1.553580,0.125772,0.024598,155.358047,10.555871
mhenry_SSDR_C_joint_13,FacialRoot,0.000153,-0.121420,1.556606,0.000153,-0.247193,1.556605,0.125772,0.015338,155.660568,12.142034
mhenry_SSDR_C_joint_10,FacialRoot,0.000142,-0.128673,1.587015,0.000142,-0.254446,1.587015,0.125772,0.014170,158.701523,12.867349
mhenry_SSDR_C_joint_11,FacialRoot,-0.000001,-0.129991,1.570218,-0.000001,-0.255763,1.570218,0.125772,-0.000054,157.021820,12.999071
mhenry_SSDR_C_joint_17,FacialRoot,0.000006,-0.123987,1.601275,0.000006,-0.249759,1.601274,0.125772,0.000604,160.127472,12.398688
mhenry_SSDR_C_joint_14,FacialRoot,-0.000661,-0.121928,1.623558,-0.000661,-0.247700,1.623558,0.125772,-0.066074,162.355804,12.192791
mhenry_SSDR_C_joint_15,FacialRoot,0.000144,-0.086978,1.548505,0.000144,-0.212750,1.548504,0.125772,0.014426,154.850464,8.697763
mhenry_SSDR_R_joint_39,FacialRoot,-0.021490,-0.123860,1.602913,-0.021490,-0.249632,1.602912,0.125772,-2.148986,160.291275,12.386019
mhenry_SSDR_R_joint_38,FacialRoot,-0.026447,-0.118989,1.599492,-0.026447,-0.244762,1.599491,0.125772,-2.644707,159.949158,11.898932
mhenry_SSDR_R_joint_37,FacialRoot,-0.009043,-0.132833,1.617314,-0.009043,-0.258605,1.617313,0.125772,-0.904339,161.731384,13.283273
mhenry_SSDR_R_joint_36,FacialRoot,-0.017140,-0.127422,1.614334,-0.017140,-0.253195,1.614334,0.125772,-1.713992,161.433441,12.742258
mhenry_SSDR_R_joint_35,FacialRoot,-0.024441,-0.123751,1.608224,-0.024441,-0.249523,1.608223,0.125772,-2.444058,160.822372,12.375069
mhenry_SSDR_R_joint_34,FacialRoot,-0.044437,-0.109976,1.613980,-0.044437,-0.235749,1.613979,0.125772,-4.443726,161.397964,10.997637
mhenry_SSDR_R_joint_33,FacialRoot,-0.043612,-0.106890,1.594982,-0.043612,-0.232663,1.594981,0.125772,-4.361183,159.498184,10.689036
mhenry_SSDR_R_joint_32,FacialRoot,-0.070180,-0.038186,1.627468,-0.070180,-0.163958,1.627467,0.125772,-7.017973,162.746750,3.818607
mhenry_SSDR_R_joint_31,FacialRoot,-0.056563,-0.093019,1.612647,-0.056563,-0.218792,1.612647,0.125772,-5.656311,161.264709,9.301956
mhenry_SSDR_R_joint_30,FacialRoot,-0.047619,-0.093071,1.580007,-0.047619,-0.218844,1.580006,0.125772,-4.761913,158.000671,9.307148
mhenry_SSDR_L_joint_97,FacialRoot,0.009131,-0.121710,1.600885,0.009131,-0.247482,1.600885,0.125772,0.913120,160.088547,12.170984
mhenry_SSDR_L_joint_92,FacialRoot,0.015471,-0.129775,1.706777,0.015471,-0.255547,1.706776,0.125772,1.547068,170.677673,12.977503
mhenry_SSDR_L_joint_94,FacialRoot,0.055262,-0.069567,1.585013,0.055262,-0.195339,1.585012,0.125772,5.526201,158.501297,6.956663
mhenry_SSDR_L_joint_93,FacialRoot,0.071752,-0.059840,1.648751,0.071752,-0.185612,1.648751,0.125772,7.175207,164.875137,5.983990
mhenry_SSDR_L_joint_91,FacialRoot,0.027639,-0.126095,1.705574,0.027639,-0.251867,1.705573,0.125772,2.763932,170.557388,12.609480
mhenry_SSDR_L_joint_90,FacialRoot,0.040203,-0.118588,1.702184,0.040203,-0.244360,1.702184,0.125772,4.020270,170.218430,11.858786
mhenry_SSDR_R_joint_59,FacialRoot,-0.007768,-0.137909,1.655932,-0.007768,-0.263682,1.655931,0.125772,-0.776759,165.593185,13.790934
mhenry_SSDR_R_joint_58,FacialRoot,-0.014535,-0.136921,1.631017,-0.014535,-0.262694,1.631017,0.125772,-1.453524,163.101730,13.692141
mhenry_SSDR_R_joint_97,FacialRoot,-0.009813,-0.121967,1.600080,-0.009813,-0.247739,1.600079,0.125772,-0.981282,160.007996,12.196717
mhenry_SSDR_L_joint_19,FacialRoot,0.019868,-0.111291,1.597321,0.019868,-0.237063,1.597321,0.125772,1.986814,159.732117,11.129106
mhenry_SSDR_L_joint_18,FacialRoot,0.036849,-0.068519,1.563463,0.036849,-0.194291,1.563463,0.125772,3.684891,156.346313,6.851887
mhenry_SSDR_L_joint_17,FacialRoot,0.017911,-0.101483,1.555923,0.017911,-0.227255,1.555923,0.125772,1.791081,155.592300,10.148271
mhenry_SSDR_L_joint_16,FacialRoot,0.017413,-0.081460,1.553457,0.017413,-0.207233,1.553456,0.125772,1.741326,155.345657,8.146055
mhenry_SSDR_L_joint_15,FacialRoot,0.025252,-0.115933,1.565698,0.025252,-0.241705,1.565697,0.125772,2.525156,156.569778,11.593307
mhenry_SSDR_L_joint_14,FacialRoot,0.013598,-0.121044,1.559175,0.013598,-0.246816,1.559175,0.125772,1.359787,155.917557,12.104401
mhenry_SSDR_L_joint_13,FacialRoot,0.020476,-0.121570,1.575103,0.020476,-0.247342,1.575103,0.125772,2.047622,157.510330,12.156973
mhenry_SSDR_L_joint_12,FacialRoot,0.010522,-0.128436,1.571847,0.010522,-0.254208,1.571846,0.125772,1.052190,157.184662,12.843595
mhenry_SSDR_L_joint_11,FacialRoot,0.036952,-0.107192,1.576030,0.036952,-0.232965,1.576030,0.125772,3.695212,157.603012,10.719238
mhenry_SSDR_L_joint_10,FacialRoot,0.027845,-0.117403,1.590208,0.027845,-0.243175,1.590208,0.125772,2.784490,159.020844,11.740314
mhenry_SSDR_R_joint_55,FacialRoot,-0.021430,-0.123583,1.649560,-0.021430,-0.249355,1.649559,0.125772,-2.143011,164.955978,12.358296
mhenry_SSDR_R_joint_28,FacialRoot,-0.005516,-0.129530,1.603249,-0.005516,-0.255302,1.603249,0.125772,-0.551623,160.324905,12.953000
mhenry_SSDR_R_joint_29,FacialRoot,-0.066112,-0.069585,1.612792,-0.066112,-0.195357,1.612791,0.125772,-6.611166,161.279175,6.958470
mhenry_SSDR_L_joint_9,FacialRoot,0.019167,-0.123704,1.587200,0.019167,-0.249476,1.587200,0.125772,1.916710,158.720001,12.370380
mhenry_SSDR_L_joint_8,FacialRoot,0.009214,-0.127641,1.586967,0.009214,-0.253413,1.586967,0.125772,0.921362,158.696732,12.764096
mhenry_SSDR_L_joint_7,FacialRoot,0.020966,-0.121814,1.598107,0.020966,-0.247586,1.598107,0.125772,2.096570,159.810699,12.181386
mhenry_SSDR_L_joint_6,FacialRoot,0.016525,-0.126836,1.596919,0.016525,-0.252608,1.596918,0.125772,1.652475,159.691879,12.683590
mhenry_SSDR_L_joint_5,FacialRoot,0.012390,-0.129968,1.596472,0.012390,-0.255740,1.596472,0.125772,1.239009,159.647247,12.996819
mhenry_SSDR_L_joint_4,FacialRoot,0.007065,-0.131896,1.596189,0.007065,-0.257668,1.596189,0.125772,0.706509,159.618912,13.189582
mhenry_SSDR_L_joint_3,FacialRoot,0.024776,-0.116457,1.599900,0.024776,-0.242230,1.599900,0.125772,2.477599,159.990051,11.645737
mhenry_SSDR_L_joint_1,FacialRoot,0.014858,-0.125533,1.601568,0.014858,-0.251305,1.601568,0.125772,1.485829,160.156845,12.553281
mhenry_SSDR_L_joint_0,FacialRoot,0.010911,-0.128292,1.602195,0.010911,-0.254065,1.602194,0.125772,1.091140,160.219498,12.829219
mhenry_SSDR_R_joint_102,FacialRoot,-0.017885,-0.118606,1.602088,-0.017885,-0.244378,1.602088,0.125772,-1.788487,160.208847,11.860589
mhenry_SSDR_R_joint_103,FacialRoot,-0.016876,-0.117725,1.598959,-0.016876,-0.243497,1.598959,0.125772,-1.687634,159.895935,11.772470
mhenry_SSDR_R_joint_100,FacialRoot,-0.010779,-0.122717,1.604182,-0.010779,-0.248490,1.604181,0.125772,-1.077910,160.418167,12.271749
mhenry_SSDR_R_joint_106,FacialRoot,-0.022096,-0.114284,1.598840,-0.022096,-0.240057,1.598840,0.125772,-2.209569,159.884003,11.428456
mhenry_SSDR_R_joint_104,FacialRoot,-0.022845,-0.109976,1.604033,-0.022845,-0.235749,1.604033,0.125772,-2.284545,160.403336,10.997637
mhenry_SSDR_R_joint_105,FacialRoot,-0.023253,-0.108564,1.598655,-0.023253,-0.234337,1.598655,0.125772,-2.325278,159.865524,10.856462
mhenry_SSDR_L_joint_84,FacialRoot,0.012284,-0.133481,1.681800,0.012284,-0.259253,1.681799,0.125772,1.228366,168.179993,13.348112
mhenry_SSDR_L_joint_85,FacialRoot,0.020200,-0.132996,1.685217,0.020200,-0.258768,1.685217,0.125772,2.020043,168.521759,13.299587
mhenry_SSDR_L_joint_86,FacialRoot,0.033237,-0.127673,1.685131,0.033237,-0.253445,1.685130,0.125772,3.323718,168.513077,12.767287
mhenry_SSDR_L_joint_87,FacialRoot,0.045069,-0.122305,1.682904,0.045069,-0.248077,1.682903,0.125772,4.506887,168.290390,12.230510
mhenry_SSDR_L_joint_80,FacialRoot,0.007645,-0.131526,1.670871,0.007645,-0.257298,1.670870,0.125772,0.764464,167.087097,13.152568
mhenry_SSDR_L_joint_81,FacialRoot,0.065152,-0.080281,1.670722,0.065152,-0.206054,1.670721,0.125772,6.515190,167.072159,8.028147
mhenry_SSDR_L_joint_82,FacialRoot,0.060029,-0.095259,1.667651,0.060029,-0.221031,1.667651,0.125772,6.002902,166.765137,9.525887
mhenry_SSDR_L_joint_83,FacialRoot,0.054838,-0.112598,1.678660,0.054838,-0.238370,1.678660,0.125772,5.483822,167.866043,11.259809
mhenry_SSDR_L_joint_88,FacialRoot,0.059487,-0.098072,1.685336,0.059487,-0.223844,1.685336,0.125772,5.948669,168.533646,9.807185
mhenry_SSDR_L_joint_89,FacialRoot,0.051702,-0.109708,1.696329,0.051702,-0.235480,1.696328,0.125772,5.170199,169.632889,10.970776
mhenry_SSDR_R_joint_91,FacialRoot,-0.025419,-0.126722,1.706352,-0.025419,-0.252495,1.706352,0.125772,-2.541887,170.635254,12.672253
mhenry_SSDR_R_joint_90,FacialRoot,-0.038641,-0.120360,1.703682,-0.038641,-0.246133,1.703682,0.125772,-3.864085,170.368210,12.036025
mhenry_SSDR_R_joint_93,FacialRoot,-0.071055,-0.059822,1.639468,-0.071056,-0.185595,1.639467,0.125772,-7.105549,163.946793,5.982251
mhenry_SSDR_R_joint_92,FacialRoot,-0.013341,-0.129826,1.706988,-0.013341,-0.255598,1.706987,0.125772,-1.334069,170.698792,12.982595
mhenry_SSDR_R_joint_94,FacialRoot,-0.057838,-0.070579,1.586177,-0.057838,-0.196351,1.586176,0.125772,-5.783784,158.617661,7.057879
mhenry_SSDR_R_joint_54,FacialRoot,-0.031471,-0.118874,1.644060,-0.031471,-0.244646,1.644060,0.125772,-3.147093,164.406052,11.887379
mhenry_SSDR_R_joint_19,FacialRoot,-0.019738,-0.112978,1.594965,-0.019738,-0.238750,1.594964,0.125772,-1.973787,159.496460,11.297803
mhenry_SSDR_R_joint_18,FacialRoot,-0.037770,-0.069203,1.563175,-0.037770,-0.194975,1.563175,0.125772,-3.776993,156.317505,6.920281
mhenry_SSDR_R_joint_11,FacialRoot,-0.037789,-0.107244,1.577404,-0.037789,-0.233017,1.577404,0.125772,-3.778920,157.740448,10.724434
mhenry_SSDR_R_joint_10,FacialRoot,-0.027855,-0.117990,1.589921,-0.027855,-0.243762,1.589921,0.125772,-2.785490,158.992111,11.798970
mhenry_SSDR_R_joint_13,FacialRoot,-0.020036,-0.120666,1.575100,-0.020036,-0.246439,1.575100,0.125772,-2.003570,157.510010,12.066620
mhenry_SSDR_R_joint_12,FacialRoot,-0.010380,-0.127829,1.571660,-0.010380,-0.253602,1.571660,0.125772,-1.038024,157.166000,12.782932
mhenry_SSDR_R_joint_15,FacialRoot,-0.025161,-0.114977,1.566044,-0.025161,-0.240749,1.566044,0.125772,-2.516115,156.604446,11.497692
mhenry_SSDR_R_joint_14,FacialRoot,-0.013362,-0.120333,1.559489,-0.013362,-0.246106,1.559488,0.125772,-1.336246,155.948868,12.033354
mhenry_SSDR_R_joint_17,FacialRoot,-0.017822,-0.101056,1.557106,-0.017822,-0.226828,1.557105,0.125772,-1.782195,155.710556,10.105581
mhenry_SSDR_R_joint_16,FacialRoot,-0.017178,-0.080682,1.553868,-0.017178,-0.206454,1.553867,0.125772,-1.717822,155.386780,8.068208
mhenry_SSDR_R_joint_88,FacialRoot,-0.058830,-0.100186,1.687541,-0.058830,-0.225958,1.687541,0.125772,-5.883007,168.754135,10.018573
mhenry_SSDR_R_joint_89,FacialRoot,-0.050536,-0.111970,1.698163,-0.050536,-0.237742,1.698162,0.125772,-5.053646,169.816284,11.196989
mhenry_SSDR_R_joint_86,FacialRoot,-0.030546,-0.129004,1.686459,-0.030546,-0.254776,1.686459,0.125772,-3.054587,168.645905,12.900373
mhenry_SSDR_R_joint_87,FacialRoot,-0.042926,-0.124752,1.685310,-0.042926,-0.250524,1.685309,0.125772,-4.292589,168.530975,12.475202
mhenry_SSDR_R_joint_84,FacialRoot,-0.010456,-0.133376,1.681810,-0.010456,-0.259148,1.681809,0.125772,-1.045640,168.180954,13.337585
mhenry_SSDR_R_joint_85,FacialRoot,-0.017868,-0.133468,1.684941,-0.017868,-0.259241,1.684940,0.125772,-1.786836,168.494095,13.346856
mhenry_SSDR_R_joint_82,FacialRoot,-0.058165,-0.099036,1.669471,-0.058165,-0.224809,1.669470,0.125772,-5.816490,166.947083,9.903622
mhenry_SSDR_R_joint_83,FacialRoot,-0.052922,-0.114891,1.681212,-0.052922,-0.240664,1.681211,0.125772,-5.292156,168.121170,11.489142
mhenry_SSDR_R_joint_80,FacialRoot,-0.006934,-0.132396,1.670955,-0.006934,-0.258168,1.670954,0.125772,-0.693427,167.095490,13.239610
mhenry_SSDR_R_joint_81,FacialRoot,-0.065010,-0.081979,1.673162,-0.065010,-0.207752,1.673162,0.125772,-6.500974,167.316223,8.197956
mhenry_SSDR_L_joint_39,FacialRoot,0.021388,-0.122975,1.604411,0.021388,-0.248748,1.604411,0.125772,2.138838,160.441147,12.297532
mhenry_SSDR_L_joint_38,FacialRoot,0.027609,-0.117213,1.600262,0.027609,-0.242985,1.600262,0.125772,2.760910,160.026215,11.721293
mhenry_SSDR_L_joint_31,FacialRoot,0.055102,-0.091794,1.610978,0.055102,-0.217567,1.610977,0.125772,5.510197,161.097763,9.179455
