city_idx,kana4,name_official,name_history,lord_pid,lord_name,force_id,force_name,soldiers,food,gold,train,morale
62,06783250,户石城,户石城,359,真田昌幸,35,武田家,13400,100000,26800,50,50
63,045a3250,海津城,海津城,359,真田昌幸,35,武田家,13400,100000,26800,50,50
64,046e3250,饭山城,饭山城,116,上杉景胜,39,上杉家,9800,60000,23600,50,50
65,048c3250,小诸城,小诸城,451,武田信丰,35,武田家,6000,60000,23600,50,50
66,0578283c,高远城,高远城,560,仁科盛信,35,武田家,5000,80000,25200,50,50
67,0478233c,木曾福岛城,木曾福岛城,254,木曾义昌,19,织田家,9800,60000,23600,50,50
68,04783250,饭田城,饭田城,447,武田胜赖,35,武田家,6000,60000,23600,50,50
69,07aa73b4,踯躅崎馆,踯躅崎馆|甲府城,447,武田胜赖,35,武田家,11600,80000,25200,50,50
70,05644b78,岩殿城,岩殿城,209,小山田信茂,35,武田家,9800,60000,23600,50,50
71,05643250,下山城,下山城,447,武田胜赖,35,武田家,8000,40000,22000,50,50
72,08d23c64,骏府城,骏府城,41,穴山梅雪,35,武田家,11600,80000,25200,50,50
73,0378283c,兴国寺城,兴国寺城,573,垪和氏续,44,北条家,9800,60000,23600,50,50
74,06b43250,滨松城,曳马城|滨松城,506,德川家康,25,德川家,13400,100000,26800,50,50
75,04823250,二股城,二股城|二俣城,137,鹈殿氏长,25,德川家,9800,60000,23600,50,50
76,04783250,高天神城,高天神城,506,德川家康,25,德川家,9800,60000,23600,50,50
77,06aa233c,冈崎城,冈崎城,506,德川家康,25,德川家,11600,80000,25200,50,50
78,046e0000,长篠城,长篠城,183,奥平信昌,25,德川家,9800,60000,23600,50,50
79,06a0283c,吉田城,吉田城,506,德川家康,25,德川家,9800,60000,23600,50,50
80,06b43250,清洲城,清洲城,194,织田信忠,19,织田家,11600,80000,25200,50,50
81,035a0000,鸣海城,鸣海城,194,织田信忠,19,织田家,9800,60000,23600,50,50
82,04783250,小牧山城,小牧山城,194,织田信忠,19,织田家,9800,60000,23600,50,50
83,07a0283c,那古野城,那古野城|名古屋城,194,织田信忠,19,织田家,9800,60000,23600,50,50
84,07a05078,岐阜城,稻叶山城|岐阜城,194,织田信忠,19,织田家,13400,100000,26800,50,50
85,0350233c,墨股城,墨股城,194,织田信忠,19,织田家,9800,60000,23600,50,50
86,05a0375a,大垣城,大垣城,194,织田信忠,19,织田家,11600,80000,25200,50,50
87,0478375a,岩村城,岩村城,194,织田信忠,19,织田家,9800,60000,23600,50,50
88,036e375a,曾根城,曾根城,101,稻叶一铁,19,织田家,9800,60000,23600,50,50
89,04784164,松仓城,松仓城,42,姊小路赖纲,6,姊小路家,9800,60000,23600,50,50
90,06b40000,安浓津城,安浓津城,191,织田信雄,19,织田家,13400,100000,26800,50,50
91,04783250,大河内城,大河内城,191,织田信雄,19,织田家,11600,80000,25200,50,50
92,06961928,长岛城,长岛城,442,泷川一益,19,织田家,11600,80000,25200,50,50
93,035a0000,鸟羽城,鸟羽城,195,织田信长,19,织田家,9800,60000,23600,50,50
94,0578233c,小谷城,小谷城,195,织田信长,19,织田家,11600,80000,25200,50,50
95,068c1e32,佐和山城,佐和山城,565,丹羽长秀,19,织田家,9800,60000,23600,50,50
96,05a02d46,长滨城,今滨城|长滨城,517,丰臣秀吉,19,织田家,13400,100000,26800,50,50
97,06b40000,安土城,观音寺城|安土城|水口城,195,织田信长,19,织田家,15200,120000,28400,50,50
98,04a02d46,阪本城,阪本城|大津城,14,明智光秀,19,织田家,13400,100000,26800,50,50
99,05782d46,日野城,日野城,241,蒲生贤秀,19,织田家,9800,60000,23600,50,50
100,0478141e,多闻山城,多闻山城,195,织田信长,19,织田家,9800,60000,23600,50,50
101,0582375a,信贵山城,信贵山城,195,织田信长,19,织田家,9800,60000,23600,50,50
102,056e3c5a,大和郡山城,大和郡山城,493,筒井顺庆,19,织田家,13400,100000,26800,50,50
103,04644164,伊贺上野城,伊贺上野城,493,筒井顺庆,19,织田家,9800,60000,23600,50,50
104,05640000,胜龙寺城,胜龙寺城,195,织田信长,19,织田家,9800,60000,23600,50,50
105,07dc0000,二条城,二条城,711,村井贞胜,19,织田家,11600,80000,25200,50,50
106,05783c5a,丹波龟山城,丹波龟山城,14,明智光秀,19,织田家,9800,60000,23600,50,50
107,046e375a,八上城,八上城,14,明智光秀,19,织田家,13400,100000,26800,50,50
108,04783c5a,福知山城,福知山城,14,明智光秀,19,织田家,9800,60000,23600,50,50
109,05820000,宫津城,宫津城,638,细川幽斋,19,织田家,9800,60000,23600,50,50
110,06a00000,岸和田城,岸和田城,195,织田信长,19,织田家,11600,80000,25200,50,50
111,06960000,饭盛城,饭盛城,195,织田信长,19,织田家,13400,100000,26800,50,50
112,05960000,高屋城,高屋城,701,三好笑岩,19,织田家,11600,80000,25200,50,50
113,06dc0000,石山本愿寺,石山本愿寺|大坂城,195,织田信长,19,织田家,15200,120000,28400,50,50
114,048c0a14,芥川城,芥川城,195,织田信长,19,织田家,9800,60000,23600,50,50
115,06b41e32,有冈城,有冈城,66,池田恒兴,19,织田家,11600,80000,25200,50,50
116,06a0558c,杂贺城,杂贺城,413,铃木佐太夫,16,铃木家,11600,80000,25200,50,50
117,03644164,新宫城,新宫城,642,堀内氏善,19,织田家,9800,60000,23600,50,50
118,06a04164,鸟取城,鸟取城,517,丰臣秀吉,19,织田家,13400,100000,26800,50,50
119,048269a0,出石城,出石城,517,丰臣秀吉,19,织田家,9800,60000,23600,50,50
120,036e375a,羽衣石城,羽衣石城,721,毛利辉元,50,毛利家,9800,60000,23600,50,50
121,0496375a,月山富田城,月山富田城,265,吉川元春,50,毛利家,13400,100000,26800,50,50
122,03784164,三刀屋城,三刀屋城,695,三刀屋久祐,50,毛利家,9800,60000,23600,50,50
123,03825a8c,白鹿城,白鹿城,265,吉川元春,50,毛利家,5800,30000,23600,50,50
124,038c78c8,益田城,益田城,265,吉川元春,50,毛利家,5800,30000,23600,50,50
125,046e78c8,山吹城,山吹城,265,吉川元春,50,毛利家,5800,30000,23600,50,50
126,0482141e,置盐城,置盐城,517,丰臣秀吉,19,织田家,11600,80000,25200,50,50
127,07aa283c,御着城,御着城,517,丰臣秀吉,19,织田家,15200,120000,28400,50,50
128,056e2d46,三木城,三木城,517,丰臣秀吉,19,织田家,13400,100000,26800,50,50
129,03643250,上月城,上月城,517,丰臣秀吉,19,织田家,9800,60000,23600,50,50
130,03784164,三星城,三星城,125,宇喜多秀家,12,宇喜多家,9800,60000,23600,50,50
131,07a00f14,冈山城,冈山城,125,宇喜多秀家,12,宇喜多家,13400,100000,26800,50,50
132,0378375a,砥石山城,砥石山城,125,宇喜多秀家,12,宇喜多家,9800,60000,23600,50,50
133,048c3250,天神山城,天神山城,125,宇喜多秀家,12,宇喜多家,9800,60000,23600,50,50
134,0578233c,备中松山城,备中松山城,314,小早川隆景,50,毛利家,9800,60000,23600,50,50
135,058c3250,备中高松城,备中高松城,396,清水宗治,50,毛利家,11600,80000,25200,50,50
136,03960000,三原城,三原城,314,小早川隆景,50,毛利家,5600,80000,25200,50,50
137,03823c64,甲山城,甲山城,314,小早川隆景,50,毛利家,3400,60000,23600,50,50
138,05aa64a0,吉田郡山城,吉田郡山城,721,毛利辉元,50,毛利家,7000,50000,26800,50,50
139,046e4b78,佐东银山城,佐东银山城,721,毛利辉元,50,毛利家,6800,40000,23600,50,50
140,07b40000,樱尾城,樱尾城,721,毛利辉元,50,毛利家,5000,30000,23600,50,50
141,06aa0000,山口城,山口城,721,毛利辉元,50,毛利家,3400,80000,25200,50,50
142,0478375a,且山城,且山城,721,毛利辉元,50,毛利家,9800,60000,23600,50,50
143,03780000,十河城,十河城,432,十河存保,41,十河家,9800,60000,23600,50,50
144,0396283c,天雾城,天雾城,432,十河存保,41,十河家,9800,60000,23600,50,50
145,038c0000,汤筑城,汤筑城,300,河野通直牛福丸,24,河野家,9800,60000,23600,50,50
146,046e0000,川之江城,川之江城,300,河野通直牛福丸,24,河野家,9800,60000,23600,50,50
147,048c3250,宇和岛城,宇和岛城,320,西园寺公广,17,大友家,9800,60000,23600,50,50
148,048c0000,抚养城,抚养城,432,十河存保,41,十河家,9800,60000,23600,50,50
149,0596233c,胜瑞城,胜瑞城,432,十河存保,41,十河家,13400,100000,26800,50,50
150,03783250,洲本城,洲本城,195,织田信长,19,织田家,9800,60000,23600,50,50
151,0364283c,白地城,白地城,483,长宗我部元亲,37,长宗我部家,9800,60000,23600,50,50
152,07b4283c,冈丰城,冈丰城,483,长宗我部元亲,37,长宗我部家,13400,100000,26800,50,50
153,04784164,安芸城,安芸城,483,长宗我部元亲,37,长宗我部家,11600,80000,25200,50,50
154,06963250,中村城,中村城,483,长宗我部元亲,37,长宗我部家,11600,80000,25200,50,50
155,035a3250,金石城,金石城,429,宗义调,33,宗家,8000,40000,22000,50,50
156,04aa3c5a,立花山城,立花山城,456,立花道雪,17,大友家,9800,60000,23600,50,50
157,03963250,岩屋城,岩屋城,439,高桥绍运,17,大友家,9800,60000,23600,50,50
158,05a01928,柳川城,柳川城,785,龙造寺隆信,54,龙造寺家,9800,60000,23600,50,50
159,04a01e32,久留米城,久留米城,785,龙造寺隆信,54,龙造寺家,8000,40000,22000,50,50
160,06960000,佐嘉城,佐嘉城,785,龙造寺隆信,54,龙造寺家,13400,100000,26800,50,50
161,05783250,大村城,大村城,172,大村纯忠,54,龙造寺家,9800,60000,23600,50,50
162,0678283c,平户城,平户城,684,松浦隆信,47,松浦家,9800,60000,23600,50,50
163,0364416e,日野江城,日野江城,53,有马晴信,54,龙造寺家,9800,60000,23600,50,50
164,03645a8c,岩尾城,岩尾城,36,阿苏惟将,5,阿苏家,9800,60000,23600,50,50
165,07a0283c,隈本城,隈本城,394,岛津义久,30,岛津家,11600,80000,25200,50,50
166,04963250,人吉城,人吉城,338,相良赖房,26,相良家,9800,60000,23600,50,50
167,048c3250,八代城,八代城,394,岛津义久,30,岛津家,9800,60000,23600,50,50
168,038c3c64,城井谷城,城井谷城,252,城井镇房,22,城井家,9800,60000,23600,50,50
169,06a02d46,小仓城,小仓城,721,毛利辉元,50,毛利家,11600,80000,25200,50,50
170,06b44164,府内城,府内城,167,大友宗麟,17,大友家,11600,80000,25200,50,50
171,04786eb4,冈城,冈城,369,志贺亲守,17,大友家,9800,60000,23600,50,50
172,0364375a,佐伯城,佐伯城,329,佐伯惟定,17,大友家,9800,60000,23600,50,50
173,046464a0,都於郡城,都於郡城,394,岛津义久,30,岛津家,9800,60000,23600,50,50
174,058c64a0,饫肥城,饫肥城,394,岛津义久,30,岛津家,9800,60000,23600,50,50
175,046473b4,县城,县城,394,岛津义久,30,岛津家,9800,60000,23600,50,50
176,05783c64,大隅高山城,大隅高山城,269,肝付兼护,30,岛津家,9800,60000,23600,50,50
177,04644b78,加治木城,加治木城,394,岛津义久,30,岛津家,9800,60000,23600,50,50
178,07aa64a0,内城,内城,394,岛津义久,30,岛津家,13400,100000,26800,50,50
179,05645078,出水城,出水城,393,岛津义虎,30,岛津家,9800,60000,23600,60,50
