city_idx,name_history,owner_chain
42,岩槻城,54:太田三乐斋(5200) 60:太田三乐斋(5800) 68:北条氏康(7400) 75:北条氏政(8600) 82:北条氏政(9800) 98:高力清长(12000)
43,河越城,54:北条氏照(5200) 60:北条氏康(5800) 68:北条氏照(7400) 75:北条氏政(8600) 82:北条氏政(9800) 98:德川家康(12000)
44,忍城,54:成田长泰(5200) 60:成田长泰(5800) 68:成田氏长(9200) 75:成田氏长(10200) 82:成田氏长(11600) 98:德川家康(14000)
45,八王子城,54:北条氏照(4000) 60:北条氏康(4000) 68:北条氏康(7400) 75:北条氏照(8600) 82:北条氏照(9800) 98:德川家康(14000)
46,小田原城,54:北条氏康(8800) 60:北条氏康(11200) 68:北条氏康(12800) 75:北条氏政(13400) 82:北条氏政(15200) 98:大久保忠邻(18000)
47,玉绳城,54:北条纲成(5200) 60:北条纲成(5800) 68:北条纲成(7400) 75:北条纲成(8600) 82:北条纲成(9800) 98:德川家康(14000)
48,韭山城,54:北条氏规(5200) 60:北条氏康(5800) 68:北条氏规(7400) 75:北条氏规(8600) 82:北条氏规(9800) 98:德川家康(12000)
49,春日山城,54:上杉谦信(7600) 60:上杉谦信(9400) 68:上杉谦信(11000) 75:上杉谦信(11800) 82:上杉景胜(13400) 98:堀秀治(16000)
50,新发田城,54:新发田长敦(5200) 60:新发田长敦(5800) 68:新发田长敦(7400) 75:新发田长敦(8600) 82:新发田重家(11600) 98:沟口秀胜(14000)
51,本庄城,54:本庄繁长(5200) 60:本庄繁长(5800) 68:本庄繁长(7400) 75:本庄繁长(8600) 82:本庄繁长(9800) 98:堀秀治(12000)
52,橡尾城,54:上杉谦信(5200) 60:上杉谦信(5800) 68:上杉谦信(7400) 75:上杉谦信(8600) 82:上杉景胜(9800) 98:堀秀治(12000)
53,富山城,54:神保长职(5200) 60:神保长职(5800) 68:神保长职(9200) 75:神保长城(10200) 82:佐佐成政(11600) 98:前田利家(14000)
54,鱼津城,54:椎名康胤(4000) 60:椎名康胤(4000) 68:椎名康胤(7400) 75:椎名康胤(8600) 82:中条景泰(9800) 98:前田利家(12000)
55,七尾城,54:畠山义纲(7600) 60:畠山义纲(9400) 68:长续连(11000) 75:长续连(11800) 82:前田利家(13400) 98:前田利政(16000)
56,尾山城,54:七里赖周(6400) 60:七里赖周(7600) 68:七里赖周(9200) 75:七里赖周(11800) 82:柴田胜家(13400) 98:前田利家(18000)
57,小松城,54:本愿寺显如(4000) 60:本愿寺显如(4000) 68:本愿寺显如(7400) 75:本愿寺显如(8600) 82:柴田胜家(9800) 98:丹羽长重(12000)
58,大圣寺城,54:下间赖照(5200) 60:下间赖照(5800) 68:下间赖照(7400) 75:下间赖照(8600) 82:柴田胜家(9800) 98:丹羽长重(12000)
59,一乘谷城,54:朝仓义景(7600) 60:朝仓义景(9400) 68:朝仓义景(11000) 75:织田信长(11800) 82:柴田胜家(13400) 98:织田信雄(16000)
60,北之庄城,54:朝仓义景(5200) 60:朝仓义景(5800) 68:朝仓义景(7400) 75:织田信长(11800) 82:柴田胜家(13400) 98:丰臣秀赖(16000)
61,金崎城,54:朝仓义景(5200) 60:朝仓义景(5800) 68:朝仓义景(7400) 75:织田信长(8600) 82:柴田胜家(11600) 98:大谷吉继(14000)
62,户石城,54:真田幸隆(5200) 60:真田幸隆(5800) 68:真田幸隆(7400) 75:真田信纲(8600) 82:真田昌幸(13400) 98:真田昌幸(16000)
63,海津城,54:武田信玄(6400) 60:高坂昌信(5800) 68:高坂昌信(9200) 75:高坂昌信(10200) 82:真田昌幸(13400) 98:真田昌幸(16000)
64,饭山城,54:武田信玄(5200) 60:高梨政赖(11200) 68:安田显元(7400) 75:武田胜赖(8600) 82:上杉景胜(9800) 98:关一政(12000)
65,小诸城,54:武田信玄(5200) 60:武田信玄(5800) 68:武田信丰(7400) 75:武田信丰(8600) 82:武田信丰(6000) 98:仙石秀久(14000)
66,高远城,54:武田逍遥轩(5200) 60:武田逍遥轩(5800) 68:武田逍遥轩(7400) 75:仁科盛信(10200) 82:仁科盛信(5000) 98:京极高知(14000)
67,木曾福岛城,54:木曾义康(5200) 60:木曾义康(5800) 68:木曾义康(7400) 75:木曾义昌(8600) 82:木曾义昌(9800) 98:丰臣秀赖(14000)
68,饭田城,54:武田信玄(5200) 60:武田信玄(5800) 68:武田信玄(7400) 75:武田胜赖(8600) 82:武田胜赖(6000) 98:京极高知(14000)
69,踯躅崎馆|甲府城,54:武田信玄(6400) 60:武田信玄(7600) 68:武田信玄(11000) 75:武田胜赖(11800) 82:武田胜赖(11600) 98:浅野幸长(16000)
70,岩殿城,54:武田信玄(5200) 60:武田信玄(5800) 68:武田信玄(7400) 75:武田胜赖(8600) 82:小山田信茂(9800) 98:浅野幸长(14000)
71,下山城,54:武田信玄(4000) 60:武田信玄(4000) 68:武田信玄(5600) 75:武田胜赖(7000) 82:武田胜赖(8000) 98:浅野幸长(12000)
72,骏府城,54:今川义元(6400) 60:今川义元(7600) 68:武田信玄(9200) 75:武田胜赖(10200) 82:穴山梅雪(11600) 98:中村一氏(18000)
73,兴国寺城,54:今川义元(5200) 60:今川义元(5800) 68:垪和氏续(7400) 75:垪和氏续(8600) 82:垪和氏续(9800) 98:中村一氏(12000)
74,曳马城|滨松城,54:饭尾连龙(6400) 60:饭尾连龙(7600) 68:今川氏真(9200) 75:德川家康(11800) 82:德川家康(13400) 98:堀尾忠氏(18000)
75,二股城|二俣城,54:今川义元(5200) 60:今川义元(5800) 68:鹈殿氏长(7400) 75:德川家康(8600) 82:鹈殿氏长(9800) 98:山内一丰(14000)
76,高天神城,54:朝比奈泰朝(5200) 60:朝比奈泰朝(3000) 68:朝比奈泰朝(7400) 75:德川家康(8600) 82:德川家康(9800) 98:山内一丰(12000)
77,冈崎城,54:今川义元(6400) 60:德川家康(7600) 68:德川家康(9200) 75:德川信康(10200) 82:德川家康(11600) 98:田中吉政(14000)
78,长篠城,54:今川义元(5200) 60:鹈殿长照(3000) 68:奥平信昌(7400) 75:奥平信昌(8600) 82:奥平信昌(9800) 98:池田辉政(12000)
79,吉田城,54:今川义元(5200) 60:今川义元(5800) 68:德川家康(7400) 75:德川家康(8600) 82:德川家康(9800) 98:池田辉政(14000)
80,清洲城,54:织田信长(6400) 60:织田信长(7600) 68:织田信长(9200) 75:织田信长(10200) 82:织田信忠(11600) 98:福岛正则(16000)
81,鸣海城,54:佐久间盛重(5200) 60:佐久间盛重(3500) 68:织田信长(7400) 75:织田信长(8600) 82:织田信忠(9800) 98:福岛正则(12000)
82,小牧山城,54:织田信长(5200) 60:织田信长(5800) 68:织田信长(7400) 75:织田信长(8600) 82:织田信忠(9800) 98:福岛正则(12000)
83,那古野城|名古屋城,54:织田信胜(5200) 60:林秀贞(5800) 68:织田信长(7400) 75:林秀贞(8600) 82:织田信忠(9800) 98:福岛正则(14000)
84,稻叶山城|岐阜城,54:斋藤道三(7600) 60:斋藤义龙(9400) 68:织田信长(11000) 75:织田信长(11800) 82:织田信忠(13400) 98:织田秀信(16000)
85,墨股城,54:小琴(4000) 60:小琴(4000) 68:织田信长(7400) 75:织田信长(8600) 82:织田信忠(9800) 98:竹中重门(12000)
86,大垣城,54:安藤守就(5200) 60:安藤守就(7600) 68:安藤守就(9200) 75:安藤守就(10200) 82:织田信忠(11600) 98:织田秀信(16000)
87,岩村城,54:远山景任(5200) 60:远山景任(5800) 68:远山景任(7400) 75:秋山虎繁(8600) 82:织田信忠(9800) 98:森忠政(12000)
88,曾根城,54:稻叶一铁(5200) 60:稻叶一铁(5800) 68:稻叶一铁(7400) 75:稻叶一铁(8600) 82:稻叶一铁(9800) 98:稻叶贞通(12000)
89,松仓城,54:姊小路赖纲(5200) 60:姊小路赖纲(5800) 68:姊小路赖纲(7400) 75:姊小路赖纲(8600) 82:姊小路赖纲(9800) 98:金森长近(14000)
90,安浓津城,54:北畠晴具(6400) 60:神户具盛(7600) 68:泷川一益(9200) 75:织田信孝(10200) 82:织田信雄(13400) 98:分部光嘉(16000)
91,大河内城,54:北畠晴具(6400) 60:北畠具教(7600) 68:北畠具教(9200) 75:织田信雄(10200) 82:织田信雄(11600) 98:氏家行广(14000)
92,长岛城,54:愿证寺证惠(6400) 60:愿证寺证惠(7600) 68:愿证寺证惠(9200) 75:泷川一益(10200) 82:泷川一益(11600) 98:菅沼定盈(14000)
93,鸟羽城,54:北畠晴具(5200) 60:北畠具教(5800) 68:北畠具教(7400) 75:织田信长(8600) 82:织田信长(9800) 98:九鬼守隆(14000)
94,小谷城,54:浅井久政(6400) 60:浅井长政(7600) 68:浅井长政(9200) 75:织田信长(10200) 82:织田信长(11600) 98:石田三成(14000)
95,佐和山城,54:矶野员昌(5200) 60:矶野员昌(5800) 68:矶野员昌(7400) 75:丹羽长秀(8600) 82:丹羽长秀(9800) 98:石田三成(14000)
96,今滨城|长滨城,54:浅井久政(4000) 60:浅井长政(4000) 68:浅井长政(7400) 75:丰臣秀吉(11800) 82:丰臣秀吉(13400) 98:石田三成(16000)
97,观音寺城|安土城|水口城,54:六角承祯(7600) 60:六角承祯(9400) 68:织田信长(11000) 75:织田信长(11800) 82:织田信长(15200) 98:长束正家(16000)
98,阪本城|大津城,54:足利义辉(6400) 60:六角承祯(7600) 68:织田信长(9200) 75:明智光秀(11800) 82:明智光秀(13400) 98:京极高次(14000)
99,日野城,54:蒲生定秀(5200) 60:蒲生定秀(5800) 68:蒲生定秀(7400) 75:蒲生定秀(8600) 82:蒲生贤秀(9800) 98:丰臣秀赖(12000)
100,多闻山城,54:松永久秀(5200) 60:松永久秀(5800) 68:松永久秀(7400) 75:松永久秀(8600) 82:织田信长(9800) 98:丰臣秀赖(12000)
101,信贵山城,54:松永久秀(5200) 60:松永久秀(5800) 68:松永久秀(7400) 75:松永久秀(8600) 82:织田信长(9800) 98:织田有乐(14000)
102,大和郡山城,54:筒井顺庆(5200) 60:筒井顺庆(5800) 68:筒井顺庆(7400) 75:筒井顺庆(8600) 82:筒井顺庆(13400) 98:增田长盛(16000)
103,伊贺上野城,54:筒井顺庆(4000) 60:筒井顺庆(4000) 68:筒井顺庆(7400) 75:筒井顺庆(8600) 82:筒井顺庆(9800) 98:筒井定次(14000)
104,胜龙寺城,54:三好长庆(5200) 60:三好长庆(5800) 68:足利义昭(7400) 75:织田信长(8600) 82:织田信长(9800) 98:丰臣秀赖(14000)
105,二条城,54:三好长庆(6400) 60:足利义辉(7600) 68:足利义昭(9200) 75:织田信长(10200) 82:村井贞胜(11600) 98:鸟居元忠(18000)
106,丹波龟山城,54:波多野晴通(4000) 60:波多野秀治(4000) 68:波多野秀治(5600) 75:波多野秀治(7000) 82:明智光秀(9800) 98:丰臣秀赖(12000)
107,八上城,54:波多野晴通(7600) 60:波多野秀治(9400) 68:波多野秀治(11000) 75:波多野秀治(11800) 82:明智光秀(13400) 98:织田信包(16000)
108,福知山城,54:波多野晴通(4000) 60:波多野秀治(4000) 68:波多野秀治(5600) 75:波多野秀治(7000) 82:明智光秀(9800) 98:细川忠兴(12000)
109,宫津城,54:一色义道(5200) 60:一色义道(5800) 68:一色义道(7400) 75:一色义道(8600) 82:细川幽斋(9800) 98:细川忠兴(12000)
110,岸和田城,54:三好宗渭(5200) 60:三好宗渭(5800) 68:三好义继(7400) 75:三好长治(8600) 82:织田信长(11600) 98:丰臣秀赖(16000)
111,饭盛城,54:三好长庆(7600) 60:三好长庆(9400) 68:三好义继(11000) 75:织田信长(11800) 82:织田信长(13400) 98:丰臣秀赖(16000)
112,高屋城,54:畠山高政(6400) 60:畠山高政(7600) 68:畠山高政(9200) 75:织田信长(10200) 82:三好笑岩(11600) 98:丰臣秀赖(14000)
113,石山本愿寺|大坂城,54:本愿寺显如(7600) 60:本愿寺显如(11200) 68:本愿寺显如(12800) 75:本愿寺显如(13400) 82:织田信长(15200) 98:丰臣秀赖(20000)
114,芥川城,54:三好长庆(5200) 60:三好长庆(5800) 68:和田惟政(7400) 75:高山友照(8600) 82:织田信长(9800) 98:丰臣秀赖(12000)
115,有冈城,54:荒木村重(5200) 60:荒木村重(5800) 68:荒木村重(7400) 75:荒木村重(10200) 82:池田恒兴(11600) 98:丰臣秀赖(16000)
116,杂贺城,54:铃木佐太夫(6400) 60:铃木佐太夫(7600) 68:铃木佐太夫(9200) 75:铃木佐太夫(10200) 82:铃木佐太夫(11600) 98:丰臣秀赖(14000)
117,新宫城,54:堀内氏善(5200) 60:堀内氏善(5800) 68:堀内氏善(7400) 75:堀内氏善(8600) 82:堀内氏善(9800) 98:堀内氏善(12000)
118,鸟取城,54:山名祐丰(6400) 60:山名祐丰(7600) 68:山名祐丰(11000) 75:山名祐丰(11800) 82:丰臣秀吉(13400) 98:宫部继润(16000)
119,出石城,54:山名祐丰(5200) 60:山名祐丰(5800) 68:山名祐丰(7400) 75:山名祐丰(8600) 82:丰臣秀吉(9800) 98:斋村政广(12000)
120,羽衣石城,54:尼子晴久(5200) 60:尼子晴久(5800) 68:山名祐丰(7400) 75:毛利辉元(8600) 82:毛利辉元(9800) 98:龟井兹矩(12000)
121,月山富田城,54:尼子晴久(7600) 60:尼子晴久(9400) 68:天野隆重(11000) 75:吉川元春(11800) 82:吉川元春(13400) 98:吉川广家(16000)
122,三刀屋城,54:三刀屋久祐(5200) 60:三刀屋久祐(5800) 68:三刀屋久祐(7400) 75:三刀屋久祐(8600) 82:三刀屋久祐(9800) 98:吉川广家(12000)
123,白鹿城,54:尼子晴久(5200) 60:尼子晴久(5800) 68:吉川元春(7400) 75:吉川元春(8600) 82:吉川元春(5800) 98:龟井兹矩(14000)
124,益田城,54:吉川元春(5200) 60:毛利元就(5800) 68:吉川元春(7400) 75:吉川元春(8600) 82:吉川元春(5800) 98:繁泽元氏(12000)
125,山吹城,54:吉川元春(5200) 60:吉川元春(5800) 68:吉川元春(7400) 75:吉川元春(8600) 82:吉川元春(5800) 98:毛利辉元(14000)
126,置盐城,54:赤松义祐(6400) 60:赤松义祐(7600) 68:赤松义祐(9200) 75:赤松义祐(10200) 82:丰臣秀吉(11600) 98:丰臣秀赖(14000)
127,御着城,54:小寺政职(7600) 60:小寺政职(9400) 68:小寺政职(11000) 75:小寺政职(11800) 82:丰臣秀吉(15200) 98:丰臣秀赖(18000)
128,三木城,54:赤松义祐(6400) 60:赤松义祐(7600) 68:别所长治(11000) 75:别所长治(11800) 82:丰臣秀吉(13400) 98:糟谷武则(16000)
129,上月城,54:赤松义祐(5200) 60:赤松义祐(5800) 68:赤松义祐(7400) 75:赤松义祐(8600) 82:丰臣秀吉(9800) 98:丰臣秀赖(12000)
130,三星城,54:尼子晴久(4000) 60:尼子晴久(4000) 68:三村元亲(5600) 75:浦上宗景(7000) 82:宇喜多秀家(9800) 98:宇喜多秀家(12000)
131,冈山城,54:浦上宗景(6400) 60:浦上宗景(7600) 68:浦上宗景(9200) 75:宇喜多直家(10200) 82:宇喜多秀家(13400) 98:宇喜多秀家(16000)
132,砥石山城,54:浦上宗景(4000) 60:浦上宗景(4000) 68:浦上宗景(7400) 75:宇喜多直家(8600) 82:宇喜多秀家(9800) 98:宇喜多秀家(12000)
133,天神山城,54:浦上宗景(5200) 60:浦上宗景(5800) 68:浦上宗景(7400) 75:浦上宗景(8600) 82:宇喜多秀家(9800) 98:宇喜多秀家(14000)
134,备中松山城,54:三村家亲(5200) 60:三村家亲(5800) 68:三村元亲(7400) 75:小早川隆景(8600) 82:小早川隆景(9800) 98:宇喜多秀家(14000)
135,备中高松城,54:清水宗治(5200) 60:三村家亲(5800) 68:清水宗治(9200) 75:清水宗治(10200) 82:清水宗治(11600) 98:宇喜多秀家(14000)
136,三原城,54:毛利元就(5200) 60:毛利元就(5800) 68:小早川隆景(9200) 75:小早川隆景(10200) 82:小早川隆景(5600) 98:坚田元庆(14000)
137,甲山城,54:毛利元就(5200) 60:毛利元就(5800) 68:毛利元就(7400) 75:小早川隆景(8600) 82:小早川隆景(3400) 98:毛利辉元(12000)
138,吉田郡山城,54:毛利元就(7600) 60:毛利元就(9400) 68:毛利元就(11000) 75:毛利辉元(11800) 82:毛利辉元(7000) 98:毛利辉元(16000)
139,佐东银山城,54:毛利元就(5200) 60:毛利元就(5800) 68:毛利元就(7400) 75:毛利辉元(8600) 82:毛利辉元(6800) 98:毛利辉元(12000)
140,樱尾城,54:毛利元就(5200) 60:毛利元就(5800) 68:毛利元就(7400) 75:毛利辉元(8600) 82:毛利辉元(5000) 98:毛利辉元(18000)
141,山口城,54:大内义长(6400) 60:毛利元就(7600) 68:毛利元就(9200) 75:毛利辉元(10200) 82:毛利辉元(3400) 98:毛利辉元(14000)
142,且山城,54:大内义长(5200) 60:毛利元就(5800) 68:毛利元就(7400) 75:毛利辉元(8600) 82:毛利辉元(9800) 98:毛利辉元(12000)
143,十河城,54:十河一存(4000) 60:十河一存(4000) 68:十河存保(7400) 75:十河存保(8600) 82:十河存保(9800) 98:生驹亲正(12000)
144,天雾城,54:香川元景(5200) 60:香川元景(5800) 68:香川元景(7400) 75:香川元景(8600) 82:十河存保(9800) 98:生驹亲正(16000)
145,汤筑城,54:河野通宣(5200) 60:河野通宣(5800) 68:河野通宣(7400) 75:河野通宣(8600) 82:河野通直牛福丸(9800) 98:加藤嘉明(12000)
146,川之江城,54:河野通宣(4000) 60:三好长庆(4000) 68:三好长逸(7400) 75:河野通宣(8600) 82:河野通直牛福丸(9800) 98:安国寺惠琼(12000)
147,宇和岛城,54:西园寺公广(5200) 60:西园寺公广(5800) 68:西园寺公广(7400) 75:西园寺公广(8600) 82:西园寺公广(9800) 98:藤堂高虎(14000)
148,抚养城,54:篠原长房(5200) 60:篠原长房(5800) 68:篠原长房(7400) 75:三好长治(8600) 82:十河存保(9800) 98:蜂须贺家政(12000)
149,胜瑞城,54:三好实休(6400) 60:三好实休(7600) 68:三好长逸(11000) 75:三好长治(11800) 82:十河存保(13400) 98:蜂须贺家政(16000)
150,洲本城,54:三好长庆(5200) 60:三好长庆(5800) 68:三好长逸(7400) 75:三好长治(8600) 82:织田信长(9800) 98:胁坂安治(12000)
151,白地城,54:三好长庆(5200) 60:三好长庆(5800) 68:三好长逸(7400) 75:三好长治(8600) 82:长宗我部元亲(9800) 98:蜂须贺家政(14000)
152,冈丰城,54:长宗我部国亲(6400) 60:长宗我部元亲(7600) 68:长宗我部元亲(9200) 75:长宗我部元亲(10200) 82:长宗我部元亲(13400) 98:长宗我部盛亲(16000)
153,安芸城,54:安艺国虎(6400) 60:安艺国虎(7600) 68:安艺国虎(9200) 75:长宗我部元亲(10200) 82:长宗我部元亲(11600) 98:长宗我部盛亲(14000)
154,中村城,54:一条兼定(5200) 60:一条兼定(5800) 68:一条兼定(9200) 75:长宗我部元亲(10200) 82:长宗我部元亲(11600) 98:谷忠澄(14000)
155,金石城,54:宗义调(4000) 60:宗义调(4000) 68:宗义调(5600) 75:宗义调(7000) 82:宗义调(8000) 98:宗义智(12000)
156,立花山城,54:高桥鉴种(4000) 60:大友宗麟(4000) 68:大友宗麟(7400) 75:立花道雪(8600) 82:立花道雪(9800) 98:小早川秀秋(14000)
157,岩屋城,54:高桥鉴种(5200) 60:高桥鉴种(5800) 68:高桥鉴种(7400) 75:高桥绍运(8600) 82:高桥绍运(9800) 98:小早川秀秋(12000)
158,柳川城,54:蒲池鉴盛(5200) 60:蒲池鉴盛(5800) 68:蒲池鉴盛(7400) 75:蒲池鉴盛(8600) 82:龙造寺隆信(9800) 98:立花宗茂(12000)
159,久留米城,54:龙造寺隆信(4000) 60:龙造寺隆信(4000) 68:龙造寺隆信(5600) 75:龙造寺隆信(7000) 82:龙造寺隆信(8000) 98:小早川秀包(14000)
160,佐嘉城,54:龙造寺隆信(7600) 60:龙造寺隆信(9400) 68:龙造寺隆信(11000) 75:龙造寺隆信(11800) 82:龙造寺隆信(13400) 98:锅岛直茂(16000)
161,大村城,54:大村纯忠(4000) 60:大村纯忠(4000) 68:大村纯忠(7400) 75:大村纯忠(8600) 82:大村纯忠(9800) 98:锅岛直茂(14000)
162,平户城,54:松浦隆信(5200) 60:松浦隆信(5800) 68:松浦隆信(7400) 75:松浦隆信(8600) 82:松浦隆信(9800) 98:松浦镇信(16000)
163,日野江城,54:龙造寺隆信(5200) 60:龙造寺隆信(5800) 68:龙造寺隆信(7400) 75:龙造寺隆信(8600) 82:有马晴信(9800) 98:有马晴信(14000)
164,岩尾城,54:阿苏惟将(5200) 60:阿苏惟将(5800) 68:阿苏惟将(7400) 75:阿苏惟将(8600) 82:阿苏惟将(9800) 98:加藤清正(12000)
165,隈本城,54:相良义阳(6400) 60:相良义阳(7600) 68:相良义阳(9200) 75:相良义阳(10200) 82:岛津义久(11600) 98:加藤清正(16000)
