person_id,name,force_id,force_name,rank,superior_id,superior_name,salary,ambition,loyalty,kamon
54,安国寺惠琼,121,无,8,1101,,5,65,87,48
55,安东高季,8,安东家,2,1101,,5,86,57,13
56,安东爱季,8,安东家,2,1101,,0,38,100,13
57,安藤直次,12,今川家,2,506,德川家康,5,19,100,192
58,安藤守就,25,斋藤家,0,1101,,0,56,100,255
59,安藤良整,44,北条家,2,1101,,5,31,95,255
60,饭尾连龙,12,今川家,0,1101,,100,66,65,115
61,饭田觉兵卫,121,无,2,1101,,0,44,0,255
62,井伊直政,12,今川家,10,506,德川家康,5,32,100,168
63,伊贺崎道顺,96,伊贺众,34,1101,,50,48,99,255
64,伊木忠次,121,无,2,1101,,5,40,0,255
65,池田惣左卫门,86,镫屋,10,1101,,0,65,99,255
66,池田恒兴,19,织田家,8,1101,,20,25,100,133
67,池田辉政,19,织田家,10,66,池田恒兴,0,66,100,133
68,池田元助,19,织田家,8,66,池田恒兴,20,55,99,133
69,池赖和,114,土佐水军,0,1101,,5,50,99,255
70,生驹亲正,19,织田家,2,1101,,5,24,90,87
71,石川昭光,36,伊达家,2,1101,,0,70,56,18
72,石川数正,12,今川家,2,506,德川家康,100,46,98,53
73,石川五右卫门,96,伊贺众,24,1101,,0,90,99,255
74,石川高信,40,南部家,2,1101,,5,65,100,1
75,石田三成,121,无,0,1101,,5,61,0,102
76,石母田景赖,36,伊达家,2,1101,,5,18,100,255
77,伊集院忠仓,30,岛津家,2,1101,,10,40,100,101
78,伊集院忠栋,30,岛津家,0,77,伊集院忠仓,20,74,100,101
79,以心崇传,121,无,10,1101,,0,65,99,65
80,矶野员昌,1,浅井家,2,1101,,0,37,100,255
81,板仓胜重,12,今川家,2,506,德川家康,0,21,100,54
82,板部冈江雪斋,44,北条家,10,1101,,0,32,100,255
83,伊丹康直,108,骏河水军,2,1101,,100,55,99,88
84,市川经好,50,毛利家,2,1101,,50,60,99,255
85,一栗放牛,15,大崎家,8,1101,,5,50,99,255
86,一条兼定,9,一条家,2,1101,,50,36,100,88
87,一条信龙,35,武田家,0,1101,,0,20,100,48
88,伊地知重兴,23,肝付家,2,1101,,5,50,82,100
89,伊地知重秀,30,岛津家,2,1101,,5,24,100,255
90,一万田鉴实,17,大友家,2,1101,,5,16,100,90
91,一色义清,10,一色家,0,1101,,5,60,100,65
92,一色义定,10,一色家,0,1101,,20,45,100,65
93,一色义道,10,一色家,0,1101,,0,70,100,65
94,出浦盛清,91,户隐众,18,1101,,0,55,99,255
95,伊藤一刀斋,121,无,66,1101,,5,24,0,255
96,伊东祐兵,11,伊东家,2,1101,,20,21,90,99
97,伊藤惣十郎,71,伊藤屋,10,1101,,5,46,99,255
98,伊东义祐,11,伊东家,2,1101,,0,46,100,99
99,伊奈忠次,121,无,2,1101,,5,20,98,149
100,稻富一梦,10,一色家,34,1101,,5,39,95,65
101,稻叶一铁,25,斋藤家,10,1101,,5,67,67,84
102,稻叶贞通,25,斋藤家,10,101,稻叶一铁,5,34,89,84
103,稻叶正成,121,无,10,1101,,5,55,99,84
104,猪苗代盛国,4,芦名家,2,1101,,50,83,56,10
105,猪子兵介,19,织田家,10,1101,,100,18,100,255
106,猪俣邦宪,44,北条家,0,1101,,0,53,92,255
107,今井宗久,72,纳屋,10,1101,,5,77,99,255
108,今井宗薰,72,纳屋,10,1101,,5,47,99,255
109,今川氏真,12,今川家,2,1101,,20,2,100,36
110,今川义元,12,今川家,40,1101,,5,72,100,36
111,宇野藤右卫门,73,虎屋,10,1101,,50,39,100,255
112,色部胜长,39,长尾家,2,1101,,0,40,100,153
113,色部长实,39,长尾家,2,112,色部胜长,0,27,100,153
114,岩成友通,49,三好家,0,1101,,50,65,98,68
115,犬童赖安,26,相良家,2,1101,,100,46,90,255
116,上杉景胜,39,长尾家,2,1101,,0,90,100,31
117,上杉景虎,44,北条家,0,1101,,5,74,90,31
118,上杉景信,39,长尾家,2,1101,,5,25,100,31
119,上杉谦信,39,长尾家,2,1101,,5,89,100,31
120,神屋宗湛,121,无,10,1101,,20,72,0,255
121,坂田源右卫门,74,坂田屋,10,1101,,20,40,100,255
122,鹈饲孙六,95,甲贺众,18,1101,,50,44,99,255
123,宇喜多忠家,14,浦上家,2,124,宇喜多直家,0,23,100,80
124,宇喜多直家,14,浦上家,2,1101,,5,96,100,80
125,宇喜多秀家,14,浦上家,2,124,宇喜多直家,0,89,100,80
126,宇久纯定,116,五岛水军,2,1101,,0,49,99,45
127,宇久纯玄,116,五岛水军,2,1101,,100,55,99,45
128,宇佐美定满,39,长尾家,0,1101,,100,29,98,179
129,氏家卜全,25,斋藤家,0,101,稻叶一铁,50,56,78,20
130,氏家光氏,51,最上家,2,1101,,5,49,91,28
131,氏家守栋,51,最上家,2,1101,,50,82,93,28
132,氏家行广,25,斋藤家,0,101,稻叶一铁,100,54,100,20
133,牛尾幸清,7,尼子家,2,1101,,5,45,99,255
134,臼杵鉴速,17,大友家,2,1101,,100,38,100,255
135,宇都宫国纲,13,宇都宫家,2,1101,,0,74,94,28
136,宇都宫广纲,13,宇都宫家,2,1101,,100,66,100,28
137,鹈殿氏长,12,今川家,2,138,鹈殿长照,0,41,99,119
138,鹈殿长照,12,今川家,0,1101,,50,10,100,119
139,宇山久兼,7,尼子家,0,1101,,5,8,85,255
140,浦上宗景,14,浦上家,2,1101,,50,62,100,78
141,上井觉兼,30,岛津家,2,1101,,5,36,100,255
142,海野六郎,121,无,2,1101,,0,11,0,255
143,颖娃久虎,30,岛津家,2,1101,,0,44,97,255
144,江村亲家,37,长宗我部家,2,1101,,5,45,99,255
145,江里口信常,54,龙造寺家,0,1101,,100,32,100,255
146,圆城寺信胤,54,龙造寺家,0,1101,,5,41,100,255
147,远藤直经,1,浅井家,0,1101,,5,77,96,255
148,远藤基信,36,伊达家,0,1101,,0,23,97,88
149,大石智久,33,宗家,2,1101,,5,55,99,255
150,大内定纲,4,芦名家,10,1101,,5,72,64,255
151,大内辉弘,17,大友家,0,1101,,20,63,99,255
152,大内义长,121,无,2,1101,,5,29,100,83
153,大久保忠佐,12,今川家,2,506,德川家康,10,45,100,131
154,大久保忠教,121,无,10,1101,,20,55,99,131
155,大久保忠邻,12,今川家,10,156,大久保忠世,10,48,100,131
156,大久保忠世,12,今川家,2,506,德川家康,5,40,100,131
157,大久保长安,121,无,2,1101,,5,61,0,255
158,大熊朝秀,35,武田家,2,1101,,5,40,100,255
159,大崎义隆,15,大崎家,2,1101,,5,60,93,6
160,大崎义直,15,大崎家,2,1101,,5,29,99,6
161,大须贺康高,12,今川家,2,506,德川家康,5,26,100,138
162,太田氏资,16,太田家,0,1101,,20,55,99,34
163,太田牛一,19,织田家,42,1101,,5,17,79,255
164,太田三乐斋,16,太田家,42,1101,,5,69,0,34
165,大谷吉继,121,无,8,1101,,5,32,0,157
166,大月景秀,121,无,10,1101,,5,12,99,255
167,大友宗麟,17,大友家,2,1101,,5,81,100,90
168,大友亲家,17,大友家,2,1101,,5,76,91,90
169,大友亲盛,17,大友家,2,1101,,5,43,95,90
170,大友义统,17,大友家,2,1101,,5,65,98,90
171,大野治长,19,织田家,0,1101,,5,65,100,255
172,大村纯忠,54,龙造寺家,2,1101,,5,16,88,113
173,小笠原长时,49,三好家,2,1101,,5,67,59,51
174,小笠原少斋,121,无,8,1101,,100,55,99,51
175,冈家利,14,浦上家,10,124,宇喜多直家,100,24,100,80
176,冈部贞纲,108,骏河水军,0,1101,,5,50,99,20
177,冈部正纲,12,今川家,2,1101,,50,43,100,20
178,冈部元信,12,今川家,0,1101,,5,31,100,20
179,冈本随缘斋,106,房总水军,2,1101,,10,36,99,255
180,冈本禅哲,27,佐竹家,2,1101,,5,21,96,255
181,冈本赖氏,26,相良家,10,1101,,20,56,97,1
182,冈吉正,45,本愿寺,34,413,铃木佐太夫,5,60,99,1
183,奥平信昌,12,今川家,2,506,德川家康,5,57,79,161
184,奥村永福,19,织田家,10,659,前田利家,0,55,99,255
185,长船贞亲,14,浦上家,0,124,宇喜多直家,100,49,95,162
186,长船纲直,14,浦上家,0,185,长船贞亲,0,45,93,162
187,小濑甫庵,121,无,10,1101,,5,64,0,255
188,小田氏治,18,小田家,2,1101,,20,89,65,21
189,织田有乐,19,织田家,10,1101,,5,39,99,39
190,织田信胜,121,无,0,1101,,5,88,44,39
191,织田信雄,19,织田家,2,1101,,50,62,99,39
192,织田信包,19,织田家,2,1101,,50,34,100,39
193,织田信孝,19,织田家,0,1101,,50,82,96,39
194,织田信忠,19,织田家,0,1101,,5,77,99,39
195,织田信长,19,织田家,8,1101,,0,100,100,39
196,织田秀信,19,织田家,2,194,织田信忠,50,23,99,39
197,小寺政职,0,无,2,1101,,5,54,99,255
198,小岛弥太郎,39,长尾家,10,1101,,5,61,99,255
199,鬼庭左月,36,伊达家,0,1101,,5,31,100,255
200,鬼庭纲元,36,伊达家,2,199,鬼庭左月,0,51,98,255
201,小野镇幸,17,大友家,2,1101,,5,47,99,255
202,小野善鬼,121,无,0,1101,,5,78,99,255
203,小野忠明,121,无,2,1101,,0,68,0,255
204,小野寺辉道,20,小野寺家,2,1101,,100,67,100,15
205,小野寺义道,20,小野寺家,2,1101,,0,55,99,15
206,小幡勘兵卫,35,武田家,2,1101,,5,71,95,161
207,小滨景隆,108,骏河水军,2,1101,,5,55,99,255
208,饭富虎昌,35,武田家,0,1101,,0,46,99,146
209,小山田信茂,35,武田家,0,1101,,100,78,88,129
210,甲斐宗运,5,阿苏家,2,1101,,100,56,0,97
211,海北纲亲,1,浅井家,0,1101,,20,45,99,255
212,香川亲和,37,长宗我部家,2,1101,,100,30,99,54
213,香川元景,49,三好家,2,1101,,0,32,90,54
214,柿崎景家,39,长尾家,0,1101,,5,44,98,22
215,蛎崎季广,8,安东家,2,1101,,5,64,67,60
216,蛎崎庆广,8,安东家,2,215,蛎崎季广,5,83,77,60
217,垣屋光成,52,山名家,2,1101,,20,69,62,255
218,笕十藏,121,无,32,1101,,50,42,0,255
219,葛西晴信,21,葛西家,2,1101,,20,14,87,5
220,笠原政尧,44,北条家,0,1101,,5,79,47,5
221,梶原景宗,107,相模水军,2,1101,,100,55,99,255
222,果心居士,121,无,26,1101,,0,1,99,255
223,糟谷武则,121,无,10,1101,,20,59,0,20
224,片桐且元,19,织田家,10,1101,,0,32,80,33
225,片仓景纲,36,伊达家,2,1101,,5,40,100,142
226,佐甲藤太郎,80,下关屋,10,1101,,5,45,100,255
227,坚田元庆,50,毛利家,2,1101,,5,23,99,255
228,桂元澄,50,毛利家,2,1101,,5,32,99,255
229,葛山氏元,12,今川家,2,1101,,5,61,78,33
230,加藤清正,19,织田家,10,1101,,100,85,100,130
231,加藤段藏,93,轩猿众,16,1101,,100,83,99,255
232,加藤光泰,25,斋藤家,10,1101,,20,50,80,130
233,加藤嘉明,19,织田家,10,1101,,5,43,100,88
234,金上盛备,4,芦名家,0,1101,,0,51,100,255
235,金森长近,121,无,2,1101,,5,56,98,44
236,可儿才藏,25,斋藤家,74,1101,,5,76,65,255
237,钟卷自斋,121,无,66,1101,,5,44,99,255
238,蒲池鉴盛,17,大友家,0,1101,,50,29,91,92
239,龟井兹矩,7,尼子家,2,1101,,20,65,95,75
240,蒲生氏乡,55,六角家,42,242,蒲生定秀,5,69,88,100
241,蒲生贤秀,55,六角家,42,242,蒲生定秀,100,42,87,100
242,蒲生定秀,55,六角家,42,1101,,50,67,99,100
243,蒲生赖乡,55,六角家,0,242,蒲生定秀,5,35,100,100
244,蒲生秀行,55,六角家,42,240,蒲生氏乡,5,42,90,100
245,川上忠智,30,岛津家,10,1101,,10,72,100,101
246,川上久朗,30,岛津家,8,1101,,0,18,100,101
247,河尻秀隆,19,织田家,0,1101,,50,49,92,20
248,河田长亲,39,长尾家,2,1101,,20,48,100,255
249,愿证寺证惠,45,本愿寺,32,1101,,5,11,99,66
250,神户具盛,22,北畠家,2,1101,,100,50,98,133
251,菅达长,111,淡路水军,0,1101,,20,62,99,255
252,城井镇房,17,大友家,0,1101,,20,91,79,20
253,喜入季久,30,岛津家,2,1101,,5,32,99,255
254,木曾义昌,35,武田家,2,255,木曾义康,5,69,77,53
255,木曾义康,35,武田家,2,1101,,5,59,100,53
256,北条景广,39,长尾家,0,257,北条高广,0,78,65,82
257,北条高广,39,长尾家,2,1101,,5,76,66,82
258,北信爱,40,南部家,2,1101,,5,53,99,1
259,北畠具教,22,北畠家,0,1101,,0,63,100,47
260,北畠具房,22,北畠家,2,1101,,20,5,99,47
261,北畠晴具,22,北畠家,2,1101,,5,72,100,47
262,吉川经家,50,毛利家,0,1101,,5,56,100,107
263,吉川广家,50,毛利家,2,265,吉川元春,5,38,92,107
264,吉川元长,50,毛利家,2,265,吉川元春,5,44,99,107
265,吉川元春,50,毛利家,2,1101,,5,67,100,107
266,木下昌直,54,龙造寺家,0,1101,,5,42,100,255
267,木村重成,121,无,8,1101,,5,54,0,1
268,肝付兼续,23,肝付家,0,1101,,5,67,100,100
269,肝付兼护,23,肝付家,0,1101,,5,24,91,100
270,肝付良兼,23,肝付家,2,1101,,5,53,99,100
271,京极高次,3,足利家,2,273,京极高吉,5,61,87,75
272,京极高知,3,足利家,2,273,京极高吉,50,55,99,75
273,京极高吉,3,足利家,2,1101,,20,56,99,75
274,吉良亲贞,37,长宗我部家,10,1101,,5,61,100,255
275,吉良亲实,37,长宗我部家,0,274,吉良亲贞,5,51,99,255
276,雾隐才藏,96,伊贺众,16,1101,,5,61,0,255
277,九鬼广隆,121,无,2,1101,,20,74,99,138
278,九鬼守隆,109,熊野水军,2,279,九鬼嘉隆,50,34,70,138
279,九鬼嘉隆,109,熊野水军,0,1101,,100,66,70,138
280,楠长谙,49,三好家,10,679,松永久秀,50,60,99,255
281,口羽通良,50,毛利家,2,265,吉川元春,0,29,99,162
282,朽木元纲,55,六角家,2,1101,,50,53,88,110
283,国司元相,50,毛利家,10,1101,,0,61,98,255
284,国友善兵卫,121,无,34,1101,,20,12,99,255
285,九户政实,40,南部家,0,1101,,10,90,61,103
286,熊谷信直,50,毛利家,2,265,吉川元春,5,39,98,255
287,组屋源四郎,84,组屋,10,1101,,20,56,99,255
288,末吉孙左卫门,121,无,10,1101,,5,56,99,255
289,藏田五郎左,75,越后屋,10,1101,,5,22,99,255
290,来岛通总,113,村上水军,0,291,村上通康,10,71,88,84
291,村上通康,113,村上水军,2,1101,,5,55,95,84
292,黑田如水,0,无,10,197,小寺政职,5,98,100,158
293,黑田长政,0,无,10,197,小寺政职,0,70,67,158
294,黑田职隆,0,无,10,197,小寺政职,20,42,99,158
295,桑名吉成,37,长宗我部家,0,1101,,50,40,97,255
296,上泉信纲,46,长野家,66,1101,,5,25,100,255
297,高坂甚内,94,透波众,16,1101,,5,74,99,142
298,高坂昌信,35,武田家,42,1101,,50,29,100,142
299,香宗我部亲泰,37,长宗我部家,2,1101,,100,30,100,48
300,河野通直牛福丸,24,河野家,2,1101,,5,49,100,84
301,河野通宣,24,河野家,2,1101,,50,35,100,84
302,高力清长,12,今川家,2,506,德川家康,0,14,100,88
303,小岛职镇,31,神保家,2,1101,,5,72,56,255
304,五代友喜,30,岛津家,2,1101,,5,64,99,255
305,儿玉就英,50,毛利家,2,1101,,10,49,98,255
306,木造具政,22,北畠家,2,1101,,50,61,67,20
307,笼手田安一,47,松浦家,2,308,笼手田安经,100,30,99,255
308,笼手田安经,47,松浦家,2,1101,,20,55,99,255
309,后藤贤丰,55,六角家,0,1101,,100,18,88,255
310,后藤信康,36,伊达家,2,1101,,100,55,100,255
311,后藤又兵卫,0,无,8,197,小寺政职,0,69,78,88
312,小西行长,76,小西屋,0,1101,,50,68,0,117
313,小西隆佐,76,小西屋,10,1101,,5,55,99,117
314,小早川隆景,50,毛利家,2,1101,,5,46,99,108
315,小早川秀秋,19,织田家,2,517,丰臣秀吉,5,70,99,108
316,小早川秀包,50,毛利家,2,1101,,5,42,99,108
317,小堀远州,121,无,10,1101,,5,16,99,255
318,小梁川盛宗,36,伊达家,2,1101,,5,66,99,18
319,近藤义武,8,安东家,2,215,蛎崎季广,5,41,99,255
320,西园寺公广,24,河野家,0,1101,,5,71,66,85
321,杂贺孙一,45,本愿寺,34,413,铃木佐太夫,5,79,100,72
322,斋藤龙兴,25,斋藤家,0,1101,,20,61,100,43
323,斋藤传鬼坊,121,无,64,1101,,5,55,99,255
324,斋藤道三,121,无,8,1101,,20,99,100,43
325,斋藤利三,25,斋藤家,8,101,稻叶一铁,0,53,78,43
326,斋藤朝信,39,长尾家,2,1101,,5,42,98,43
327,斋藤义龙,25,斋藤家,2,1101,,100,87,31,43
328,斋村政广,0,无,0,7,赤松政秀,100,49,98,255
329,佐伯惟定,17,大友家,2,1101,,100,57,96,28
330,吉田印西,121,无,42,1101,,20,62,99,27
331,酒井家次,12,今川家,2,506,德川家康,5,28,99,81
332,酒井忠次,12,今川家,2,506,德川家康,20,31,100,81
333,酒井忠世,12,今川家,2,506,德川家康,20,55,99,81
334,坂井政尚,19,织田家,0,1101,,5,64,99,255
335,榊原康政,12,今川家,10,506,德川家康,0,50,100,140
336,坂崎直盛,14,浦上家,0,123,宇喜多忠家,20,71,93,80
337,相良义阳,26,相良家,0,1101,,50,41,100,98
338,相良赖房,26,相良家,2,1101,,0,87,99,98
339,佐久间信盛,19,织田家,2,1101,,10,55,99,79
340,佐久间盛重,19,织田家,0,1101,,20,54,100,255
341,佐久间盛政,19,织田家,2,1101,,5,74,99,79
342,鲑延秀纲,20,小野寺家,2,1101,,5,55,96,75
343,佐佐木小次郎,121,无,64,1101,,5,92,0,255
344,笹部勘二郎,14,浦上家,0,1101,,0,31,99,255
345,佐世元嘉,7,尼子家,2,1101,,5,31,98,255
346,佐竹义昭,27,佐竹家,2,1101,,5,71,100,19
347,佐竹义重,27,佐竹家,2,1101,,100,69,99,19
348,佐竹义宣,27,佐竹家,2,347,佐竹义重,5,86,95,19
349,佐竹义久,27,佐竹家,2,1101,,5,21,99,19
350,佐田彦四郎,99,外闻众,26,1101,,50,30,99,255
351,佐佐成政,19,织田家,8,1101,,20,71,99,110
352,里见义尧,28,里见家,2,1101,,5,73,100,27
353,里见义弘,28,里见家,2,1101,,5,70,99,27
354,里见义康,28,里见家,2,355,里见义赖,10,43,99,27
355,里见义赖,28,里见家,2,1101,,20,66,99,27
356,真田信纲,35,武田家,8,360,真田幸隆,10,56,91,49
357,真田信幸,35,武田家,2,359,真田昌幸,5,44,80,49
358,真田昌辉,35,武田家,8,360,真田幸隆,5,61,80,49
359,真田昌幸,35,武田家,2,360,真田幸隆,10,87,80,49
360,真田幸隆,35,武田家,2,1101,,10,81,80,49
361,真田幸村,35,武田家,8,359,真田昌幸,5,71,80,49
362,佐野房纲,53,结城家,2,1101,,100,67,79,20
363,佐分利猪之助,121,无,10,1101,,5,41,99,255
364,猿飞佐助,121,无,16,1101,,5,54,0,255
365,猿渡信光,30,岛津家,0,1101,,5,31,99,255
366,山本寺定长,39,长尾家,10,1101,,5,59,99,255
367,椎名康胤,39,长尾家,0,1101,,5,70,99,56
368,志贺亲次,17,大友家,2,369,志贺亲守,20,55,99,90
369,志贺亲守,17,大友家,0,1101,,5,21,100,255
370,繁泽元氏,50,毛利家,2,265,吉川元春,5,28,99,255
371,宍户隆家,50,毛利家,2,1101,,5,40,99,162
372,宍户梅轩,121,无,24,1101,,5,62,99,255
373,宍户元续,50,毛利家,2,371,宍户隆家,20,38,99,162
374,七条兼仲,49,三好家,2,1101,,5,63,80,255
375,七里赖周,45,本愿寺,10,1101,,5,51,100,255
376,篠原长房,49,三好家,0,1101,,5,64,90,68
377,斯波诠直,29,斯波家,2,1101,,0,21,99,4
378,斯波诠真,29,斯波家,2,1101,,0,17,99,4
379,柴田胜家,19,织田家,0,1101,,0,83,100,40
380,柴田胜丰,19,织田家,2,1101,,0,40,80,40
381,新发田重家,39,长尾家,0,382,新发田长敦,5,75,75,95
382,新发田长敦,39,长尾家,2,1101,,5,31,99,95
383,芝辻清右卫门,121,无,34,1101,,100,44,99,255
384,涩谷与右卫门,77,大西屋,10,1101,,5,54,99,255
385,岛井宗室,78,博多屋,10,1101,,5,71,99,255
386,岛左近,38,筒井家,8,1101,,5,65,80,55
387,岛津家久,30,岛津家,0,1101,,50,41,99,101
388,岛津日新斋,30,岛津家,10,1101,,0,69,100,101
389,岛津贵久,30,岛津家,2,1101,,10,70,100,101
390,岛津忠恒,30,岛津家,2,395,岛津义弘,20,34,99,101
391,岛津岁久,30,岛津家,0,1101,,5,69,99,101
392,岛津丰久,30,岛津家,0,387,岛津家久,0,53,100,101
393,岛津义虎,30,岛津家,2,1101,,100,35,96,101
394,岛津义久,30,岛津家,2,1101,,0,90,100,101
395,岛津义弘,30,岛津家,10,1101,,20,86,100,101
396,清水宗治,50,毛利家,2,1101,,20,44,99,20
397,清水康英,44,北条家,2,1101,,50,76,100,88
398,志村光安,51,最上家,2,1101,,20,40,100,255
399,下间仲孝,45,本愿寺,34,1101,,20,70,100,255
400,下间赖照,45,本愿寺,10,1101,,50,56,100,255
401,下间赖廉,45,本愿寺,34,1101,,100,49,100,255
402,上条政繁,39,长尾家,2,1101,,5,58,98,31
403,白石宗实,36,伊达家,2,1101,,100,37,99,142
404,神西元通,7,尼子家,0,1101,,0,55,99,255
405,神保氏张,31,神保家,2,1101,,5,43,90,57
406,神保长住,31,神保家,2,1101,,20,38,76,57
407,神保长城,31,神保家,2,1101,,5,19,98,57
408,神保长职,31,神保家,2,1101,,0,59,100,57
409,陶晴贤,121,无,0,1101,,0,79,51,255
410,菅沼定盈,12,今川家,2,1101,,0,42,99,68
411,杉谷善住坊,95,甲贺众,32,1101,,0,58,99,255
412,杉之坊照算,97,根来众,98,1101,,0,60,99,255
413,铃木佐太夫,45,本愿寺,32,1101,,0,66,100,72
414,铃木重朝,45,本愿寺,34,413,铃木佐太夫,0,67,100,72
415,薄田兼相,50,毛利家,2,314,小早川隆景,50,76,0,255
416,铃木元信,36,伊达家,2,1101,,5,25,99,255
417,须田满亲,121,无,2,1101,,20,36,99,255
418,津田宗及,81,天王寺屋,10,1101,,10,23,99,255
419,角仓素庵,121,无,10,1101,,5,14,0,255
420,角仓了以,121,无,10,1101,,5,55,0,255
421,关一政,22,北畠家,2,424,关盛信,5,55,99,133
422,关口氏广,12,今川家,0,1101,,5,39,100,6
423,世鬼政时,99,外闻众,18,1101,,50,55,99,255
424,关盛信,22,北畠家,2,1101,,50,59,90,133
425,仙石秀久,19,织田家,2,1101,,0,44,0,255
426,千利休,121,无,10,1101,,5,61,100,255
427,相马盛胤,32,相马家,2,1101,,10,74,100,7
428,相马义胤,32,相马家,2,1101,,20,79,87,7
429,宗义调,33,宗家,2,1101,,0,61,99,105
430,宗义智,33,宗家,2,1101,,100,35,99,105
431,十河一存,49,三好家,2,1101,,100,68,100,78
432,十河存保,49,三好家,0,431,十河一存,100,72,99,78
433,太原雪斋,121,无,10,1101,,20,12,100,255
434,大道寺政繁,44,北条家,0,1101,,5,51,100,133
435,大宝寺义氏,34,大宝寺家,2,1101,,5,62,99,16
436,高岛正重,9,一条家,2,1101,,20,22,69,255
437,高梨政赖,39,长尾家,2,1101,,100,50,95,119
438,高桥鉴种,17,大友家,2,1101,,5,88,69,91
439,高桥绍运,17,大友家,0,1101,,0,52,99,91
440,高山重友,49,三好家,2,679,松永久秀,50,49,77,126
441,高山友照,49,三好家,2,679,松永久秀,20,36,77,126
442,泷川一益,19,织田家,34,1101,,20,67,98,255
443,泷川雄利,22,北畠家,2,306,木造具政,50,19,66,255
444,田北镇周,17,大友家,0,1101,,5,55,98,255
445,泷本寺非有,37,长宗我部家,10,1101,,20,27,99,255
446,武井夕庵,25,斋藤家,10,1101,,5,13,99,255
447,武田胜赖,35,武田家,0,1101,,0,79,99,48
448,武田逍遥轩,35,武田家,0,1101,,100,35,99,48
449,武田信玄,35,武田家,2,1101,,5,97,100,48
450,武田信繁,35,武田家,0,1101,,20,42,100,48
451,武田信丰,35,武田家,0,450,武田信繁,20,54,99,48
452,武田元明,121,无,0,1101,,5,55,99,60
453,武田义信,35,武田家,0,1101,,5,65,99,48
454,竹中重门,25,斋藤家,2,455,竹中半兵卫,5,55,99,139
455,竹中半兵卫,25,斋藤家,2,58,安藤守就,20,44,89,139
456,立花道雪,17,大友家,2,1101,,20,40,99,90
457,立花直次,17,大友家,2,456,立花道雪,100,55,99,91
458,立花宗茂,17,大友家,2,439,高桥绍运,20,70,98,91
