合成号,hero_id,名前,职业,槽号_1554,槽号_1560,槽号_1568,槽号_1575,槽号_1582,槽号_1598,组织_1554,组织_1560,组织_1568,组织_1575,组织_1582,组织_1598
9082,lord_tk5_ninja_tairaza,平左,ninja,,1039,,1089,1094,,,羽黑众,,根来众,根来众,
9083,lord_tk5_ninja_tamon,多门,ninja,,,,1069,1071,1137,,,,轩猿众,轩猿众,轩猿众
9084,lord_tk5_ninja_taroomatsu,太郎松,ninja,1080,1133,1084,,1059,,甲贺众,钵屋众,伊贺众,,黑胫巾众,
9085,lord_tk5_ninja_tarooza,太郎左,ninja,1098,,1083,,1107,,外闻众,,伊贺众,,羽黑众,
9086,lord_tk5_ninja_tatewaki,带刀,ninja,1097,,,1062,,1122,外闻众,,,户隐众,,山潜众
9087,lord_tk5_ninja_tengen,天元,ninja,,,1088,,1065,1117,,,根来众,,户隐众,甲贺众
9088,lord_tk5_ninja_tobishichi,鸢七,ninja,,1159,,1087,1083,,,户隐众,,伊贺众,甲贺众,
9089,lord_tk5_ninja_ukichi,卯吉,ninja,,1094,,,,,,透波众,,,,
9090,lord_tk5_ninja_yagenji,弥源次,ninja,,1006,,1107,1070,,,户隐众,,羽黑众,风魔众,
9091,lord_tk5_ninja_yanagisai,柳斋,ninja,,,,,,1156,,,,,,伊贺众
9092,lord_tk5_ninja_yasaburoo,弥三郎,ninja,1092,1126,1092,1092,,,钵屋众,钵屋众,钵屋众,钵屋众,,
9093,lord_tk5_ninja_yasokichi,八十吉,ninja,1083,,1103,,1092,1141,伊贺众,,山潜众,,根来众,山潜众
9094,lord_tk5_ninja_yasubee,安兵卫,ninja,1068,1055,1101,,1064,,风魔众,伊贺众,山潜众,,户隐众,
9095,lord_tk5_ninja_yazoo,弥藏,ninja,,,1102,1099,,1152,,,山潜众,外闻众,,根来众
9096,lord_tk5_ninja_yogoroo,余五郎,ninja,1056,,1106,,,1116,黑胫巾众,,羽黑众,,,甲贺众
9097,lord_tk5_ninja_yoichi,余市,ninja,,1033,1105,1106,1085,,,轩猿众,羽黑众,羽黑众,甲贺众,
9098,lord_tk5_ninja_yumenosuke,梦之助,ninja,1086,,,1081,,1134,伊贺众,,,甲贺众,,外闻众
9099,lord_tk5_pirate_benzoo,弁藏,pirate,1139,1015,,1137,,,盐饱水军,房总水军,,盐饱水军,,
9100,lord_tk5_pirate_chougoroo,长五郎,pirate,,1109,,1125,,,,骏河水军,,熊野水军,,
9101,lord_tk5_pirate_choujiroo,长次郎,pirate,1152,,1136,1127,,,五岛水军,,盐饱水军,熊野水军,,
9102,lord_tk5_pirate_chousaburoo,长三郎,pirate,1147,1060,1120,,,,土佐水军,淡路水军,骏河水军,,,
9103,lord_tk5_pirate_chousuke,长助,pirate,,1090,,,1158,,,丹后水军,,,坊津水军,
9104,lord_tk5_pirate_daihachi,大八,pirate,,,,1138,1135,1008,,,,盐饱水军,盐饱水军,盐饱水军
9105,lord_tk5_pirate_daimaru,大丸,pirate,1148,1021,,,1154,,丰后水军,房总水军,,,五岛水军,
9106,lord_tk5_pirate_denhachiroo,传八郎,pirate,,,1119,,1114,1012,,,相模水军,,房总水军,熊野水军
9107,lord_tk5_pirate_densuke,传助,pirate,,1002,,,1153,,,丰后水军,,,五岛水军,
9108,lord_tk5_pirate_dookuu,道空,pirate,1150,,,1124,,,丰后水军,,,熊野水军,,
9109,lord_tk5_pirate_eishichi,英七,pirate,1140,,,,1120,1025,村上水军,,,,骏河水军,村上水军
9110,lord_tk5_pirate_enkichi,圆吉,pirate,1110,,,,,1048,安东水军,,,,,坊津水军
9111,lord_tk5_pirate_fujiji,藤次,pirate,1117,,,,1146,1013,相模水军,,,,土佐水军,熊野水军
9112,lord_tk5_pirate_fujimatsu,富士松,pirate,1125,,,,1136,1051,熊野水军,,,,盐饱水军,房总水军
9113,lord_tk5_pirate_fusataroo,房太郎,pirate,,,1130,1155,,1037,,,丹后水军,五岛水军,,淡路水军
9114,lord_tk5_pirate_gennai,源内,pirate,,1145,,,,,,熊野水军,,,,
9115,lord_tk5_pirate_ginbee,银兵卫,pirate,1119,,,1123,,1002,相模水军,,,骏河水军,,安东水军
9116,lord_tk5_pirate_gisuke,仪助,pirate,,1079,,1113,1143,,,土佐水军,,房总水军,土佐水军,
9117,lord_tk5_pirate_gonbee,权兵卫,pirate,1126,1003,,,1112,,熊野水军,丰后水军,,,房总水军,
9118,lord_tk5_pirate_gonpachi,权八,pirate,1137,,1133,,,1053,盐饱水军,,淡路水军,,,房总水军
9119,lord_tk5_pirate_gonshichiroo,权七郎,pirate,,1137,,1154,1122,,,安东水军,,五岛水军,骏河水军,
9120,lord_tk5_pirate_gunbee,军兵卫,pirate,,,,,,1049,,,,,,坊津水军
9121,lord_tk5_pirate_gundari,军荼利,pirate,,,,1116,,1047,,,,相模水军,,坊津水军
9122,lord_tk5_pirate_hachiroo,八郎,pirate,1133,1010,,1134,,,淡路水军,房总水军,,淡路水军,,
9123,lord_tk5_pirate_hachitaroo,八太郎,pirate,1145,,,1133,,1017,土佐水军,,,淡路水军,,五岛水军
9124,lord_tk5_pirate_hachizaemon,八左卫门,pirate,,1066,1158,,1121,,,淡路水军,坊津水军,,骏河水军,
9125,lord_tk5_pirate_hansaburoo,半三郎,pirate,1156,1131,1156,1156,1156,,坊津水军,坊津水军,坊津水军,坊津水军,坊津水军,
9126,lord_tk5_pirate_hayashizoo,林藏,pirate,,1082,,1130,1116,,,丹后水军,,丹后水军,相模水军,
9127,lord_tk5_pirate_hayato,隼人,pirate,,1146,1122,,1125,,,村上水军,骏河水军,,熊野水军,
9128,lord_tk5_pirate_heita,平太,pirate,,1012,,,1148,,,房总水军,,,丰后水军,
9129,lord_tk5_pirate_hisadayuu,久太夫,pirate,,1008,1127,1126,,,,丰后水军,熊野水军,熊野水军,,
9130,lord_tk5_pirate_hyakuhei,百平,pirate,1121,,,1139,,1038,骏河水军,,,盐饱水军,,淡路水军
9131,lord_tk5_pirate_hyouta,兵太,pirate,1134,1099,,,1113,,淡路水军,盐饱水军,,,房总水军,
9132,lord_tk5_pirate_ikkan,一贯,pirate,1112,,1154,,1128,1029,房总水军,,五岛水军,,熊野水军,村上水军
9133,lord_tk5_pirate_isaburoo,猪三郎,pirate,,1100,1144,,1145,,,盐饱水军,土佐水军,,土佐水军,
9134,lord_tk5_pirate_jibee,治兵卫,pirate,1129,1052,,1135,,,丹后水军,村上水军,,淡路水军,,
9135,lord_tk5_pirate_jingobee,甚五兵卫,pirate,,,,,,1040,,,,,,土佐水军
9136,lord_tk5_pirate_jisuke,治助,pirate,,,1121,1120,,1036,,,骏河水军,骏河水军,,淡路水军
9137,lord_tk5_pirate_juudayuu,十太夫,pirate,,,,,,1018,,,,,,五岛水军
9138,lord_tk5_pirate_kageyu,勘解由,pirate,,,1115,,1141,1011,,,房总水军,,村上水军,熊野水军
9139,lord_tk5_pirate_kameshichi,龟七,pirate,1130,,1131,,,1035,丹后水军,,丹后水军,,,淡路水军
9140,lord_tk5_pirate_kanji,贯次,pirate,,,1152,1111,1137,1014,,,五岛水军,安东水军,盐饱水军,熊野水军
9141,lord_tk5_pirate_kenkichi,谦吉,pirate,1149,,1157,,,1023,丰后水军,,坊津水军,,,江户水军
9142,lord_tk5_pirate_kichijiroo,吉次郎,pirate,1143,,1155,,,1015,村上水军,,五岛水军,,,五岛水军
9143,lord_tk5_pirate_kinzaemon,金左卫门,pirate,,1088,,,1157,,,骏河水军,,,坊津水军,
9144,lord_tk5_pirate_kisanta,喜三太,pirate,1127,1007,,1144,,,熊野水军,熊野水军,,土佐水军,,
9145,lord_tk5_pirate_kobee,小兵卫,pirate,1158,,,1136,,1007,坊津水军,,,盐饱水军,,盐饱水军
9146,lord_tk5_pirate_kochuuta,小忠太,pirate,1136,,1134,,,,盐饱水军,,淡路水军,,,
9147,lord_tk5_pirate_kogenta,小源太,pirate,1118,,,1157,,1010,相模水军,,,坊津水军,,熊野水军
9148,lord_tk5_pirate_kojuuroo,小十郎,pirate,1114,1073,,,1151,,房总水军,土佐水军,,,五岛水军,
9149,lord_tk5_pirate_kokichi,小吉,pirate,,1104,1111,1110,1133,,,盐饱水军,安东水军,安东水军,盐饱水军,
9150,lord_tk5_pirate_koo,甲,pirate,,,1141,1141,1144,1028,,,村上水军,村上水军,土佐水军,村上水军
9151,lord_tk5_pirate_koshiroo,小四郎,pirate,,,1150,1159,,1001,,,丰后水军,坊津水军,,安东水军
9152,lord_tk5_pirate_kuroobee,九郎兵卫,pirate,,1065,1159,,1142,,,淡路水军,坊津水军,,村上水军,
9153,lord_tk5_pirate_magobee,孙兵卫,pirate,1128,1111,1128,1128,1129,,丹后水军,丹后水军,丹后水军,丹后水军,丹后水军,
9154,lord_tk5_pirate_magoshichi,孙七,pirate,1115,,1145,,,1005,房总水军,,土佐水军,,,盐饱水军
9155,lord_tk5_pirate_manchiyo,万千代,pirate,,,,1122,1130,1050,,,,骏河水军,丹后水军,房总水军
9156,lord_tk5_pirate_manosuke,马之助,pirate,,1093,1113,1114,,,,丹后水军,房总水军,房总水军,,
9157,lord_tk5_pirate_masahei,正平,pirate,,,1135,1117,,1004,,,淡路水军,相模水军,,安东水军
9158,lord_tk5_pirate_matahachi,又八,pirate,,1042,,1140,1111,,,相模水军,,村上水军,安东水军,
9159,lord_tk5_pirate_matasuke,又助,pirate,,1132,1139,,1124,,,坊津水军,盐饱水军,,熊野水军,
9160,lord_tk5_pirate_mitsudayuu,光太夫,pirate,1138,,1149,,,1041,盐饱水军,,丰后水军,,,土佐水军
9161,lord_tk5_pirate_mochiyo,百千代,pirate,1111,,1110,,,1045,安东水军,,安东水军,,,坊津水军
9162,lord_tk5_pirate_onishichi,鬼七,pirate,1113,,1116,,,1044,房总水军,,相模水军,,,土佐水军
9163,lord_tk5_pirate_rikimaru,力丸,pirate,,1047,1117,1121,,,,相模水军,相模水军,骏河水军,,
9164,lord_tk5_pirate_rikiya,力弥,pirate,,1136,,,1131,,,坊津水军,,,丹后水军,
9165,lord_tk5_pirate_saburoota,三郎太,pirate,,,,1142,1139,1024,,,,村上水军,村上水军,江户水军
9166,lord_tk5_pirate_saichi,佐市,pirate,,,1143,1112,,1039,,,村上水军,房总水军,,淡路水军
9167,lord_tk5_pirate_sakonjiroo,左近次郎,pirate,1122,,,,1132,1000,骏河水军,,,,丹后水军,安东水军
9168,lord_tk5_pirate_sanezoo,实三,pirate,1151,,,,1127,1032,丰后水军,,,,熊野水军,丹后水军
9169,lord_tk5_pirate_sanhei,三平,pirate,,1095,,1151,,,,盐饱水军,,丰后水军,,
9170,lord_tk5_pirate_sanosuke,佐之助,pirate,1116,,1146,,,1020,相模水军,,土佐水军,,,江户水军
9171,lord_tk5_pirate_sanshiroo,三四郎,pirate,,,,,,1026,,,,,,村上水军
9172,lord_tk5_pirate_sendayuu,仙太夫,pirate,1146,,1129,,,1006,土佐水军,,丹后水军,,,盐饱水军
9173,lord_tk5_pirate_senzaemon,仙左卫门,pirate,1108,1120,1108,1108,1108,,安东水军,安东水军,安东水军,安东水军,安东水军,
9174,lord_tk5_pirate_shingoroo,新五郎,pirate,1155,1080,1112,,,,五岛水军,土佐水军,房总水军,,,
9175,lord_tk5_pirate_shinhei,晋平,pirate,1142,,,1146,,,村上水军,,,土佐水军,,
9176,lord_tk5_pirate_shinpachi,新八,pirate,,1124,1147,,1119,,,安东水军,土佐水军,,相模水军,
9177,lord_tk5_pirate_shinshichi,新七,pirate,,,1148,,1159,1027,,,丰后水军,,坊津水军,村上水军
9178,lord_tk5_pirate_shookuroo,庄九郎,pirate,,,,1150,1155,1009,,,,丰后水军,五岛水军,盐饱水军
9179,lord_tk5_pirate_soohachiroo,惣八郎,pirate,,,,,,1003,,,,,,安东水军
9180,lord_tk5_pirate_sooichiroo,总一郎,pirate,,,1132,,1134,1022,,,淡路水军,,盐饱水军,江户水军
9181,lord_tk5_pirate_tadabee,忠兵卫,pirate,1154,,,,1117,,五岛水军,,,,相模水军,
9182,lord_tk5_pirate_tadaya,忠弥,pirate,,,1142,1145,,1030,,,村上水军,土佐水军,,丹后水军
9183,lord_tk5_pirate_tairama,平马,pirate,,1147,1138,1158,,,,熊野水军,盐饱水军,坊津水军,,
9184,lord_tk5_pirate_tairashiroo,平四郎,pirate,,1135,,1148,1118,,,坊津水军,,丰后水军,相模水军,
9185,lord_tk5_pirate_tairazoo,平藏,pirate,1131,1123,,,1140,,丹后水军,安东水军,,,村上水军,
9186,lord_tk5_pirate_takeshizoo,刚藏,pirate,,,1114,1115,,1016,,,房总水军,房总水军,,五岛水军
9187,lord_tk5_pirate_taki,泷,pirate,1153,1029,,,,,五岛水军,五岛水军,,,,
9188,lord_tk5_pirate_tamegoroo,为五郎,pirate,,1034,1125,1132,,,,五岛水军,熊野水军,淡路水军,,
9189,lord_tk5_pirate_tameuemon,为右卫门,pirate,,,,,1149,1021,,,,,丰后水军,江户水军
9190,lord_tk5_pirate_tatsugoroo,辰五郎,pirate,1109,1115,1109,1109,1109,,安东水军,安东水军,安东水军,安东水军,安东水军,
9191,lord_tk5_pirate_tazu,多津,pirate,,,1153,1153,1152,1019,,,五岛水军,五岛水军,五岛水军,五岛水军
9192,lord_tk5_pirate_teizoo,祯三,pirate,1144,1030,1126,,,,土佐水军,五岛水军,熊野水军,,,
9193,lord_tk5_pirate_torachiyo,虎千代,pirate,,,1137,,1110,1034,,,盐饱水军,,安东水军,丹后水军
9194,lord_tk5_pirate_torazoo,寅藏,pirate,1124,1053,,1147,,,熊野水军,村上水军,,土佐水军,,
9195,lord_tk5_pirate_tsunagoroo,纲五郎,pirate,1157,,1123,,,1043,坊津水军,,骏河水军,,,土佐水军
9196,lord_tk5_pirate_tsuru,鹤,pirate,1141,1057,,,,,村上水军,村上水军,,,,
9197,lord_tk5_pirate_tsuruchiyo,鹤千代,pirate,1159,1046,,1149,,,坊津水军,相模水军,,丰后水军,,
9198,lord_tk5_pirate_tsurukichi,鹤吉,pirate,,,,1119,1126,1052,,,,相模水军,熊野水军,房总水军
9199,lord_tk5_pirate_ushibee,丑兵卫,pirate,1135,1075,,1118,,,淡路水军,土佐水军,,相模水军,,
9200,lord_tk5_pirate_ushigoroo,丑五郎,pirate,,,,,,1033,,,,,,丹后水军
9201,lord_tk5_pirate_yaichi,弥市,pirate,,,1140,,,1054,,,村上水军,,,江户水军
9202,lord_tk5_pirate_yajibee,弥次兵卫,pirate,,,1151,,1123,1031,,,丰后水军,,骏河水军,丹后水军
9203,lord_tk5_pirate_yajiroo,弥二郎,pirate,1120,1001,1124,,,,骏河水军,丰后水军,熊野水军,,,
9204,lord_tk5_pirate_yakichi,弥吉,pirate,,1023,,,1138,,,五岛水军,,,村上水军,
9205,lord_tk5_pirate_yashakichi,夜叉吉,pirate,,,,1129,1147,1046,,,,丹后水军,丰后水军,坊津水军
9206,lord_tk5_pirate_yosoji,与三次,pirate,,1151,,1143,1150,,,熊野水军,,村上水军,丰后水军,
9207,lord_tk5_pirate_zensuke,善辅,pirate,1132,,1118,1131,,1042,淡路水军,,相模水军,丹后水军,,土佐水军
9208,lord_tk5_pirate_zenzoo,善藏,pirate,1123,1156,,1152,1115,,骏河水军,熊野水军,,五岛水军,房总水军,
9209,lord_tk5_trader_choutaroo,长太郎,trader,,,,1003,1010,1091,,,,伊藤屋,虎屋,镫屋
9210,lord_tk5_trader_chouzaemon,长左卫门,trader,,,1050,1021,,1113,,,镫屋,大西屋,,梁田屋
9211,lord_tk5_trader_daizoo,大藏,trader,,,1054,,1033,1067,,,神屋,,天王寺屋,鸿池屋
9212,lord_tk5_trader_fujigoroo,藤五郎,trader,1042,1048,,,1016,,天王寺屋,茶屋,,,平野屋,
9213,lord_tk5_trader_ginjiroo,银次郎,trader,1003,,1036,,,1087,角屋,,天王寺屋,,,茶屋
9214,lord_tk5_trader_gobee,五兵卫,trader,,1024,1031,1024,,,,博多屋,茶屋,博多屋,,
9215,lord_tk5_trader_gongoroo,权五郎,trader,1055,,,1013,,1063,组屋,,,坂田屋,,角仓屋
9216,lord_tk5_trader_gonnosuke,权之助,trader,,,1017,,1028,1068,,,越后屋,,茶屋,鸿池屋
9217,lord_tk5_trader_hansuke,半助,trader,,1022,1003,,1006,,,博多屋,伊藤屋,,纳屋,
9218,lord_tk5_trader_hanuemon,半右卫门,trader,1034,,,1019,,1060,茶屋,,,小西屋,,角屋
9219,lord_tk5_trader_hatsuuemon,初右卫门,trader,,,,,1026,1066,,,,,博多屋,角仓屋
9220,lord_tk5_trader_hayashitaroo,林太郎,trader,1006,,,,,1103,伊藤屋,,,,,平野屋
9221,lord_tk5_trader_hikoma,彦马,trader,,1117,1013,,,,,梁田屋,坂田屋,,,
9222,lord_tk5_trader_ichinosuke,市之允,trader,1029,1134,,,1041,,博多屋,大西屋,,,梁田屋,
9223,lord_tk5_trader_inejiroo,稻次郎,trader,1015,,1044,,,1071,虎屋,,组屋,,,山形屋
9224,lord_tk5_trader_jinuemon,仁右卫门,trader,1014,1063,1035,,1030,,虎屋,伊藤屋,天王寺屋,,下关屋,
9225,lord_tk5_trader_jirookichi,次郎吉,trader,1023,1041,,,1023,,小西屋,川舟屋,,,大西屋,
9226,lord_tk5_trader_junnosuke,准之介,trader,1018,,,,1012,1072,坂田屋,,,,淀屋,山形屋
9227,lord_tk5_trader_juumaru,十丸,trader,,,1053,1020,,1101,,,神屋,小西屋,,播磨屋
9228,lord_tk5_trader_kakubee,角兵卫,trader,1030,1107,1014,1035,,,博多屋,友野屋,坂田屋,天王寺屋,,
9229,lord_tk5_trader_kametaroo,龟太郎,trader,1019,1035,,1055,,,越后屋,茶屋,,山形屋,,
9230,lord_tk5_trader_kandayuu,勘太夫,trader,,1143,1037,1001,,,,越后屋,天王寺屋,角屋,,
