合成号,ID,名前,职业,罗马音,置信度,出现年代,各年代槽号,各年代组织,是否当主
9218,lord_tk5_trader_hanuemon,半右卫门,trader,hanuemon,高,1554|1575|1598,1554:1034|1575:1019|1598:1060,1554:茶屋|1575:小西屋|1598:角屋,
9311,lord_tk5_trader_ukichi,卯吉,trader,ukichi,高,1598,1598:1094,1598:镫屋,
9259,lord_tk5_trader_matanojo,又之丞,trader,matanojo,高,1554|1582|1598,1554:1052|1582:1042|1598:1080,1554:组屋|1582:组屋|1598:川舟屋,
9260,lord_tk5_trader_matashiroo,又四郎,trader,matashiroo,高,1554|1560|1575,1554:1035|1560:1064|1575:1010,1554:茶屋|1560:伊藤屋|1575:虎屋,
9238,lord_tk5_trader_kichibee,吉兵卫,trader,kichibee,高,1560|1575|1582,1560:1127|1575:1033|1582:1034,1560:友野屋|1575:天王寺屋|1582:天王寺屋,
9288,lord_tk5_trader_shuuhei,周平,trader,shuuhei,高,1560|1568|1582,1560:1086|1568:1041|1582:1019,1560:天王寺屋|1568:梁田屋|1582:播磨屋,
9237,lord_tk5_trader_kazusuke,和助,trader,kazusuke,高,1554|1575|1598,1554:1033|1575:1009|1598:1082,1554:茶屋|1575:虎屋|1598:川舟屋,
9327,lord_tk5_trader_zenpachi,善八,trader,zenpachi,高,1554|1575|1598,1554:1002|1575:1052|1598:1110,1554:角屋|1575:神屋|1598:淀屋,
9328,lord_tk5_trader_zenuemon,善右卫门,trader,zenuemon,高,1560|1575|1582,1560:1017|1575:1054|1582:1035,1560:角屋|1575:山形屋|1582:天王寺屋,
9243,lord_tk5_trader_kisuke,喜助,trader,kisuke,高,1554|1560|1575,1554:1036|1560:1103|1575:1006,1554:茶屋|1560:小西屋|1575:纳屋,
9326,lord_tk5_trader_yoshiuemon,嘉右卫门,trader,yoshiuemon,高,1560|1582,1560:1054|1582:1055,1560:茶屋|1582:山形屋,
9253,lord_tk5_trader_kuninosuke,国之辅,trader,kuninosuke,高,1554|1568|1598,1554:1028|1568:1023|1598:1075,1554:大西屋|1568:大西屋|1598:神屋,
9211,lord_tk5_trader_daizoo,大藏,trader,daizoo,高,1568|1582|1598,1568:1054|1582:1033|1598:1067,1568:神屋|1582:天王寺屋|1598:鸿池屋,
9257,lord_tk5_trader_magouemon,孙右卫门,trader,magouemon,高,1582|1598,1582:1018|1598:1074,1582:播磨屋|1598:山形屋,
9256,lord_tk5_trader_magoshiroo,孙四郎,trader,magoshiroo,高,1560|1568|1582,1560:1018|1568:1004|1582:1015,1560:下关屋|1568:伊藤屋|1582:平野屋,
9314,lord_tk5_trader_uuemon,宇右卫门,trader,uuemon,高,1575|1582|1598,1575:1045|1582:1002|1598:1062,1575:川舟屋|1582:角屋|1598:角屋,
9317,lord_tk5_trader_yasujiroo,安二郎,trader,yasujiroo,高,1554|1582|1598,1554:1031|1582:1001|1598:1077,1554:博多屋|1582:角屋|1598:神屋,
9318,lord_tk5_trader_yasukichi,安吉,trader,yasukichi,高,1554|1560|1568,1554:1043|1560:1069|1568:1039,1554:天王寺屋|1560:坂田屋|1568:友野屋,
9319,lord_tk5_trader_yasuzoo,安藏,trader,yasuzoo,高,1560|1575|1582,1560:1083|1575:1037|1582:1025,1560:天王寺屋|1575:角仓屋|1582:博多屋,
9234,lord_tk5_trader_kansaburoo,宽三郎,trader,kansaburoo,高,1560|1568|1582,1560:1102|1568:1026|1582:1017,1560:小西屋|1568:博多屋|1582:平野屋,
9309,lord_tk5_trader_torakichi,寅吉,trader,torakichi,高,1554|1560|1575,1554:1051|1560:1121|1575:1016,1554:梁田屋|1560:梁田屋|1575:越后屋,
9307,lord_tk5_trader_tomisuke,富助,trader,tomisuke,高,1575|1598,1575:1034|1598:1114,1575:天王寺屋|1598:梁田屋,
9306,lord_tk5_trader_tomimatsu,富松,trader,tomimatsu,高,1560|1582,1560:1119|1582:1014,1560:梁田屋|1582:淀屋,
9247,lord_tk5_trader_koheiji,小平次,trader,koheiji,高,1554|1560|1582,1554:1026|1560:1105|1582:1040,1554:大西屋|1560:小西屋|1582:梁田屋,
9250,lord_tk5_trader_koyata,小弥太,trader,koyata,高,1554|1568|1598,1554:1020|1568:1032|1598:1100,1554:越后屋|1568:下关屋|1598:播磨屋,
9246,lord_tk5_trader_koganeji,小金次,trader,koganeji,高,1568|1575|1598,1568:1010|1575:1046|1598:1078,1568:虎屋|1575:川舟屋|1598:神屋,
9262,lord_tk5_trader_minekichi,峰吉,trader,minekichi,高,1554|1560|1568,1554:1027|1560:1118|1568:1049,1554:大西屋|1560:梁田屋|1568:川舟屋,
9263,lord_tk5_trader_minezoo,峰藏,trader,minezoo,高,1575|1582|1598,1575:1004|1582:1007|1598:1099,1575:伊藤屋|1582:纳屋|1598:播磨屋,
9222,lord_tk5_trader_ichinosuke,市之允,trader,ichinosuke,高,1554|1560|1582,1554:1029|1560:1134|1582:1041,1554:博多屋|1560:大西屋|1582:梁田屋,
9295,lord_tk5_trader_tairahachiroo,平八郎,trader,tairahachiroo,高,1554|1568|1598,1554:1017|1568:1034|1598:1093,1554:坂田屋|1568:下关屋|1598:镫屋,
9294,lord_tk5_trader_tairabee,平兵卫,trader,tairabee,高,1568|1582|1598,1568:1021|1582:1029|1598:1104,1568:小西屋|1582:茶屋|1598:平野屋,
9296,lord_tk5_trader_tairasuke,平助,trader,tairasuke,高,1560|1575|1582,1560:1025|1575:1023|1582:1027,1560:博多屋|1575:大西屋|1582:茶屋,
9249,lord_tk5_trader_koosaku,幸作,trader,koosaku,高,1554|1568|1575|1598,1554:1049|1568:1043|1575:1040|1598:1083,1554:梁田屋|1568:梁田屋|1575:梁田屋|1598:组屋,
9269,lord_tk5_trader_sachikichi,幸吉,trader,sachikichi,高,1554|1582|1598,1554:1011|1582:1052|1598:1070,1554:纳屋|1582:神屋|1598:鸿池屋,
9320,lord_tk5_trader_yazaemon,弥左卫门,trader,yazaemon,高,1568|1575|1598,1568:1047|1575:1050|1598:1065,1568:川舟屋|1575:镫屋|1598:角仓屋,
9221,lord_tk5_trader_hikoma,彦马,trader,hikoma,高,1560|1568,1560:1117|1568:1013,1560:梁田屋|1568:坂田屋,
9304,lord_tk5_trader_tokuzoo,德藏,trader,tokuzoo,高,1554|1560,1554:1040|1560:1148,1554:下关屋|1560:越后屋,
9289,lord_tk5_trader_sooji,惣次,trader,sooji,高,1554|1560|1568,1554:1054|1560:1071|1568:1048,1554:组屋|1560:坂田屋|1568:川舟屋,
9272,lord_tk5_trader_saishichi,才七,trader,saishichi,高,1575|1582|1598,1575:1005|1582:1024|1598:1107,1575:伊藤屋|1582:博多屋|1598:淀屋,
9271,lord_tk5_trader_saikuroo,才九郎,trader,saikuroo,高,1554|1568|1575|1598,1554:1013|1568:1022|1575:1027|1598:1084,1554:虎屋|1568:大西屋|1575:茶屋|1598:组屋,
9284,lord_tk5_trader_shinnosuke,新之助,trader,shinnosuke,高,1575|1598,1575:1025|1598:1111,1575:博多屋|1598:梁田屋,
9282,lord_tk5_trader_shinbee,新兵卫,trader,shinbee,高,1560|1575|1582,1560:1141|1575:1053|1582:1005,1560:角屋|1575:神屋|1582:伊藤屋,
9285,lord_tk5_trader_shinsuke,新助,trader,shinsuke,高,1560|1568|1582,1560:1116|1568:1030|1582:1038,1560:下关屋|1568:茶屋|1582:角仓屋,
9283,lord_tk5_trader_shinjuuroo,新十郎,trader,shinjuuroo,高,1568|1575|1598,1568:1024|1575:1032|1598:1112,1568:大西屋|1575:下关屋|1598:梁田屋,
9286,lord_tk5_trader_shinuemon,新右卫门,trader,shinuemon,高,1554|1560|1568,1554:1004|1560:1011|1568:1042,1554:伊藤屋|1560:纳屋|1568:梁田屋,
9287,lord_tk5_trader_shinzaemon,新左卫门,trader,shinzaemon,高,1575|1598,1575:1039|1598:1096,1575:梁田屋|1598:纳屋,
9216,lord_tk5_trader_gonnosuke,权之助,trader,gonnosuke,高,1568|1582|1598,1568:1017|1582:1028|1598:1068,1568:越后屋|1582:茶屋|1598:鸿池屋,
9215,lord_tk5_trader_gongoroo,权五郎,trader,gongoroo,高,1554|1575|1598,1554:1055|1575:1013|1598:1063,1554:组屋|1575:坂田屋|1598:角仓屋,
9261,lord_tk5_trader_matsushichiroo,松七郎,trader,matsushichiroo,高,1568|1582|1598,1568:1011|1582:1049|1598:1102,1568:虎屋|1582:镫屋|1598:播磨屋,
9220,lord_tk5_trader_hayashitaroo,林太郎,trader,hayashitaroo,高,1554|1598,1554:1006|1598:1103,1554:伊藤屋|1598:平野屋,
9312,lord_tk5_trader_umekichi,梅吉,trader,umekichi,高,1554|1560|1575|1582,1554:1044|1560:1153|1575:1044|1582:1036,1554:天王寺屋|1560:越后屋|1575:组屋|1582:角仓屋,
9225,lord_tk5_trader_jirookichi,次郎吉,trader,jirookichi,高,1554|1560|1582,1554:1023|1560:1041|1582:1023,1554:小西屋|1560:川舟屋|1582:大西屋,
9245,lord_tk5_trader_kiyokuroo,清九郎,trader,kiyokuroo,高,1560|1568|1575,1560:1084|1568:1020|1575:1031,1560:天王寺屋|1568:小西屋|1575:下关屋,
9244,lord_tk5_trader_kiyobee,清兵卫,trader,kiyobee,高,1560|1582,1560:1139|1582:1051,1560:大西屋|1582:神屋,
9276,lord_tk5_trader_sebee,濑兵卫,trader,sebee,高,1554|1560|1575,1554:1048|1560:1059|1575:1022,1554:梁田屋|1560:虎屋|1575:大西屋,
9252,lord_tk5_trader_kumakichi,熊吉,trader,kumakichi,高,1560|1568|1575,1560:1014|1568:1015|1575:1018,1560:纳屋|1568:坂田屋|1575:小西屋,
9299,lord_tk5_trader_tamasaburoo,玉三郎,trader,tamasaburoo,高,1554|1568|1575|1598,1554:1005|1568:1040|1575:1017|1598:1108,1554:伊藤屋|1568:友野屋|1575:越后屋|1598:淀屋,
9298,lord_tk5_trader_tamanosuke,玉之助,trader,tamanosuke,高,1582|1598,1582:1050|1598:1056,1582:镫屋|1598:下关屋,
9264,lord_tk5_trader_osamubee,理兵卫,trader,osamubee,高,1568|1575|1598,1568:1018|1575:1012|1598:1089,1568:越后屋|1575:坂田屋|1598:茶屋,
9305,lord_tk5_trader_tomekichi,留吉,trader,tomekichi,高,1554|1568|1598,1554:1012|1568:1007|1598:1085,1554:虎屋|1568:纳屋|1598:组屋,
9223,lord_tk5_trader_inejiroo,稻次郎,trader,inejiroo,高,1554|1568|1598,1554:1015|1568:1044|1598:1071,1554:虎屋|1568:组屋|1598:山形屋,
9297,lord_tk5_trader_takezoo,竹藏,trader,takezoo,高,1560|1582,1560:1101|1582:1031,1560:虎屋|1582:下关屋,
9236,lord_tk5_trader_katsuzoo,胜藏,trader,katsuzoo,高,1560|1582,1560:1110|1582:1053,1560:小西屋|1582:神屋,
9281,lord_tk5_trader_shigesaburoo,茂三郎,trader,shigesaburoo,高,1554|1582|1598,1554:1050|1582:1043|1598:1064,1554:梁田屋|1582:组屋|1598:角仓屋,
9280,lord_tk5_trader_shigebee,茂兵卫,trader,shigebee,高,1554|1560|1582,1554:1045|1560:1068|1582:1000,1554:友野屋|1560:伊藤屋|1582:角屋,
9212,lord_tk5_trader_fujigoroo,藤五郎,trader,fujigoroo,高,1554|1560|1582,1554:1042|1560:1048|1582:1016,1554:天王寺屋|1560:茶屋|1582:平野屋,
9308,lord_tk5_trader_torajiroo,虎次郎,trader,torajiroo,高,1568|1582|1598,1568:1052|1582:1021|1598:1057,1568:镫屋|1582:大西屋|1598:下关屋,
9228,lord_tk5_trader_kakubee,角兵卫,trader,kakubee,高,1554|1560|1568|1575,1554:1030|1560:1107|1568:1014|1575:1035,1554:博多屋|1560:友野屋|1568:坂田屋|1575:天王寺屋,
9270,lord_tk5_trader_sadakichi,贞吉,trader,sadakichi,高,1560|1568|1582,1560:1078|1568:1016|1582:1037,1560:坂田屋|1568:越后屋|1582:角仓屋,
9231,lord_tk5_trader_kanichiroo,贯一郎,trader,kanichiroo,高,1554|1568|1582|1598,1554:1022|1568:1000|1582:1022|1598:1069,1554:越后屋|1568:角屋|1582:大西屋|1598:鸿池屋,
9301,lord_tk5_trader_tatsunosuke,辰之助,trader,tatsunosuke,高,1554|1560|1568,1554:1008|1560:1076|1568:1046,1554:纳屋|1560:友野屋|1568:组屋,
9241,lord_tk5_trader_kinnosuke,金之助,trader,kinnosuke,高,1560|1575|1582,1560:1096|1575:1014|1582:1020,1560:天王寺屋|1575:坂田屋|1582:播磨屋,
9240,lord_tk5_trader_kingoroo,金五郎,trader,kingoroo,高,1560|1582,1560:1061|1582:1013,1560:茶屋|1582:淀屋,
9242,lord_tk5_trader_kinshiroo,金四郎,trader,kinshiroo,高,1568|1575|1598,1568:1006|1575:1041|1598:1079,1568:纳屋|1575:梁田屋|1598:川舟屋,
9303,lord_tk5_trader_tetsutaroo,铁太郎,trader,tetsutaroo,高,1554|1568|1575,1554:1038|1568:1005|1575:1047,1554:下关屋|1568:伊藤屋|1575:川舟屋,
9302,lord_tk5_trader_tetsujiroo,铁次郎,trader,tetsujiroo,高,1598,1598:1076,1598:神屋,
9213,lord_tk5_trader_ginjiroo,银次郎,trader,ginjiroo,高,1554|1568|1598,1554:1003|1568:1036|1598:1087,1554:角屋|1568:天王寺屋|1598:茶屋,
9209,lord_tk5_trader_choutaroo,长太郎,trader,choutaroo,高,1575|1582|1598,1575:1003|1582:1010|1598:1091,1575:伊藤屋|1582:虎屋|1598:镫屋,
9210,lord_tk5_trader_chouzaemon,长左卫门,trader,chouzaemon,高,1568|1575|1598,1568:1050|1575:1021|1598:1113,1568:镫屋|1575:大西屋|1598:梁田屋,
9239,lord_tk5_trader_kikuta,闻太,trader,kikuta,高,1568|1582|1598,1568:1012|1582:1046|1598:1058,1568:虎屋|1582:川舟屋|1598:下关屋,
9248,lord_tk5_trader_komashiroo,驹四郎,trader,komashiroo,高,1554|1575|1582|1598,1554:1047|1575:1029|1582:1054|1598:1088,1554:友野屋|1575:茶屋|1582:山形屋|1598:茶屋,
9255,lord_tk5_trader_kyuusaburoo,鸠三郎,trader,kyuusaburoo,高,1560|1568|1582,1560:1067|1568:1009|1582:1039,1560:伊藤屋|1568:纳屋|1582:梁田屋,
9254,lord_tk5_trader_kurosuke,黑助,trader,kurosuke,高,1575|1598,1575:1008|1598:1086,1575:纳屋|1598:组屋,
9229,lord_tk5_trader_kametaroo,龟太郎,trader,kametaroo,高,1554|1560|1575,1554:1019|1560:1035|1575:1055,1554:越后屋|1560:茶屋|1575:山形屋,
9315,lord_tk5_trader_xe413bee,兵卫,trader,xe413bee,待解,1560|1568|1575,1560:1149|1568:1033|1575:1043,1560:越后屋|1568:下关屋|1575:组屋,
9316,lord_tk5_trader_xe413uemon,右卫门,trader,xe413uemon,待解,1554|1582|1598,1554:1041|1582:1004|1598:1090,1554:天王寺屋|1582:伊藤屋|1598:茶屋,
9030,lord_tk5_ninja_ichiwaka,一若,ninja,ichiwaka,高,1554|1560|1575|1582,1554:1094|1560:1142|1575:1072|1582:1069,1554:钵屋众|1560:山潜众|1575:轩猿众|1582:风魔众,
9031,lord_tk5_ninja_ichizoo,一藏,ninja,ichizoo,高,1554|1568|1598,1554:1095|1568:1059|1598:1140,1554:钵屋众|1568:黑胫巾众|1598:轩猿众,
9032,lord_tk5_ninja_ikkaku,一角,ninja,ikkaku,高,1560|1575|1582,1560:1150|1575:1094|1582:1102,1560:山潜众|1575:钵屋众|1582:山潜众,
9051,lord_tk5_ninja_manhei,万平,ninja,manhei,高,1560|1568,1560:1089|1568:1095,1560:黑胫巾众|1568:钵屋众,
9072,lord_tk5_ninja_sanjiroo,三次郎,ninja,sanjiroo,高,1554|1560|1568|1575,1554:1104|1560:1074|1568:1104|1575:1104,1554:羽黑众|1560:羽黑众|1568:羽黑众|1575:羽黑众,是
9068,lord_tk5_ninja_saburooza,三郎左,ninja,saburooza,高,1554|1575|1582,1554:1085|1575:1067|1582:1084,1554:伊贺众|1575:风魔众|1582:甲贺众,
9003,lord_tk5_ninja_chuuzan,中三,ninja,chuuzan,高,1554|1560|1568|1582,1554:1062|1560:1013|1568:1085|1582:1078,1554:户隐众|1560:外闻众|1568:伊贺众|1582:透波众,
9058,lord_tk5_ninja_nakahachi,中八,ninja,nakahachi,高,1554|1568|1575|1598,1554:1105|1568:1086|1575:1074|1598:1120,1554:羽黑众|1568:伊贺众|1575:透波众|1598:伊贺众,
9061,lord_tk5_ninja_nijuuhachi,二十八,ninja,nijuuhachi,高,1560|1575|1582,1560:1128|1575:1105|1582:1074,1560:羽黑众|1575:羽黑众|1582:轩猿众,
9038,lord_tk5_ninja_jinpachi,仁八,ninja,jinpachi,高,1568|1582|1598,1568:1094|1582:1073|1598:1155,1568:钵屋众|1582:轩猿众|1598:伊贺众,
9036,lord_tk5_ninja_izoji,伊三次,ninja,izoji,高,1554|1560|1568,1554:1076|1560:1092|1568:1058,1554:透波众|1560:钵屋众|1568:黑胫巾众,
9033,lord_tk5_ninja_isaku,伊作,ninja,isaku,高,1560|1568|1575|1582,1560:1028|1568:1056|1575:1086|1582:1093,1560:外闻众|1568:黑胫巾众|1575:伊贺众|1582:根来众,
9034,lord_tk5_ninja_iseo,伊势男,ninja,iseo,高,1575|1582|1598,1575:1084|1582:1097|1598:1128,1575:伊贺众|1582:外闻众|1598:羽黑众,
9006,lord_tk5_ninja_denroku,传六,ninja,denroku,高,1554|1575|1598,1554:1063|1575:1059|1598:1131,1554:户隐众|1575:黑胫巾众|1598:外闻众,
9005,lord_tk5_ninja_denrinboo,传林坊,ninja,denrinboo,高,1554|1560|1575|1582,1554:1071|1560:1087|1575:1075|1582:1099,1554:轩猿众|1560:山潜众|1575:透波众|1582:山潜众,
9073,lord_tk5_ninja_sashichi,佐七,ninja,sashichi,高,1560|1568|1582,1560:1043|1568:1072|1582:1106,1560:户隐众|1568:轩猿众|1582:羽黑众,
9070,lord_tk5_ninja_saheiji,佐平次,ninja,saheiji,高,1560|1568|1582,1560:1000|1568:1075|1582:1056,1560:伊贺众|1568:透波众|1582:黑胫巾众,
9096,lord_tk5_ninja_yogoroo,余五郎,ninja,yogoroo,高,1554|1568|1598,1554:1056|1568:1106|1598:1116,1554:黑胫巾众|1568:羽黑众|1598:甲贺众,
9097,lord_tk5_ninja_yoichi,余市,ninja,yoichi,高,1560|1568|1575|1582,1560:1033|1568:1105|1575:1106|1582:1085,1560:轩猿众|1568:羽黑众|1575:羽黑众|1582:甲贺众,
9078,lord_tk5_ninja_shunkai,俊海,ninja,shunkai,高,1582|1598,1582:1104|1598:1127,1582:羽黑众|1598:羽黑众,是
9062,lord_tk5_ninja_osamusuke,修助,ninja,osamusuke,高,1568|1575|1598,1568:1077|1575:1063|1598:1146,1568:透波众|1575:户隐众|1598:黑胫巾众,
9079,lord_tk5_ninja_shuramaru,修罗丸,ninja,shuramaru,高,1554|1568|1582|1598,1554:1093|1568:1078|1582:1081|1598:1159,1554:钵屋众|1568:甲贺众|1582:甲贺众|1598:甲贺众,
9093,lord_tk5_ninja_yasokichi,八十吉,ninja,yasokichi,高,1554|1568|1582|1598,1554:1083|1568:1103|1582:1092|1598:1141,1554:伊贺众|1568:山潜众|1582:根来众|1598:山潜众,
9066,lord_tk5_ninja_rokusuke,六助,ninja,rokusuke,高,1560|1568,1560:1098|1568:1107,1560:透波众|1568:羽黑众,
9064,lord_tk5_ninja_rokuheita,六平太,ninja,rokuheita,高,1554|1575|1598,1554:1066|1575:1065|1598:1138,1554:风魔众|1575:风魔众|1598:轩猿众,
9065,lord_tk5_ninja_rokurooji,六郎次,ninja,rokurooji,高,1554|1560|1568|1575|1582,1554:1073|1560:1122|1568:1073|1575:1073|1582:1076,1554:透波众|1560:透波众|1568:透波众|1575:透波众|1582:透波众,是
9045,lord_tk5_ninja_kanroku,勘六,ninja,kanroku,高,1560|1582,1560:1112|1582:1063,1560:风魔众|1582:户隐众,
9041,lord_tk5_ninja_juuhei,十平,ninja,juuhei,高,1560|1582,1560:1125|1582:1079,1560:钵屋众|1582:透波众,
9001,lord_tk5_ninja_chiyomatsu,千代松,ninja,chiyomatsu,高,1560|1568|1575,1560:1077|1568:1087|1575:1085,1560:黑胫巾众|1568:伊贺众|1575:伊贺众,
9089,lord_tk5_ninja_ukichi,卯吉,ninja,ukichi,高,1560,1560:1094,1560:透波众,
9011,lord_tk5_ninja_fubuki,吹雪,ninja,fubuki,高,1575|1582|1598,1575:1061|1582:1062|1598:1143,1575:户隐众|1582:户隐众|1598:户隐众,
9076,lord_tk5_ninja_shiroobee,四郎兵卫,ninja,shiroobee,高,1598,1598:1132,1598:外闻众,
9014,lord_tk5_ninja_gekinosuke,外记之助,ninja,gekinosuke,高,1554|1575|1582|1598,1554:1058|1575:1101|1582:1103|1598:1124,1554:黑胫巾众|1575:山潜众|1582:山潜众|1598:伊贺众,
9083,lord_tk5_ninja_tamon,多门,ninja,tamon,高,1575|1582|1598,1575:1069|1582:1071|1598:1137,1575:轩猿众|1582:轩猿众|1598:轩猿众,是
9087,lord_tk5_ninja_tengen,天元,ninja,tengen,高,1568|1582|1598,1568:1088|1582:1065|1598:1117,1568:根来众|1582:户隐众|1598:甲贺众,
9085,lord_tk5_ninja_tarooza,太郎左,ninja,tarooza,高,1554|1568|1582,1554:1098|1568:1083|1582:1107,1554:外闻众|1568:伊贺众|1582:羽黑众,
9084,lord_tk5_ninja_taroomatsu,太郎松,ninja,taroomatsu,高,1554|1560|1568|1582,1554:1080|1560:1133|1568:1084|1582:1059,1554:甲贺众|1560:钵屋众|1568:伊贺众|1582:黑胫巾众,
9050,lord_tk5_ninja_magosaku,孙作,ninja,magosaku,高,1554|1560|1582,1554:1081|1560:1097|1582:1091,1554:甲贺众|1560:透波众|1582:根来众,
9094,lord_tk5_ninja_yasubee,安兵卫,ninja,yasubee,高,1554|1560|1568|1582,1554:1068|1560:1055|1568:1101|1582:1064,1554:风魔众|1560:伊贺众|1568:山潜众|1582:户隐众,
